ratio,variable,q025,q50,q975,light_area
fast:slow,density,0.035834748900389096,0.03789961308388348,0.04010369794331781,1
fast:slow,density,0.036453956279369905,0.03851895317517711,0.040719782643246646,1.0620598036192959
fast:slow,density,0.03708144420221261,0.039148718584166534,0.04134472507333527,1.1279710264638572
fast:slow,density,0.037720075870630594,0.03978793846089916,0.041979258742994005,1.1979726868544596
fast:slow,density,0.038371636792621934,0.04043788989229285,0.0426248918927963,1.2723186365419277
fast:slow,density,0.039034452513186116,0.041098363214029224,0.04328316696945136,1.3512784812668899
fast:slow,density,0.03970871744324049,0.04176833806170917,0.04395160808102507,1.4351385584492933
fast:slow,density,0.04039467625824993,0.04244949342947009,0.04463037222614097,1.5242029755531357
fast:slow,density,0.04109255415098977,0.043143069744272025,0.04531961882802283,1.6187947128919096
fast:slow,density,0.04180248891978437,0.043845864589722894,0.04601950977193897,1.719256794873936
fast:slow,density,0.04252468886507879,0.04456119426717649,0.04672883102468607,1.8259535339349524
fast:slow,density,0.04325936588601815,0.04528840553502479,0.04744881298095632,1.9392718516689147
fast:slow,density,0.04400673554262048,0.04602901614432218,0.04817988817627194,2.0596226819479155
fast:slow,density,0.044765722688317675,0.04677980093157248,0.04892332120405834,2.1874424611194505
fast:slow,density,0.04553839790023761,0.04754364234617148,0.049678343815953346,2.323194710685033
fast:slow,density,0.04632502704739349,0.048319291886027266,0.050445018522160746,2.4673717181995327
fast:slow,density,0.04711827442345281,0.0491087553919014,0.05122352514683639,2.6204963224868
fast:slow,density,0.04792902187462661,0.04991064728416009,0.052014046289322026,2.7831238096454176
fast:slow,density,0.04875428322461278,0.050726618998894704,0.052816767366974056,2.9558439267201986
fast:slow,density,0.04959364442116951,0.05155355847912986,0.05363187665865339,3.139283020341743
fast:slow,density,0.05044740845460789,0.05239499985758621,0.054459565348886387,3.3341063080895412
fast:slow,density,0.05131587020113573,0.053248722979045204,0.05530002757270727,3.5410202908154336
fast:slow,density,0.05219928268477442,0.0541208699559524,0.05615346046119279,3.760775314675381
fast:slow,density,0.05309790328540446,0.055005248497813984,0.0570200495147334,3.99416829216043
fast:slow,density,0.054011993813752365,0.05590282164910859,0.05789998697586078,4.242045591994325
fast:slow,density,0.05494183982855501,0.05681276675179776,0.05879350369486329,4.505306108377592
fast:slow,density,0.05588786666289045,0.05773970163712812,0.05970080922782596,4.784904520708319
fast:slow,density,0.05685018285729786,0.0586809567282143,0.06062211636471846,5.081854755600558
fast:slow,density,0.05782906889371797,0.059639199244860726,0.061557581711963225,5.397233663754914
fast:slow,density,0.058824673716862674,0.06060964483999735,0.06250745047222668,5.732184925014995
fast:slow,density,0.05983689448444758,0.06159846480158253,0.06346942730088093,6.087923195770914
fast:slow,density,0.06086751236936502,0.06260492931968042,0.06444648114568402,6.4657385137498125
fast:slow,density,0.06191537753304435,0.06362700466428459,0.06544416392152637,6.867000976166844
fast:slow,density,0.06297739439081436,0.06466521587092763,0.06644936540210172,7.293165708201271
fast:slow,density,0.06405660984987072,0.06571917931427829,0.0674700064656435,7.745778139815223
fast:slow,density,0.06516421300120337,0.06679319378281243,0.06850632425949449,8.22647961005079
fast:slow,density,0.06629068788289802,0.06788375030178628,0.06955855957351144,8.737013319128684
fast:slow,density,0.06743261424984265,0.06898995459364976,0.07062841942259979,9.279230649932982
fast:slow,density,0.06859295814149796,0.0701163900624012,0.07171730232514911,9.855097881805975
fast:slow,density,0.0697749492195952,0.07126001285286948,0.07282337852392955,10.466703320999791
fast:slow,density,0.07097488978775789,0.07242477369424011,0.07394661241639575,11.11626487364247
fast:slow,density,0.0721954448956419,0.07360794914052698,0.07508743798772782,11.806138088680799
fast:slow,density,0.073437666268481,0.07480912271086282,0.0762468263360794,12.538824699966618
fast:slow,density,0.07469617393820775,0.07603295160309648,0.0774273162744194,13.316981698463321
fast:slow,density,0.07597863379278914,0.07727672493347154,0.07862065350311992,14.143430967471712
fast:slow,density,0.07728462111099879,0.07853800214568399,0.07982887566188025,15.021169515816068
fast:slow,density,0.07861461694367544,0.07982395084279587,0.0810648392341682,15.953380346099765
fast:slow,density,0.0799677330443402,0.0811267127894704,0.08231086533130053,16.94344399744265
fast:slow,density,0.08133677970284092,0.08245323015057646,0.0835818776669938,17.994950804558478
fast:slow,density,0.08273228080333928,0.08380080202039629,0.08488132342383961,19.11171391762827
fast:slow,density,0.08416206190825834,0.08517058685570075,0.08618087616293464,20.297783130184442
fast:slow,density,0.08560725492210511,0.08656324149182287,0.08751340575993499,21.557459565150744
fast:slow,density,0.08707797297506124,0.08797583431089545,0.08886963660110253,22.89531127229491
fast:slow,density,0.08857153828762168,0.08941395142419392,0.09024500474110296,24.316189793656182
fast:slow,density,0.09008890027797259,0.09087365923744112,0.09164393203431039,25.825247757020012
fast:slow,density,0.09162531458600022,0.09235991957992087,0.09305950286320759,27.427957561240333
fast:slow,density,0.0931917983752947,0.09386619929817377,0.09450586100458701,29.13013122116929
fast:slow,density,0.09478762779076046,0.09540283739779173,0.09598660356808701,30.937941444159375
fast:slow,density,0.09640528958654057,0.0969581823506131,0.09748517515680455,32.85794401456916
fast:slow,density,0.09803153659303163,0.09854009955143006,0.09902593403450291,34.897101567447145
fast:slow,density,0.0996796003757531,0.10014708281835147,0.10058467443542302,37.06280883760554
fast:slow,density,0.10134925067874627,0.10178454108632218,0.10219227548810704,39.36291947564684
fast:slow,density,0.10303267318908403,0.10344366947172666,0.10384262626536264,41.805774528187634
fast:slow,density,0.10470833247753689,0.10513069869004568,0.10556185219578608,44.40023268555952
fast:slow,density,0.10640653438417053,0.10684055575802964,0.10731824018677472,47.15570240667638
fast:slow,density,0.10809485820121752,0.1085897395848703,0.10912224762065824,50.08217603756468
fast:slow,density,0.10980998994971446,0.11036689244893466,0.11095273179542138,53.19026604728295
fast:slow,density,0.11153684724084369,0.11217331028235515,0.1128326089144249,56.4912435126354
