"year","prod_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975"
1995,1,"fg1",1.05921252001675,"diameter growth individual",0.703775586968256,0.708091118633553,0.721862471344434,0.730896577483597,0.73992790225327,0.753429136210452,0.757169546800584
1995,1,"fg1",1.12193116256024,"diameter growth individual",0.703775586968251,0.708091118633551,0.721862471344436,0.730896577483599,0.739927902253271,0.753429136210454,0.757169546800587
1995,1,"fg1",1.18836353398076,"diameter growth individual",0.703775586968256,0.708091118633551,0.721862471344437,0.730896577483598,0.739927902253269,0.753429136210454,0.757169546800587
1995,1,"fg1",1.25872953352377,"diameter growth individual",0.703775586968256,0.708091118633554,0.721862471344435,0.730896577483597,0.739927902253273,0.753429136210453,0.757169546800585
1995,1,"fg1",1.33326208122323,"diameter growth individual",0.703775586968257,0.708091118633551,0.721862471344437,0.730896577483598,0.739927902253271,0.753429136210455,0.757169546800586
1995,1,"fg1",1.41220788889523,"diameter growth individual",0.703775586968254,0.708091118633554,0.721862471344434,0.730896577483598,0.73992790225327,0.753429136210453,0.757169546800584
1995,1,"fg1",1.49582827678426,"diameter growth individual",0.703775586968254,0.708091118633552,0.721862471344436,0.730896577483596,0.739927902253272,0.753429136210453,0.757169546800588
1995,1,"fg1",1.58440003856497,"diameter growth individual",0.703775586968255,0.708091118633552,0.721862471344434,0.730896577483599,0.739927902253269,0.753429136210453,0.757169546800584
1995,1,"fg1",1.67821635756304,"diameter growth individual",0.703775586968255,0.708091118633553,0.721862471344438,0.730896577483596,0.739927902253272,0.753429136210455,0.757169546800588
1995,1,"fg1",1.77758777722769,"diameter growth individual",0.703775586968254,0.70809111863355,0.721862471344434,0.730896577483597,0.739927902253272,0.753429136210453,0.757169546800584
1995,1,"fg1",1.88284322906832,"diameter growth individual",0.703775586968256,0.708091118633554,0.721862471344437,0.730896577483599,0.739927902253269,0.753429136210454,0.757169546800586
1995,1,"fg1",1.99433112145793,"diameter growth individual",0.703775586968251,0.70809111863355,0.721862471344435,0.730896577483597,0.739927902253271,0.753429136210452,0.757169546800587
1995,1,"fg1",2.11242049290729,"diameter growth individual",0.703775586968257,0.708091118633551,0.721862471344435,0.730896577483597,0.739927902253273,0.753429136210452,0.757169546800585
1995,1,"fg1",2.23750223362737,"diameter growth individual",0.703775586968255,0.708091118633554,0.721862471344435,0.730896577483597,0.73992790225327,0.753429136210454,0.757169546800588
1995,1,"fg1",2.36999037942355,"diameter growth individual",0.703775586968256,0.708091118633551,0.721862471344436,0.7308965774836,0.73992790225327,0.753429136210452,0.757169546800584
1995,1,"fg1",2.51032348220468,"diameter growth individual",0.703775586968255,0.708091118633552,0.721862471344438,0.730896577483597,0.739927902253271,0.753429136210457,0.757169546800585
1995,1,"fg1",2.65896606164325,"diameter growth individual",0.703775586968254,0.708091118633555,0.721862471344436,0.730896577483597,0.739927902253272,0.753429136210451,0.757169546800587
1995,1,"fg1",2.81641014279217,"diameter growth individual",0.703775586968254,0.708091118633551,0.721862471344434,0.730896577483597,0.739927902253269,0.753429136210454,0.757169546800586
1995,1,"fg1",2.98317688474764,"diameter growth individual",0.703775586968255,0.708091118633553,0.721862471344436,0.730896577483598,0.739927902253271,0.753429136210456,0.757169546800587
1995,1,"fg1",3.15981830574927,"diameter growth individual",0.703775586968256,0.708091118633552,0.721862471344435,0.730896577483597,0.73992790225327,0.753429136210451,0.757169546800584
1995,1,"fg1",3.34691911042775,"diameter growth individual",0.703775586968254,0.708091118633551,0.721862471344436,0.730896577483598,0.739927902253271,0.753429136210455,0.757169546800585
1995,1,"fg1",3.54509862524841,"diameter growth individual",0.703775586968254,0.708091118633552,0.721862471344435,0.730896577483597,0.739927902253271,0.753429136210453,0.757169546800587
1995,1,"fg1",3.75501284855729,"diameter growth individual",0.703775586968258,0.708091118633553,0.721862471344437,0.730896577483597,0.739927902253272,0.753429136210453,0.757169546800586
1995,1,"fg1",3.97735662201565,"diameter growth individual",0.703775586968255,0.708091118633554,0.721862471344435,0.730896577483598,0.739927902253269,0.753429136210453,0.757169546800585
1995,1,"fg1",4.21286593061052,"diameter growth individual",0.703775586968254,0.708091118633551,0.721862471344439,0.730896577483597,0.739927902253273,0.753429136210453,0.757169546800584
1995,1,"fg1",4.46232033885469,"diameter growth individual",0.703775586968256,0.708091118633551,0.721862471344431,0.730896577483597,0.739927902253267,0.753429136210456,0.757169546800588
1995,1,"fg1",4.72654557124029,"diameter growth individual",0.703775586968251,0.708091118633553,0.721862471344439,0.730896577483598,0.739927902253272,0.753429136210451,0.757169546800584
1995,1,"fg1",5.00641624548745,"diameter growth individual",0.703775586968256,0.708091118633551,0.721862471344434,0.730896577483598,0.739927902253272,0.753429136210454,0.757169546800588
1995,1,"fg1",5.30285876763557,"diameter growth individual",0.703775586968257,0.708091118633554,0.721862471344435,0.730896577483597,0.739927902253272,0.753429136210452,0.757169546800586
1995,1,"fg1",5.6168543985602,"diameter growth individual",0.703775586968253,0.708091118633553,0.721862471344435,0.730896577483598,0.73992790225327,0.753429136210454,0.757169546800584
1995,1,"fg1",5.94944250206614,"diameter growth individual",0.703775586968255,0.708091118633551,0.721862471344437,0.730896577483596,0.739927902253271,0.753429136210455,0.757169546800587
1995,1,"fg1",6.30172398530825,"diameter growth individual",0.703775586968255,0.708091118633554,0.721862471344436,0.730896577483597,0.739927902253269,0.753429136210452,0.757169546800585
1995,1,"fg1",6.67486494292836,"diameter growth individual",0.703775586968253,0.70809111863355,0.721862471344435,0.730896577483599,0.739927902253274,0.753429136210453,0.757169546800586
