ratio,light_area,q025,q05,q25,q50,q75,q95,q975
fast:slow,1,0.020038868479789675,0.027284696927386696,0.06271400312168005,0.10124318759550208,0.13706153381035022,0.18593290100913287,0.20250384232490312
fast:slow,1.0620598036192959,0.023103457115706275,0.03120480321829556,0.06653615975410208,0.10385457396256245,0.13811084633970697,0.1855614846641811,0.20177936134571228
fast:slow,1.1279710264638572,0.027325127115936584,0.035751717944748136,0.07116664446449543,0.10615220007519591,0.13908115258803988,0.18625173914995263,0.20187345469833368
fast:slow,1.1979726868544596,0.032314414331199186,0.04086302157725911,0.07550440087759328,0.10826426716458462,0.14001560355111167,0.18632464931621043,0.20204054565612162
fast:slow,1.2723186365419277,0.03802798466031156,0.04656449464910302,0.08052055055325538,0.11096606842721057,0.14135532817844806,0.18605818304033306,0.20081869471819735
fast:slow,1.3512784812668899,0.04480216290865564,0.05325728097590614,0.08600624084283487,0.11405592594260129,0.14281623668723784,0.18514295082132182,0.20068465200933647
fast:slow,1.4351385584492933,0.05228861778345295,0.06021113489464236,0.09141709741039755,0.11685786401621483,0.14441629814133553,0.18512282122716264,0.20166877819448287
fast:slow,1.5242029755531357,0.060515898441313436,0.06765855494034194,0.09678764586720175,0.12002005348045372,0.1460886247757509,0.1854572377288148,0.20179037111110593
fast:slow,1.6187947128919096,0.06973656469624932,0.07739534519602152,0.10329572839355343,0.12327532681554046,0.14793577808097402,0.18597183892992714,0.20194419907616779
fast:slow,1.719256794873936,0.08064689847432117,0.08693208337376693,0.10886724472895139,0.12784536430704982,0.15038481685068758,0.18754475037854698,0.20253373545239603
fast:slow,1.8259535339349524,0.08837265577630435,0.09408332671528219,0.1152704625922873,0.13317140375263367,0.15441251574547685,0.19033063030233066,0.2044902952743751
fast:slow,1.9392718516689147,0.0926346067504391,0.09964480769685749,0.12116698676755143,0.13955514970004942,0.15970402437734005,0.19434445251026475,0.20871177009335626
fast:slow,2.0596226819479155,0.097103179446229,0.10332043176517046,0.1265879946733896,0.1459030343904934,0.16671849097716804,0.2010278619471045,0.21637420135828944
fast:slow,2.1874424611194505,0.10084055247875089,0.10742978285859389,0.13284576155388056,0.1521028739137909,0.17596782581237272,0.21563326338456576,0.23333069187441077
fast:slow,2.323194710685033,0.1044727310527351,0.1114442271866261,0.1375627442040771,0.15785026687898404,0.1838663183727754,0.2317874839711278,0.24846732001058316
fast:slow,2.4673717181995327,0.11002502007871591,0.11609836472517941,0.14269426732964133,0.16468847994551294,0.19285073517860596,0.24500372196371042,0.26335782138095787
fast:slow,2.6204963224868,0.11827652469197672,0.12684126723484113,0.15242518027779325,0.1756232267084284,0.2041638575953894,0.25971189268168016,0.2801315789462054
