"year","dens_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975","prod_model"
1995,1,"fg1",1,"density",5446.9845534,5461.0456179,5509.1944755,5550.08301,5588.713677,5646.4007457,5665.4473596,NA
1995,1,"fg1",1.05921252001675,"density",4964.5446699993,4976.90789831023,5019.22557453819,5055.14114432242,5089.05568972083,5139.66806997596,5156.37038002708,NA
1995,1,"fg1",1.12193116256024,"density",4524.83452794732,4535.69040827534,4572.83283066754,4604.33689784077,4634.06953905397,4678.41179881684,4693.03724991242,NA
1995,1,"fg1",1.18836353398076,"density",4124.06955043238,4133.58814349487,4166.14072961947,4193.73419328338,4219.7613471127,4258.55068096092,4271.33758939752,NA
1995,1,"fg1",1.25872953352377,"density",3758.80036093171,3767.1334244655,3795.61843210017,3819.74796244002,3842.49430797742,3876.36973446834,3887.53036276044,NA
1995,1,"fg1",1.33326208122323,"density",3425.88309449339,3433.16599164785,3458.04911957803,3479.11284409323,3498.95676373771,3528.48737611172,3538.21069046339,NA
1995,1,"fg1",1.41220788889523,"density",3122.45233855068,3128.80575178455,3150.5020663518,3168.85467338603,3186.13313469034,3211.82550071882,3220.2796433518,NA
1995,1,"fg1",1.49582827678426,"density",2845.89647037065,2851.42794033722,2870.30719543345,2886.26451369327,2901.27744851799,2923.58224572585,2930.91675103945,NA
1995,1,"fg1",1.58440003856497,"density",2593.83517886711,2598.64048584623,2615.03189734369,2628.87500426262,2641.88923608717,2661.20719995861,2667.5549805925,NA
1995,1,"fg1",1.67821635756304,"density",2364.09897730846,2368.26338100642,2382.45991056451,2394.43881711094,2405.69158227819,2422.37883728613,2427.85796353998,NA
1995,1,"fg1",1.77758777722769,"density",2154.71053058672,2158.30988255753,2170.57208029196,2180.90903507828,2190.61113917692,2204.98397547667,2209.69926918444,NA
1995,1,"fg1",1.88284322906832,"density",1963.86763633197,1966.96937785948,1977.52882843964,1986.4212797156,1994.75992618371,2007.09907850583,2011.14354033909,NA
1995,1,"fg1",1.99433112145793,"density",1789.9277133909,1792.59177039598,1801.65418270004,1809.27743296063,1816.41875728045,1826.97323687724,1830.4293241408,NA
1995,1,"fg1",2.11242049290729,"density",1631.39366416209,1633.67324954919,1641.42122600649,1647.93081047208,1654.02214997996,1663.0126753636,1665.95344562509,NA
1995,1,"fg1",2.23750223362737,"density",1486.90098910557,1488.84332192548,1495.43884007028,1500.97265716702,1506.14458348822,1513.76665109073,1516.25678543633,NA
1995,1,"fg1",2.36999037942355,"density",1355.20604252119,1356.85299239234,1362.43962790202,1367.11984705092,1371.48798545315,1377.91461718926,1380.01133550229,NA
1995,1,"fg1",2.51032348220468,"density",1235.17532851387,1236.56399290094,1241.26891046283,1245.20367994459,1248.87033745858,1254.25453843617,1256.00841783986,NA
1995,1,"fg1",2.65896606164325,"density",1125.77574501597,1126.93896620526,1130.87470191553,1134.15967728969,1137.215299242,1141.69225550185,1143.14796197699,NA
1995,1,"fg1",2.81641014279217,"density",1026.06569189753,1027.03251982328,1030.2985764428,1033.01828793755,1035.54276055737,1039.23180369602,1040.4287458675,NA
1995,1,"fg1",2.98317688474764,"density",935.186966631873,935.983073090807,938.667347339211,940.896422771413,942.960237747018,945.966600551715,946.939513722565,NA
1995,1,"fg1",3.15981830574927,"density",852.357377762828,853.005426997836,855.185486136372,856.989744248933,858.655039501533,861.071424274023,861.850891962308,NA
1995,1,"fg1",3.34691911042775,"density",776.864012597767,777.383992730793,779.128215945094,780.565643542998,781.887133038567,783.795112077828,784.40803157133,NA
1995,1,"fg1",3.54509862524841,"density",708.057101181651,708.466620524338,709.835219052108,710.956843962805,711.982648079688,713.453913808676,713.923911585997,NA
1995,1,"fg1",3.75501284855729,"density",645.344423739414,645.658975603578,646.704904141567,647.55557480506,648.327961603075,649.425442038718,649.773244306595,NA
1995,1,"fg1",3.97735662201565,"density",588.186213451643,588.419412715502,589.189183370258,589.808264765873,590.364311447874,591.143165107503,591.386928165472,NA
1995,1,"fg1",4.21286593061052,"density",536.090510691856,536.254305048248,536.788713951867,537.210708580287,537.582891488342,538.09139438133,538.246999040746,NA
1995,1,"fg1",4.46232033885469,"density",488.608928739369,488.713787255386,489.04856293845,489.303664688221,489.520385323095,489.800721377869,489.882035227043,NA
1995,1,"fg1",4.72654557124029,"density",445.33279452334,445.387875873588,445.554257561407,445.668845489048,445.754899274112,445.843864383146,445.862975299235,NA
1995,1,"fg1",5.00641624548745,"density",405.799311768093,405.829476110746,405.896349297346,405.917236691596,405.926871913499,405.92955779435,405.92966392471,NA
1995,1,"fg1",5.30285876763557,"density",369.335626760533,369.41076085534,369.612637181898,369.725913253795,369.826323228007,369.918447474932,369.939952158587,NA
1995,1,"fg1",5.6168543985602,"density",336.14843899132,336.258224980062,336.567482779525,336.754724721326,336.935235802473,337.124091572281,337.174339252657,NA
1995,1,"fg1",5.94944250206614,"density",305.943334054705,306.080942539252,306.476724736006,306.723820421789,306.969369119999,307.237051556179,307.310779457899,NA
