fg,q025,q05,q25,q50,q75,q95,q975
all,1.0059796235566403,1.0062948704895627,1.007810993992413,1.0098232961563332,1.012135060669175,1.018003273932413,1.0204808567813555
by_fg,1.0150658290578156,1.0163991065375735,1.0205009040356914,1.0241576626818594,1.027422672558568,1.0316811220443942,1.033000800575734
