fg,q025,q05,q25,q50,q75,q95,q975
all,1.0027248041807224,1.0028123835575966,1.0032039080008066,1.0036582881257092,1.0043462773522336,1.0059688687544472,1.0068968972834171
by_fg,1.0049440666599474,1.0050889694662715,1.0056065695838132,1.006039228814375,1.006558495145942,1.0076114757909687,1.0079106824319062
