year,model,fg,parameter,mean,se_mean,sd,q025,q25,q50,q75,q975,n_eff,Rhat
1995,3 segment,all,alpha,2.849391660325677,6.612310537179815e-4,0.024109846308106985,2.801126691921231,2.834219898974644,2.8495356007888204,2.865630821260343,2.8949990906368828,1329.4818143240109,1.0032496431254256
1995,3 segment,all,beta_low,-0.962313222533356,0.001334097547132522,0.04412145155916856,-1.0368288070216205,-0.9920473819306216,-0.9652447088262481,-0.9358213596043958,-0.8705141624796495,1093.765983422,1.0047576566689749
1995,3 segment,all,beta_mid,-0.5772599858186844,0.0018531000472665037,0.06536137497775203,-0.7051931423621107,-0.6195032129788539,-0.5786818808535734,-0.5365643064496688,-0.44329586104536417,1244.0694489293487,1.0029488553908252
1995,3 segment,all,beta_high,-2.1331895640140157,0.002239536113351126,0.09552634979006841,-2.3226388485837877,-2.194551056939394,-2.133851094268521,-2.0718611502818085,-1.943039819251078,1819.408527915786,1.0008466020510174
1995,3 segment,all,tau_low,8.703475312799151,0.0013891322263133918,0.05400552276879932,6.391320560537676,8.183513773359111,9.026756404995666,9.551949187031372,9.947235824584633,1511.433958414626,1.0008274595545326
1995,3 segment,all,tau_high,75.22569742637704,5.341034275004563e-4,0.019358579840882732,68.50512652527547,73.28694386214337,75.39662266837192,77.46379277860528,81.31038405067919,1313.7001758054757,1.0011190461483381
1995,3 segment,fast,alpha,2.110319541437981,8.15184668078483e-4,0.031185093688324103,2.048814644178625,2.089251630566981,2.1105884635890746,2.131604611120114,2.1703980999772767,1463.464191495619,1.0008592919496861
1995,3 segment,fast,beta_low,-0.9129304185513889,0.002219611082415806,0.06015476876425446,-1.0232071395148998,-0.9554857883526264,-0.9153011866236824,-0.874189674407003,-0.7855647408502692,734.4907897750169,1.0048863199105955
1995,3 segment,fast,beta_mid,-0.5565283946852999,0.00904487085972927,0.17594967852975033,-1.0033946149173034,-0.6332752942165129,-0.5163039855223229,-0.44004631267963035,-0.30601480420550314,378.4183732103821,1.0092023440849833
1995,3 segment,fast,beta_high,-2.6554407536804145,0.00473806382609006,0.21458411781573833,-3.0717353293418306,-2.7920318302585185,-2.661471146833539,-2.5294345333559285,-2.2060879614157134,2051.1307076575513,1.0027042160718205
1995,3 segment,fast,tau_low,10.29210117355354,0.009773593141847767,0.17153150628164643,5.667920755592538,7.6493771066739,9.451064738289755,13.503720425202186,24.4133149153986,308.02026518041487,1.0120917744915632
1995,3 segment,fast,tau_high,60.61585373237515,0.0019310423484041478,0.042898539460625315,52.62611524052921,56.743197023979434,59.35478957421765,63.12732172492983,76.19188107588532,493.51620353872516,1.007450119901168
1995,3 segment,large pioneer,alpha,2.086378066641675,0.0011198073707785942,0.032402625634007684,2.0244351352578467,2.064686434435638,2.0861638764764328,2.1085554109190796,2.1501491187001394,837.285871280597,1.00288365822646
1995,3 segment,large pioneer,beta_low,-0.858781215746088,0.0023051322877437955,0.05588809949875769,-0.9609556435624986,-0.8980330848899585,-0.8599122053431771,-0.8208071523701269,-0.7424296186176963,587.8235417991003,1.0052737691026206
1995,3 segment,large pioneer,beta_mid,-0.3937195084794149,0.007867778865342592,0.15173606549845786,-0.8336237827242926,-0.4465640516498236,-0.3673365457128548,-0.2996604516467677,-0.1771771166479241,371.94039449013235,1.008194246646146
1995,3 segment,large pioneer,beta_high,-1.970268566899963,0.008875621837180376,0.1922870098652981,-2.260287207291064,-2.0921227527899067,-1.9959277458299083,-1.8838046870017595,-1.4511705538422464,469.35593304475844,1.0065598577213957
1995,3 segment,large pioneer,tau_low,12.2582981602939,0.011145435810424561,0.19062788061234023,6.541703828566748,9.23655211524287,11.084548465397296,14.2557199394184,36.582290724074035,292.5356026780858,1.012397622667092
1995,3 segment,large pioneer,tau_high,77.12931219229027,0.001328682696585681,0.035515430984452916,66.73113643915688,73.34337312735312,76.63344760687364,80.58856189427642,93.00603497558069,714.4825396273338,1.0036263092867348
1995,3 segment,slow,alpha,2.3016732203800423,7.067763817835557e-4,0.03172001495215529,2.239738576937595,2.280796799918194,2.301222964989553,2.3231733428202634,2.3646176254296005,2014.2005492055544,1.000205083027495
1995,3 segment,slow,beta_low,-0.9845529444785517,0.0015452016158197053,0.06057300051586726,-1.1051708373447673,-1.0256397757234383,-0.9837516909887971,-0.9418620825025998,-0.8650688176565166,1536.6956686944814,1.000701657621338
1995,3 segment,slow,beta_mid,-0.8531633121419154,0.00159285417778733,0.08507603394413356,-1.0244670575271306,-0.9110231416889933,-0.8508920582661881,-0.794725781158121,-0.6938300833310094,2852.7415907361724,0.999773477033268
1995,3 segment,slow,beta_high,-2.603949156307681,0.00623483909649901,0.3426547501825788,-3.4202738623671864,-2.7738285178666846,-2.5729646712043994,-2.374468231743973,-2.0230094764515174,3020.3899284485524,1.0009081425428816
1995,3 segment,slow,tau_low,9.195722683067647,0.0018360653016884548,0.07282751169244964,6.825945362653885,8.125920640083551,9.204296226631453,10.23113463389277,13.165858556580348,1573.3114257216187,1.0003162334255313
1995,3 segment,slow,tau_high,81.05368804503277,6.849448158538072e-4,0.035547495925885575,70.07653352778212,76.97934567258511,80.24754002752405,84.32231693194306,97.03814657812227,2693.437238841948,1.000354429000924
1995,3 segment,small breeder,alpha,2.0547087647946616,0.0011478200126764516,0.04158619807214761,1.9824216467678584,2.0248810490367557,2.051445758138209,2.080692452006857,2.145300417807513,1312.655765322443,1.0034302070501417
