ratio,dbh,q025,q05,q25,q50,q75,q95,q975
fast:tall,1,0.890276660530156,0.9112635597066953,0.9946480134991873,1.054601233745547,1.1293820916699624,1.2461121519199698,1.2854034204644793
fast:tall,1.0592125200167528,0.8918351766627244,0.9128386656697947,0.9932647843099075,1.0516987637983852,1.1239213286257572,1.2346438403010411,1.271462842475391
fast:tall,1.12193116256024,0.8946865401394695,0.9147507806798554,0.9922748558357691,1.048837124236752,1.1183468421478855,1.2251091582350158,1.2570881936906495
fast:tall,1.188363533980757,0.8963695528616623,0.9167308319697928,0.99107829955896,1.0459691745198376,1.1125756223757055,1.2134757861243408,1.2458516169004448
fast:tall,1.2587295335237716,0.8998031253221996,0.9183827427154947,0.99036084584116435,1.0434587120437324,1.1059165110727087,1.2036194385882784,1.235563785067098
fast:tall,1.3332620812232259,0.9005258899687923,0.9205770270910616,0.9889023898870277,1.0404354530518498,1.0997980334433826,1.1928348569405782,1.2239857773194154
fast:tall,1.4122078888952336,0.9027027369553594,0.921336039947546,0.9878575683956137,1.0371723233884573,1.0934981370064838,1.1819254934010073,1.2135775402830942
fast:tall,1.4958282767842588,0.9045300551515397,0.9214891712082242,0.9861611359472874,1.0345102160032633,1.087172832264307,1.1726879917414368,1.2052577611800979
fast:tall,1.5844000385649717,0.9051511585143078,0.9219950808760802,0.9842290025642694,1.0314049184415288,1.0818634320905178,1.1648072171260995,1.1941507807722096
fast:tall,1.678216357563044,0.9062330849932381,0.922640561463091,0.9827939944879155,1.0287384747764932,1.0770636908701259,1.1569104595634534,1.1836622612626178
fast:tall,1.7775877772276876,0.9066148981134572,0.9232943645323747,0.9810381208691257,1.025550666152364,1.0721249524077308,1.1471312880152675,1.1744819765370123
fast:tall,1.8828432290683172,0.9063900853581396,0.9235634317073157,0.9797085047009647,1.0226992316046428,1.0668252442290254,1.140025585321972,1.165184053334091
fast:tall,1.9943311214579325,0.906191988000904,0.9236029901352804,0.9779770940086191,1.0191642536263728,1.0616365080448364,1.132902043174025,1.1572525533672675
fast:tall,2.1124204929072934,0.9068623156649247,0.9234642731702902,0.976015884410454,1.015933191159331,1.0570037416173501,1.1252126530190183,1.1485929892132805
fast:tall,2.237502233627365,0.9063540678102802,0.9235996323569355,0.9735352062668838,1.0130689415816483,1.0524907529011545,1.1188653855961346,1.141767226717456
fast:tall,2.3699903794235544,0.9058862432173886,0.9229113935661847,0.9718057317360344,1.0109133802149128,1.0477084784632111,1.1109392587507372,1.1330623448490205
fast:tall,2.5103234822046834,0.9049548215110411,0.9228372900565179,0.9707445183421257,1.0072345968915029,1.0434245474822488,1.1045738373761678,1.1273723896007195
fast:tall,2.658966061643253,0.9042416133213286,0.9212084228190474,0.9681360525665818,1.0038786152622348,1.0402625776455752,1.0985219784119429,1.123984060833573
fast:tall,2.8164101427921704,0.9028307584604759,0.9189908501129879,0.9654884795080817,1.000816974641622,1.036315213322197,1.0937804453244184,1.1185624945028387
fast:tall,2.983176884747637,0.9020143080427409,0.9166900046346974,0.9628159585265261,0.9968224776721444,1.0341033764607581,1.0898230186493962,1.113244893642937
fast:tall,3.159818305749271,0.8989053706967247,0.9128150345824536,0.9593404371460672,0.9932567368355587,1.030790123858096,1.086154292853445,1.1080110647515515
fast:tall,3.346919110427752,0.8962950005819803,0.9101073427419483,0.9563378606990055,0.9900592928969538,1.0275555281219273,1.0827980123320944,1.1038149102194914
fast:tall,3.5450986252484076,0.8919901771173534,0.9084243189198957,0.9527577809567702,0.9873400604387206,1.024233214668349,1.0799365683282502,1.0995587560234836
fast:tall,3.7550128485572913,0.8877319640103858,0.9053508071507382,0.9498146322685204,0.9840370001645024,1.021115774368393,1.077019917867606,1.0969481973031148
fast:tall,3.977356622015655,0.8835087497651483,0.9006032661957108,0.9455426770328846,0.9806299113249761,1.0183698101606322,1.075684901649063,1.0967118695071147
fast:tall,4.212865930610521,0.8788056225966958,0.8964188756510526,0.9417824629053576,0.9776176224866971,1.0156997096358396,1.074347273037772,1.097927151217165
fast:tall,4.462320338854692,0.8734611331984397,0.8915569277138269,0.9379900317727934,0.9747445733909323,1.013726392212653,1.0714018259442657,1.097558803789039
fast:tall,4.726545571240288,0.8677328215347155,0.8862352460983629,0.9335963083344136,0.9721930971383375,1.0115632671606332,1.0709574684556196,1.0968254260408838
fast:tall,5.006416245487449,0.8613193424298143,0.8805487009399775,0.9297083279065599,0.968984062109779,1.0095839186355007,1.069745205262833,1.096586658200934
fast:tall,5.30285876763557,0.8554848149578376,0.8737367707182268,0.9255621042520482,0.9659389763980446,1.0066422611171268,1.0708300226578877,1.0948516388346117
fast:tall,5.616854398560204,0.8487653069524832,0.8677943154789862,0.9214618726649376,0.9626282569776636,1.0040959135041123,1.0694678419373176,1.0941713660514476
fast:tall,5.9494425020661375,0.8420195736294056,0.8613355551150175,0.9172168576568658,0.9588171211177474,1.0015347258209824,1.0683152302373455,1.0896532600214055
fast:tall,6.301723985308247,0.835358226233772,0.8554377721888885,0.912209953038587,0.9551704232757646,0.998766352704362,1.0667527529075846,1.0893218028613263
fast:tall,6.674864942928363,0.8274737861324973,0.8483284581227678,0.9074404311101062,0.9511085520819818,0.9958173904687588,1.0639678676287687,1.0870933889347703
fast:tall,7.070100516970632,0.8174381948212499,0.8415286963564278,0.9019413085319078,0.9456638696006274,0.9906422390001406,1.0609211210356826,1.0836369499990828
fast:tall,7.4887389853522075,0.8097528018963996,0.8327601152681625,0.8957644312032675,0.9385275408903805,0.9852402168606692,1.0543148777753817,1.077891886100458
fast:tall,7.932166092422615,0.8003544481488265,0.8228847938587148,0.8888676385019947,0.9311314413709407,0.979870109609649,1.0476699288096594,1.0690828542200235
fast:tall,8.401849635946396,0.7911265029096565,0.8136883846304355,0.8798067051534602,0.9214498962932594,0.9715171578195346,1.0391354693992405,1.0584987788117384
fast:tall,8.899344325692619,0.782202018353229,0.8036896845464631,0.8688738394790533,0.9126774841569133,0.9615199235931321,1.0290763139031114,1.0499993321297079
fast:tall,9.426296929713669,0.7707075023562837,0.7904103779952594,0.8579391846350888,0.9034182647785756,0.9504961522438858,1.0189077976148375,1.0410579925090289
fast:tall,9.984451725348194,0.7600706159684283,0.7793800678795259,0.8468266735594129,0.892135751939919,0.9398461037314767,1.0110184143296739,1.0307501797648553
fast:tall,10.575656272991674,0.7513144000976582,0.7712270742013138,0.8349180524999508,0.8811705924176478,0.9295663762993834,1.0010194454449635,1.023201338204368
fast:tall,11.201867531746496,0.7398239928715381,0.7630599173870913,0.8249774960073217,0.869980793450614,0.9194882232238919,0.9915858839813765,1.0185976111714423
fast:tall,11.865158337195048,0.7319678828354161,0.7536750503834725,0.8144128735701862,0.8598239694833594,0.9092812712354958,0.9862111194185234,1.0136037038260228
fast:tall,12.56772426273815,0.7232898215685436,0.7453135799625482,0.804410693772211,0.8497149961970087,0.8993547124796334,0.983050092203777,1.008471621803513
fast:tall,13.311890887210561,0.7180697317331853,0.7374056491214147,0.7952872294392385,0.8397179950744249,0.8897461882095992,0.9752983750199605,1.0053588782424994
fast:tall,14.100121492830345,0.7120436148590443,0.729964120822673,0.7869883288509002,0.8293648745176032,0.8795612150295005,0.9671426259550221,1.0021177159587047
fast:tall,14.935025218963206,0.707378015713875,0.7233977851919127,0.779194060504887,0.8187227646408405,0.8691088429213,0.9597507044406709,0.9904669447832632
fast:tall,15.81936569869178,0.7008227403617594,0.7162569188985808,0.7704668321313328,0.809185813276015,0.8597675913833626,0.9511000046639753,0.9855700635433569
fast:tall,16.7560702067779,0.6940680843610579,0.7102387127464256,0.7622408604435408,0.7998699154935044,0.8475591206631126,0.9420650420708325,0.9727901342152357
fast:tall,17.74823934929885,0.687964133917237,0.7046159231495989,0.7541411687443813,0.7908635205566011,0.8355329088542226,0.933321616900734,0.9609719988063595
fast:tall,18.799157327031324,0.6813934932770094,0.6975120096329471,0.7455806268794061,0.7819030381107386,0.824211981582771,0.9209920200118054,0.9559421789064464
fast:tall,19.91230280655625,0.675450218066725,0.6905280351389688,0.7369478795483546,0.7720557436947806,0.8134697581172557,0.9076350334272392,0.9421134336014748
fast:tall,21.091360435069106,0.6667053649667364,0.6817414850212622,0.7289199475296979,0.7629534844562269,0.8027137557245075,0.8949672520496856,0.9230793549489451
fast:tall,22.34023303701118,0.6568263761312294,0.673305270263911,0.7197161776212198,0.7529009784893403,0.7912422432315532,0.8789019007614318,0.9098243300481197
fast:tall,23.663054532894137,0.647522777303856,0.6626620499921082,0.711108042246572,0.7438779598632224,0.7799454659418756,0.8584814366918173,0.8975242863231823
fast:tall,25.06420362308064,0.6377644992515825,0.6525109627257576,0.7009771825570004,0.7346251287939852,0.7696585474170596,0.8420664022826932,0.8774920802716921
fast:tall,26.54831828181627,0.6277101785838408,0.6409454163831807,0.6910522109605949,0.7244596616609134,0.7585731159291322,0.8240417480264887,0.8534868226367032
fast:tall,28.12031110948944,0.6141008793546543,0.6310839780462218,0.6809003874283939,0.7149510415800888,0.7479613773343751,0.8074214593090229,0.8374812788278947
fast:tall,29.785385593937395,0.6010900009396996,0.6190971034836986,0.6712415233139827,0.7053974193165149,0.7385923967571706,0.7964282444018451,0.8196844861759807
fast:tall,31.54905333462511,0.5868438170818775,0.6043307511733874,0.6603209570475272,0.6962497893200368,0.7303631363976029,0.7853688323846998,0.8047577402439312
fast:tall,33.417152286711215,0.5738110876607095,0.5930225161290633,0.6498868708589025,0.6859839749496733,0.7218690069537594,0.7761835699833872,0.7951019910450392
fast:tall,35.39586608539098,0.5630454154225311,0.5795160972778904,0.6389095975017692,0.6764325758083398,0.7141810862759295,0.7683604117549564,0.7858793681259039
fast:tall,37.49174451448249,0.5521727134638935,0.5699229228203837,0.6288577851140336,0.6670564885747752,0.7060265192535472,0.7634982421336104,0.7812560189241357
fast:tall,39.711725187009264,0.5415419775366691,0.5600856109450127,0.6189785448074465,0.6586975538272308,0.6995816333876823,0.7584289227761373,0.7758076590401605
fast:tall,42.06315650954483,0.5291856685852333,0.5477311798627964,0.6083603949330687,0.6508236096662565,0.6932491298822663,0.75549411466844,0.773947340624182
fast:tall,44.55382200633406,0.5156050653085348,0.5346413038488256,0.5980839570072916,0.642924238766704,0.6873759652799907,0.753327067582736,0.7715218169927537
fast:tall,47.19196608370695,0.503914564972806,0.518283537505286,0.5874969846296232,0.635875483182668,0.6814288643616678,0.7495124726303164,0.7690649257874198
fast:tall,49.98632132006839,0.4905992782347586,0.5060082536668632,0.5773565019216563,0.6284127635803735,0.6758371470224696,0.7471984566696301,0.7692831078932878
fast:tall,52.94613737179677,0.47603314374572847,0.4931977058691755,0.5673266143647754,0.6203859407660113,0.6699628303591108,0.741984667608459,0.7660566941190499
fast:tall,56.08121159073401,0.45964271011587343,0.47852623402310546,0.5545064778513374,0.6048522196611308,0.6524666194097464,0.7227677858722087,0.747881184591297
fast:tall,59.40192145461414,0.4353724377014025,0.45705313878544407,0.5196187102138599,0.5630904971675226,0.6096413403858835,0.6751471651585728,0.7015826746604688
fast:tall,62.919258917779054,0.39854231195066814,0.4146267058202357,0.4630079143107822,0.5009358592930957,0.5402659858465597,0.6025445474169006,0.6248071912889253
fast:tall,66.6448667958873,0.34577356014015975,0.36199408046555964,0.4043164514664842,0.4361728980079567,0.47254783617344376,0.5343130762794805,0.5555880565490687
fast:tall,70.5910773050526,0.30224702732570274,0.31302738928636387,0.3476991098126557,0.37659601092056283,0.4135527467987209,0.4888633632391359,0.5173614010762956
fast:tall,74.77095288298216,0.2666985960811622,0.27510131770916935,0.3045550904181142,0.32826939225878493,0.35930381873852707,0.44180629789528425,0.47740183629046573
fast:tall,79.19832942723741,0.24255705269301076,0.25056771019501506,0.2754741909767424,0.2965694446541284,0.3247455791958369,0.396117655429679,0.42305557848723613
fast:tall,83.88786209374108,0.22476490609789293,0.23310181815283748,0.2577929596319099,0.27742433850162207,0.300865376917443,0.355361138341159,0.37327923343273944
fast:tall,88.85507380712932,0.21447244400658252,0.22208829941832237,0.24490867679664807,0.26209769507947567,0.28350552005246143,0.3248567324417133,0.34090189011888994
