"year","dens_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975","prod_model"
1995,1,"fg1",1.05921252001675,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",1.12193116256024,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",1.18836353398076,"density",-1.76607407226487,-1.76365404413509,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",1.25872953352377,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",1.33326208122323,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",1.41220788889523,"density",-1.76607407226486,-1.76365404413508,-1.75632624786831,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",1.49582827678426,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",1.58440003856497,"density",-1.76607407226486,-1.76365404413509,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",1.67821635756304,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",1.77758777722769,"density",-1.76607407226487,-1.76365404413509,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",1.88284322906832,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287853,-1.73833447016427,NA
1995,1,"fg1",1.99433112145793,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",2.11242049290729,"density",-1.76607407226487,-1.76365404413509,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",2.23750223362737,"density",-1.76607407226486,-1.76365404413508,-1.75632624786831,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",2.36999037942355,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",2.51032348220468,"density",-1.76607407226486,-1.76365404413508,-1.75632624786831,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",2.65896606164325,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046233,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",2.81641014279217,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016427,NA
1995,1,"fg1",2.98317688474764,"density",-1.76607407226487,-1.76365404413508,-1.75632624786831,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",3.15981830574927,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",3.34691911042775,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",3.54509862524841,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",3.75501284855729,"density",-1.76607407226486,-1.76365404413509,-1.75632624786831,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",3.97735662201565,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",4.21286593061052,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",4.46232033885469,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",4.72654557124029,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",5.00641624548745,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",5.30285876763557,"density",-1.76607407226486,-1.76365404413508,-1.75632624786831,-1.75142065046233,-1.74622966744356,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",5.6168543985602,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016428,NA
1995,1,"fg1",5.94944250206614,"density",-1.76607407226487,-1.76365404413508,-1.75632624786831,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",6.30172398530825,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",6.67486494292836,"density",-1.76607407226486,-1.76365404413509,-1.75632624786831,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",7.07010051697063,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287853,-1.73833447016427,NA
1995,1,"fg1",7.48873898535221,"density",-1.76607407226487,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287852,-1.73833447016427,NA
1995,1,"fg1",7.93216609242261,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744357,-1.74011871287852,-1.73833447016428,NA
1995,1,"fg1",8.4018496359464,"density",-1.76607407226486,-1.76365404413508,-1.75632624786832,-1.75142065046234,-1.74622966744356,-1.74011871287853,-1.73833447016428,NA
