"year","prod_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975","dens_model"
1995,1,"fg1",1.05921252001675,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.12193116256024,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",1.18836353398076,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.25872953352377,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",1.33326208122323,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.41220788889523,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.49582827678426,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",1.58440003856497,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.67821635756304,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.77758777722769,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",1.88284322906832,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",1.99433112145793,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",2.11242049290729,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",2.23750223362737,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",2.36999037942355,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",2.51032348220468,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",2.65896606164325,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",2.81641014279217,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",2.98317688474764,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",3.15981830574927,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",3.34691911042775,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",3.54509862524841,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",3.75501284855729,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",3.97735662201565,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",4.21286593061052,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
1995,1,"fg1",4.46232033885469,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",4.72654557124029,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",5.00641624548745,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.90551953769981,NA
1995,1,"fg1",5.30285876763557,"crown_volume",1.88580393956654,1.88730391587418,1.89244667609444,1.89600505413964,1.8993878843176,1.90408632405762,1.9055195376998,NA
