fg,light_per_area,q025,q05,q25,q50,q75,q95,q975
fg1,1,0.7370173261021439,0.7408665817405586,0.753114944414254,0.7616196903535255,0.7698306122082917,0.7818927212618754,0.7848778340794393
fg1,1.0620598036192959,0.7312810133691297,0.735187276689894,0.7473221171090331,0.7558115533805426,0.7640221121235519,0.7760986032935749,0.7791611928534741
fg1,1.1279710264638572,0.72541489039636875,0.7293209092551942,0.7414585926308874,0.7498914846119524,0.7581038649752487,0.7702756165290319,0.7732429299318075
fg1,1.1979726868544596,0.7194453531076225,0.7233454492748557,0.7355043736367102,0.7439221334346884,0.752117957185964,0.7642396049118637,0.7672051468382765
fg1,1.2723186365419275,0.7134157704330022,0.7173570200941474,0.7294532820336808,0.7378338044758603,0.7460274225042518,0.7581364516807628,0.7610928935066059
fg1,1.3512784812668899,0.7073943108228125,0.7112673985786961,0.7233526105285667,0.7316682311327194,0.7398367680159615,0.7519021368033916,0.754889066928074
fg1,1.4351385584492933,0.7012074406145524,0.7050925309649729,0.7171737538445055,0.7254067775253731,0.7335852534980781,0.7456181108476182,0.748577307836832
fg1,1.5242029755531357,0.6949483116431746,0.6988741750999488,0.7108716597174527,0.7190673523190692,0.7272273502250912,0.7392198599005613,0.7421468228906651
fg1,1.6187947128919096,0.688627012916114,0.6925323815218811,0.7044856559049912,0.7126464154705744,0.7207464178340514,0.7327252061607765,0.7356266614651322
fg1,1.719256794873936,0.6822099193074669,0.6861775255156639,0.697994251952362,0.7061198639126067,0.7141694336569833,0.7261189256928134,0.7290018324234864
fg1,1.8259535339349522,0.6757984790958458,0.6797994071124049,0.6914045700607558,0.6995378894090003,0.7075125812530946,0.7193184650772295,0.7222732623410207
fg1,1.9392718516689147,0.6693001198062933,0.6733007627930158,0.6848135872565128,0.6928214262506314,0.7007599862865346,0.712443680650419,0.7154433645374294
fg1,2.0596226819479155,0.6626158316275442,0.6667037053029686,0.6780991937213319,0.6860383822483624,0.6939157261837084,0.7055169406547402,0.7085132279369336
fg1,2.1874424611194505,0.6559957969391765,0.6600832288908487,0.6712913188333562,0.6791693825112912,0.6870298814252259,0.698485246591761,0.7014428053996205
fg1,2.3231947106850326,0.6493199043675622,0.6534578500709964,0.6644321879965716,0.6722973772330716,0.6800319089528032,0.6913386895343613,0.6943600303609545
fg1,2.4673717181995323,0.6425341305845739,0.6465633784098068,0.6575224155675213,0.665300065075668,0.6728991528298685,0.6841621687040563,0.6871756429658149
fg1,2.6204963224868,0.6356456302502715,0.6396786362149073,0.6505366483681696,0.6582649388905452,0.665707432335748,0.6768867972925453,0.679866747194316
fg1,2.7831238096454176,0.6288821093872461,0.6328299560968437,0.6434519646523422,0.65114525533273,0.6584644138467027,0.6695314629892296,0.6724679880834747
fg1,2.9558439267201986,0.6219727368808815,0.6257670100476103,0.6363383947749357,0.6439258670281278,0.651107948293441,0.6621307775106386,0.665073897960217
fg1,3.1392830203417423,0.6150561307285882,0.6187209195153354,0.6291605557099537,0.6367056390037628,0.6437073088429033,0.6546236753048811,0.6574735130446836
fg1,3.334106308089541,0.608054173045042,0.6116622738661062,0.6219381984102528,0.6294055037648678,0.6362932338082776,0.64695475208766,0.6499447259085178
fg1,3.5410202908154327,0.6009505270120167,0.6044914704723012,0.6146598523627836,0.6219949641681358,0.6287559779248796,0.6393130239311376,0.642340476412176
fg1,3.7607753146753806,0.5937867544834201,0.5973145464122648,0.6073048463343143,0.6145501924257484,0.621183531466746,0.6316022105425154,0.6346574651236795
