ratio,dbh,q025,q05,q25,q50,q75,q95,q975
fast:slow,1,0.5269281566625909,0.5441951983987979,0.6029984477810182,0.6446805330401112,0.6889499994014359,0.7573480174660658,0.7776263423761319
fast:slow,1.0592125200167528,0.532884644286103,0.5505087380103647,0.6067627172401625,0.6467806180036823,0.6895269793026069,0.7554127970474467,0.7758953669521022
fast:slow,1.12193116256024,0.5398858985517053,0.5568178737952163,0.610518087565204,0.6488557468650793,0.6910088723656568,0.7539206987077575,0.7748740686916911
fast:slow,1.188363533980757,0.5467928478542126,0.5629441714347742,0.61473087591823,0.6516782174677854,0.6917234541950033,0.7526926564726522,0.7738748921540172
fast:slow,1.2587295335237716,0.5534813400521005,0.5687901752283171,0.6185557634071451,0.6539106138977225,0.692708903542721,0.7519185081293355,0.7729133288051657
fast:slow,1.3332620812232259,0.5598444708048547,0.574589445360053,0.622254954233529,0.6566888803569058,0.6941184021886156,0.7505245813656,0.7726420700234297
fast:slow,1.4122078888952336,0.5660409907612023,0.5807056425582374,0.6262211764864107,0.6591833016491777,0.6947384638017589,0.7501617280906144,0.7701132247506359
fast:slow,1.4958282767842588,0.5730862206896962,0.5868593217530205,0.6303451233271402,0.6621985747583025,0.6957754432247895,0.749776091262288,0.7687352693787162
fast:slow,1.5844000385649717,0.5789651792304445,0.5919087815695417,0.6342129385233768,0.6647708302137743,0.6970726116690686,0.75043495141111,0.7679815833321654
fast:slow,1.678216357563044,0.5851550114149212,0.5967588387685191,0.6378436288563081,0.6670775785438128,0.6988162042429731,0.750230784956538,0.7664719685493986
fast:slow,1.7775877772276876,0.5903056158852383,0.6020412776450318,0.6418174128046058,0.6698711017177288,0.700238419595895,0.7496620163368906,0.7660042917048372
fast:slow,1.8828432290683172,0.5957512737872274,0.6078836450784127,0.6459077812071736,0.6726353120381748,0.7023875199308424,0.7494599731639091,0.7671607210727411
fast:slow,1.9943311214579325,0.6006103319929231,0.6130355055271878,0.6493612692398751,0.6752985994494229,0.703516752862346,0.74929092803092,0.7667168021439669
fast:slow,2.1124204929072934,0.6055759360205042,0.6182807577913966,0.6533175895140044,0.6784207818473392,0.7053480158600841,0.7508725208326239,0.7671888670098443
fast:slow,2.237502233627365,0.6119306440391926,0.6217736117405059,0.6568490265163023,0.6813217463741152,0.7068849708019503,0.7525084302186196,0.7684378581018712
fast:slow,2.3699903794235544,0.6147811480196876,0.6249232601250081,0.660126925887445,0.6841789211463436,0.7095303991918193,0.7534851532413104,0.7682946573448111
fast:slow,2.5103234822046834,0.6177117386424676,0.6282591545329383,0.6629256629182132,0.6875295280618308,0.7121940994567626,0.7554869921646389,0.7694521683739421
fast:slow,2.658966061643253,0.6201689224506234,0.6317235828778356,0.6660421610610308,0.6901931948818198,0.7144664266929159,0.7580337238770521,0.7723374709203643
fast:slow,2.8164101427921704,0.6239743900174044,0.6343426478088501,0.6683769361582508,0.6934556175124196,0.7178253566775323,0.7609405663708637,0.7757207202739789
fast:slow,2.983176884747637,0.6253029192997518,0.6356000454374877,0.6712265022005707,0.696313798629383,0.7212303735273736,0.7635915420341066,0.7792574821860335
fast:slow,3.159818305749271,0.6271478892695833,0.6374451038632075,0.6735526583875557,0.6992015519594355,0.7244804640732936,0.767644892144002,0.7826520622306784
fast:slow,3.346919110427752,0.6275131940550983,0.6384638115860759,0.6751672904144232,0.7021033586685042,0.7282370451849941,0.7721628466038198,0.7861574444250442
fast:slow,3.5450986252484076,0.6274908600495688,0.6393017451372257,0.6775107246430345,0.7050038960117792,0.7320425243554705,0.777266061737496,0.7903914542790017
fast:slow,3.7550128485572913,0.6280057503896922,0.6404564083243374,0.6794781827795513,0.708230313011636,0.7364545245065481,0.7828055882514171,0.7962723175068611
fast:slow,3.977356622015655,0.6274591312973323,0.6406420995622446,0.6812130291388103,0.711697805394309,0.7410938812282941,0.7891116949574349,0.8031486853545123
fast:slow,4.212865930610521,0.6276483841746092,0.6399792436521816,0.68303753656455235,0.7145252409568446,0.7457956671193418,0.7942071967643362,0.811007185238596
fast:slow,4.462320338854692,0.6263514189231766,0.6399387506807714,0.684565109361466,0.7176021317492265,0.749905502614516,0.8021404909143025,0.8186653386057522
fast:slow,4.726545571240288,0.6253831514214611,0.6399566296646682,0.686067788782138,0.7203438774823285,0.7544363426056521,0.8089040234540034,0.8262734190594011
fast:slow,5.006416245487449,0.6238654144235655,0.6391144428361848,0.6873687072058,0.7228575221353261,0.7588220369067522,0.8164925659331006,0.835552686306014
fast:slow,5.30285876763557,0.6234351283129975,0.6381501887422313,0.688459092203944,0.7254589055318756,0.7640934542248908,0.824693420497458,0.8431782336993593
fast:slow,5.616854398560204,0.6221243580369055,0.6371040509137074,0.689246546788651,0.7277366174883743,0.7688253375802733,0.832280338382163,0.8504022874894077
fast:slow,5.9494425020661375,0.6201054564119385,0.6360452015297966,0.6894474677878049,0.7306633953536297,0.7726520778152057,0.8390291554498149,0.85830294562797
fast:slow,6.301723985308247,0.6194324645686565,0.6350658187600202,0.6896579570121725,0.7330692178721856,0.7754095202673548,0.8451359786224897,0.8673504469505685
fast:slow,6.674864942928363,0.6178458587621375,0.6342699308047396,0.6903432824624139,0.7344230634387754,0.7790314578620353,0.8510947933134546,0.8741231627519799
