year,model,fg,dbh,q025,q05,q25,q50,q75,q95,q975
1995,3 segment,all,1,632.5963656429429,644.7996857176244,682.6842744791428,707.1891700621104,733.8897512264821,773.3013662467345,785.2339905227261
1995,3 segment,all,1.0592125200167528,600.8667023980933,611.9655986092755,646.9552334205426,668.9824341461185,693.4989215077755,729.6491813586022,739.705532328275
1995,3 segment,all,1.12193116256024,571.2319113654262,580.9165390334637,612.8034181226692,632.6891373756887,655.1471478851493,687.8054040831884,697.2527671239241
1995,3 segment,all,1.188363533980757,542.0307596751536,551.6122240319062,580.263616789333,598.4691242276256,618.8015791979112,648.5498393893379,657.542306440303
1995,3 segment,all,1.2587295335237716,515.3342978684758,523.8324723726716,549.6657753689078,566.1818782946085,584.8047023494667,611.535417864929,619.9576423906192
1995,3 segment,all,1.3332620812232259,489.43530495749286,497.4291864736027,520.573842680713,535.6855135133293,552.7225980593805,577.2327973713847,584.1504697701503
1995,3 segment,all,1.4122078888952336,464.8530502672504,472.52745903715214,493.0014815887471,507.03123271773165,522.1268386748217,544.5959111530565,550.5736199932263
1995,3 segment,all,1.4958282767842588,441.80402347097004,448.52773542083,467.0035796306997,479.6979948608565,493.3580148443843,514.0577845712137,519.3426913082337
1995,3 segment,all,1.5844000385649717,419.7903824070791,425.52507535286105,442.49862825093794,453.8163300781632,466.2388280514862,484.7688225593005,489.7396205755042
1995,3 segment,all,1.678216357563044,398.6309026628372,403.5531099170275,419.1413963452744,429.3227472295903,440.54256226311566,457.3634866407654,462.0869574388023
1995,3 segment,all,1.7775877772276876,378.8593739616599,383.0071422739053,396.8758215824844,406.2452255359942,416.4564251963184,431.51649779274885,435.7629483451917
1995,3 segment,all,1.8828432290683172,359.05903352239875,363.26518862957334,375.8384403041681,384.40447724608975,393.4662848145329,407.2044585811107,411.3648054341021
1995,3 segment,all,1.9943311214579325,340.78696187950254,344.51963985594017,355.91315351977914,363.74336576183526,371.82772684518903,384.3492117370952,388.3360585162149
1995,3 segment,all,2.1124204929072934,323.2183640924182,326.80538424260317,336.951933277128,344.1647878947205,351.458355918146,362.8839918459079,367.09312927786317
