"fg","year","bin_midpoint","bin_value","bin_count","bin_min","bin_max"
"all",1990,1.16673541359231,2520.52895575074,36008,1,1.33347082718462
"all",1990,1.55580763706853,1627.99456720531,31013,1.33347082718462,1.77814444695244
"all",1990,2.07462409674193,1252.24504615873,31810,1.77814444695244,2.37110374653142
"all",1990,2.76645071037962,753.217992148788,25514,2.37110374653142,3.16179767422781
"all",1990,3.6889813171354,444.197525128521,20064,3.16179767422781,4.21616496004298
"all",1990,4.91914896842916,224.715669286363,13535,4.21616496004298,5.62213297681534
"all",1990,6.55954164397562,108.930624655592,8749,5.62213297681534,7.4969503111359
"all",1990,8.74695742194416,66.5075581699415,7123,7.4969503111359,9.99696453275241
"all",1990,11.6638125487886,35.1712430583598,5023,9.99696453275241,13.3306605648247
"all",1990,15.5533537675595,16.1467879139321,3075,13.3306605648247,17.7760469702942
"all",1990,20.7399435139226,8.58448004614921,2180,17.7760469702942,23.703840057551
"all",1990,27.6561096332728,4.73377384015631,1603,23.703840057551,31.6083792089945
"all",1990,36.8786153893889,2.47810983086884,1119,31.6083792089945,42.1488515697832
"all",1990,49.176557768712,1.22065879388308,735,42.1488515697832,56.2042639676407
"all",1990,65.5755051659368,0.514367449936616,413,56.2042639676407,74.9467463642328
"all",1990,87.4430231166713,0.179325122429458,192,74.9467463642328,99.9392998691097
"all",1990,116.602720366912,0.0350208266132588,50,99.9392998691097,133.266140864714
"all",1990,155.486325979643,0.00735361528111991,14,133.266140864714,177.706511094572
"all",1990,207.336479719973,0.00236341833802855,6,177.706511094572,236.966448345373
"all",1990,276.47714711774,0,0,236.966448345373,315.987845890107
"all",1995,1.16673541359231,1471.66187418639,21024,1,1.33347082718462
"all",1995,1.55580763706853,976.38728758968,18600,1.33347082718462,1.77814444695244
"all",1995,2.07462409674193,804.609761032324,20439,1.77814444695244,2.37110374653142
"all",1995,2.76645071037962,532.631457801538,18042,2.37110374653142,3.16179767422781
"all",1995,3.6889813171354,334.830710229453,15124,3.16179767422781,4.21616496004298
"all",1995,4.91914896842916,183.640932247983,11061,4.21616496004298,5.62213297681534
"all",1995,6.55954164397562,98.2479779583124,7891,5.62213297681534,7.4969503111359
"all",1995,8.74695742194416,59.4674488255451,6369,7.4969503111359,9.99696453275241
"all",1995,11.6638125487886,35.1992512152846,5027,9.99696453275241,13.3306605648247
"all",1995,15.5533537675595,15.2646219400978,2907,13.3306605648247,17.7760469702942
"all",1995,20.7399435139226,8.49390984382745,2157,17.7760469702942,23.703840057551
"all",1995,27.6561096332728,4.75149227000094,1609,23.703840057551,31.6083792089945
"all",1995,36.8786153893889,2.53568879029922,1145,31.6083792089945,42.1488515697832
"all",1995,49.176557768712,1.31864364944648,794,42.1488515697832,56.2042639676407
"all",1995,65.5755051659368,0.587848514213275,472,56.2042639676407,74.9467463642328
"all",1995,87.4430231166713,0.198004822682527,212,74.9467463642328,99.9392998691097
"all",1995,116.602720366912,0.0504299903230926,72,99.9392998691097,133.266140864714
"all",1995,155.486325979643,0.0120809393904113,23,133.266140864714,177.706511094572
"all",1995,207.336479719973,0.004332933619719,11,177.706511094572,236.966448345373
"all",1995,276.47714711774,0.00088619049245287,3,236.966448345373,315.987845890107
"all",2000,1.16673541359231,1512.82136724297,21612,1,1.33347082718462
"all",2000,1.55580763706853,1167.83268747353,22247,1.33347082718462,1.77814444695244
"all",2000,2.07462409674193,933.77090521487,23720,1.77814444695244,2.37110374653142
"all",2000,2.76645071037962,606.760578217216,20553,2.37110374653142,3.16179767422781
"all",2000,3.6889813171354,352.231988875338,15910,3.16179767422781,4.21616496004298
"all",2000,4.91914896842916,184.421252636344,11108,4.21616496004298,5.62213297681534
"all",2000,6.55954164397562,101.734156367681,8171,5.62213297681534,7.4969503111359
"all",2000,8.74695742194416,62.4552936401431,6689,7.4969503111359,9.99696453275241
"all",2000,11.6638125487886,36.8867426700058,5268,9.99696453275241,13.3306605648247
"all",2000,15.5533537675595,15.8264776496232,3014,13.3306605648247,17.7760469702942
"all",2000,20.7399435139226,8.86800415776514,2252,17.7760469702942,23.703840057551
