"fg","dbh_bin","q025","q25","q50","q75","q975"
"all",1.15546278812523,2.50677454966855,5.0135490993371,7.43676449735003,11.3222650493363,25.401982103308
"all",1.51472572135904,2.96634988377445,5.9326997675489,8.81549049966773,13.2023459615877,28.8279073211883
"all",1.985692689134,3.80194140033063,8.02167855893936,12.1996361417203,18.6336908192029,44.2863503774777
"all",2.60309533275933,5.89092019172109,11.8653995350978,17.8398788784745,26.9060468331091,58.3556225374925
"all",3.41246424913243,7.18608704238318,14.3303945089385,21.4329223996661,31.8360367807906,68.542527613708
"all",4.47348666222804,8.48125389304526,16.8371690586071,25.6944391341026,38.6043280648957,86.2455783813465
"all",5.86440808053007,10.5702326844357,24.1068152526459,37.6225080329422,57.9900512489991,127.288789185191
"all",7.68780254233678,17.1296260894018,36.1811126668827,55.6921745784696,82.5982214115787,169.950958552362
"all",10.0781369779126,19.6520679800057,41.9049145552926,63.2542778033031,93.4609111268091,189.345037651631
"all",13.2116875253013,23.9647646948313,47.0855819579409,72.9889189711826,107.331730301642,213.151039958317
"all",17.3195390823467,35.2619619986709,74.660102004295,114.476037768197,169.290841254283,294.337111706916
"all",22.7046267519177,57.3090441630058,111.65591639982,166.742287128786,230.26813217497,341.197083955386
"all",29.7640759083095,61.7188783916311,125.840082393361,179.861073938718,243.731600485482,344.181190158887
"all",39.0184883616633,86.0930829295749,151.75386430056,214.371003572489,277.249265193342,382.298786165389
"all",51.1503343399355,141.294347492068,226.006615440534,296.405200710392,358.385201450947,410.090560006048
"all",67.054281519984,179.59368465342,249.925422601954,306.954543606914,374.553897296309,411.111026145642
"all",87.9031726416461,203.441466535934,264.234927322979,293.522409978273,331.980509527772,400.086440574079
"all",115.234517249494,306.394697290821,412.197295117165,412.197295117165,412.197295117165,412.197295117165
"all",151.063875929237,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165
"all",198.033498603164,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165
"all",NA,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165
"fg1",1.15546278812523,3.39876849359228,7.18608704238318,10.4448939569523,15.103316661753,41.5832118214185
