"year","dens_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","prod_model"
1995,NA,"fg1",1,0.0055842595,0.005629667,0.005790035,0.00590097,0.0060058025,0.0061567905,0.006208369,1
1995,NA,"fg1",1.05921252001675,0.0063948317905366,0.00644451419268512,0.00662197526071764,0.00674592302068467,0.00686296494429034,0.0070320866213496,0.00709061830508628,1
1995,NA,"fg1",1.12193116256024,0.00732116084012969,0.00737683987315093,0.00757410893157634,0.00771238141079221,0.00784307252687545,0.00803054466387137,0.00809785849047349,1
1995,NA,"fg1",1.18836353398076,0.0083811044042211,0.0084422466640274,0.00866575927648792,0.00881693464799431,0.00896320074855162,0.0091723336784992,0.00924921561353774,1
1995,NA,"fg1",1.25872953352377,0.0095944173609857,0.00965991712220295,0.00991062959904601,0.010078652260057,0.010243420693846,0.0104800949584824,0.0105618028259132,1
1995,NA,"fg1",1.33326208122323,0.0109817488855242,0.0110537743046647,0.0113362972705594,0.0115211779984548,0.0117067732529533,0.011971247691535,0.0120589639956309,1
1995,NA,"fg1",1.41220788889523,0.0125697091692751,0.0126516440367311,0.0129642896710645,0.0131704378882646,0.013379846408053,0.013674283931065,0.0137732356025715,1
1995,NA,"fg1",1.49582827678426,0.0143845979217859,0.0144766529880105,0.0148274761164602,0.0150580503491189,0.0152897883467758,0.0156176510827073,0.0157236046526899,1
1995,NA,"fg1",1.58440003856497,0.0164629981593461,0.0165632965754941,0.016960367732287,0.0172154403975217,0.0174734098553186,0.0178426340075697,0.017959966649366,1
1995,NA,"fg1",1.67821635756304,0.0188475586910108,0.0189580216309077,0.0193982274786096,0.0196814759351015,0.0199692652287033,0.020382902759736,0.0205059101259755,1
1995,NA,"fg1",1.77758777722769,0.0215776016400794,0.0216845550432835,0.0221887672361102,0.022502313320641,0.0228216696023806,0.023281981507945,0.0234184544573216,1
1995,NA,"fg1",1.88284322906832,0.0246911320810339,0.0248197949984387,0.0253784887767285,0.0257243038456143,0.0260818440903107,0.0265991579450289,0.0267519845439959,1
1995,NA,"fg1",1.99433112145793,0.028258772439429,0.0284087324919112,0.029031248555316,0.0294140842486167,0.0298068198736549,0.030378853479359,0.0305658431259919,1
1995,NA,"fg1",2.11242049290729,0.0323387020608884,0.0325220015639339,0.0332063035512009,0.0336330010344587,0.0340650290973639,0.034700832338213,0.0349225663571233,1
1995,NA,"fg1",2.23750223362737,0.0369982980146897,0.0372168876301301,0.0379787904150707,0.0384498651087993,0.0389328097125694,0.0396294663591127,0.0398807628417587,1
1995,NA,"fg1",2.36999037942355,0.0423442681919514,0.0425994765553458,0.0434308944433146,0.0439607073882878,0.0444894027857711,0.0452748075849205,0.0455474731294389,1
1995,NA,"fg1",2.51032348220468,0.0484669546837727,0.0487552675975897,0.0496766267231887,0.0502666619551676,0.050832435600259,0.0517072689788207,0.0520166640820878,1
1995,NA,"fg1",2.65896606164325,0.055464656879026,0.0557956946275678,0.0568195392539894,0.0574686877070544,0.058096647369443,0.0590689277842817,0.0594065673899675,1
1995,NA,"fg1",2.81641014279217,0.0634792379520495,0.0638413203903244,0.0649791029957687,0.0657044958581641,0.0663888218826619,0.0674812757836896,0.0678645482614942,1
1995,NA,"fg1",2.98317688474764,0.0726481455730574,0.0730368738581534,0.0743051414537667,0.0751159273348012,0.0758701761455699,0.0771143979995025,0.0775330057827514,1
1995,NA,"fg1",3.15981830574927,0.0831222959412471,0.0835841601715478,0.0849790818258779,0.0858833796366603,0.0867019335884599,0.0881074471939167,0.0885870119964484,1
1995,NA,"fg1",3.34691911042775,0.0951233744325488,0.0956588575610672,0.0971884006947647,0.0981921522168489,0.0990955475045542,0.100655709428994,0.101177862135105,1
1995,NA,"fg1",3.54509862524841,0.108861417555175,0.109463730372641,0.111147535720232,0.112280144841721,0.113278640625507,0.115000087526479,0.115583697408881,1
1995,NA,"fg1",3.75501284855729,0.124574132932372,0.125223989519629,0.127099787674116,0.128356796127086,0.129479481440289,0.131417575498752,0.132029239757556,1
1995,NA,"fg1",3.97735662201565,0.142512006696051,0.143302122308927,0.14534925678384,0.146727086105573,0.148001717676683,0.15013620202653,0.150840451894891,1
1995,NA,"fg1",4.21286593061052,0.163038587905668,0.163926590544913,0.166200248428133,0.167755385556057,0.169177414929494,0.171577691899703,0.17233603514396,1
1995,NA,"fg1",4.46232033885469,0.186548188002888,0.187517985808071,0.19006244084295,0.191797845700185,0.193381932310251,0.196060285897001,0.196882579440682,1
1995,NA,"fg1",4.72654557124029,0.21341637610543,0.214545958820455,0.217365638774886,0.219281558105921,0.221070295607737,0.224028384366714,0.224952046850693,1
1995,NA,"fg1",5.00641624548745,0.244200186075073,0.245393527489513,0.248535235943823,0.250683296713881,0.252675016533523,0.255971177407018,0.257027460309784,1
1995,NA,"fg1",5.30285876763557,0.279380775469946,0.280704568568248,0.2841816878367,0.286579461134954,0.28886366602838,0.292516583494688,0.293767848420089,1
1995,NA,"fg1",5.6168543985602,0.319500926413607,0.321044992942686,0.324968417889823,0.327612274924091,0.330208542987643,0.334219367463312,0.335656147483562,1
1995,NA,"fg1",5.94944250206614,0.365481740503914,0.367080247778662,0.371565048945074,0.374546682922181,0.37750180894668,0.382052472534809,0.383611326501551,1
1995,NA,"fg1",6.30172398530825,0.417997071683973,0.419934336152654,0.424862583186912,0.428153396502893,0.431650562203397,0.436717100813924,0.438540644429606,1
1995,NA,"fg1",6.67486494292836,0.47792958890354,0.480117083519149,0.485701040832588,0.489495470639277,0.493528919854949,0.499218460628369,0.501300191788185,1
