"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model","corr_factor"
1995,1,"fg1",1,179.401541500745,180.019218034264,182.087990940857,183.559266964816,185.193337830993,187.412283811664,188.220284551268,1,1.06317473889141
1995,1,"fg1",1.05921252001675,178.649611455583,179.242600997064,181.248765341576,182.655499410807,184.232437193896,186.377422087847,187.145277513573,1,1.06317473889141
1995,1,"fg1",1.12193116256024,177.915342786212,178.456218071198,180.400458139867,181.761305354643,183.282582556374,185.323374631649,186.073338466231,1,1.06317473889141
1995,1,"fg1",1.18836353398076,177.169736912037,177.675026101612,179.569263843715,180.865837273437,182.318509159546,184.291759496686,185.002931410721,1,1.06317473889141
1995,1,"fg1",1.25872953352377,176.432545227915,176.922157860122,178.73247839639,179.973292177904,181.368564776584,183.25951793287,183.956361524419,1,1.06317473889141
1995,1,"fg1",1.33326208122323,175.664894357323,176.174474509087,177.894557871843,179.077536398614,180.415376720398,182.241887823002,182.893760243101,1,1.06317473889141
1995,1,"fg1",1.41220788889523,174.916525820389,175.414928811016,177.062023967247,178.191240611726,179.473707711708,181.208965658864,181.860752855726,1,1.06317473889141
1995,1,"fg1",1.49582827678426,174.163305250162,174.623050474064,176.23651323921,177.315786416289,178.531805663317,180.189679910314,180.812066539338,1,1.06317473889141
1995,1,"fg1",1.58440003856497,173.413267923985,173.89679455139,175.42236041877,176.43527264902,177.601743947086,179.1757203787,179.727180206782,1,1.06317473889141
1995,1,"fg1",1.67821635756304,172.65924401111,173.131563160412,174.594552296747,175.560414049432,176.672543304768,178.173220128562,178.685842146407,1,1.06317473889141
1995,1,"fg1",1.77758777722769,171.91291382623,172.372919337396,173.773799546976,174.686898046792,175.755955252667,177.173289168734,177.674481435752,1,1.06317473889141
1995,1,"fg1",1.88284322906832,171.16537869836,171.629351109743,172.952854631697,173.824681759855,174.837107261064,176.187012263699,176.63886607658,1,1.06317473889141
1995,1,"fg1",1.99433112145793,170.46813683737,170.888232518175,172.137430765602,172.967744391517,173.922373544728,175.218204912463,175.634759753732,1,1.06317473889141
1995,1,"fg1",2.11242049290729,169.736685211295,170.160186930233,171.321585987951,172.118324765085,173.019943717248,174.254318759125,174.636850544103,1,1.06317473889141
