"fg","dbh_bin","q025","q25","q50","q75","q975"
"all",1.15546278812523,1.70729320092603,4.26096764499735,6.67602218712671,10.7960118248485,25.7936349141506
"all",1.51472572135904,3.14761107236524,7.47819797280844,11.5561092733841,17.9938780760765,42.1705587744887
"all",1.985692689134,5.50120204691294,13.7847335000898,22.3694469091102,36.3342578359858,93.6580053372892
"all",2.60309533275933,12.1685924862849,28.7764902892075,45.6626626497469,72.7293734205826,170.343516923606
"all",3.41246424913243,21.6699355747986,49.0311063474639,76.1659669847314,118.59614745512,267.684763812876
"all",4.47348666222804,36.0249301052738,80.3892330266632,126.963867635276,198.589435416992,469.045841435967
"all",5.86440808053007,61.9285155353066,159.968432061193,258.045837563515,416.959559031659,1000.86830308661
"all",7.68780254233678,140.421185115141,346.356963051577,550.150256226476,840.672818034234,1825.15096231974
"all",10.0781369779126,246.875223491196,561.581005525704,888.203674958252,1347.81518855278,2860.2273496419
"all",13.2116875253013,396.149322458291,896.411001566658,1443.61139705093,2213.42477382618,4559.05855073603
"all",17.3195390823467,837.684332943179,2047.47375497926,3202.90644031897,4947.91550175668,10214.8483207805
"all",22.7046267519177,2099.22575356414,4442.53139441363,6608.1591763549,9462.42819288143,15683.9385349744
"all",29.7640759083095,3253.37151745712,6930.05934402936,10123.9525627531,14393.0262957451,23038.3642451777
"all",39.0184883616633,5793.06447354444,12047.4155272467,17376.3540082819,22997.7211615325,38873.7811380527
"all",51.1503343399355,12624.0696384885,24013.0742152059,33038.877235497,41689.1367002396,64883.0864797224
"all",67.054281519984,23354.2734388762,38613.4049465818,48690.2847557721,59223.8593483031,81155.447109073
"all",87.9031726416461,35124.9497352388,52305.5681672069,63632.468914509,76726.3674243717,117631.747029871
"all",115.234517249494,62094.4621635893,106725.825375958,119696.957645908,152175.227360436,268982.256650161
"all",151.063875929237,98960.9456429261,151979.881651156,197184.718042723,211776.099354994,251316.420377343
"all",198.033498603164,177238.740624608,285865.20819247,309841.146694563,373076.891958263,525458.311793839
"all",NA,490833.331660817,490833.331660817,490833.331660817,490833.331660817,490833.331660817
"fg1",1.15546278812523,2.22607195494219,5.39772574918109,8.07594443257201,12.3837346751878,32.4371250701348
"fg1",1.51472572135904,3.56965884438218,8.31188499366326,12.4778273931791,18.7720951581338,45.5453851453455
