"fg","dbh_bin","q025","q25","q50","q75","q975"
"all",1.15546278812523,3.30834418092845,7.27849288566282,11.5287799151223,18.5913260799928,48.9451145777653
"all",1.51472572135904,3.2689604886399,7.10543108560269,10.9787729618472,17.4555560852044,43.676276255573
"all",1.985692689134,3.5804995158088,8.2070731383135,13.0152443959957,20.7871812150947,52.1875122084103
"all",2.60309533275933,4.67024000550697,10.1729142016307,15.9672382202163,24.7469440059658,58.8042752115373
"all",3.41246424913243,4.75904853205105,10.3244793757628,15.7951735594237,24.2570336522784,56.8520751646748
"all",4.47348666222804,4.71084355542184,10.2733033889066,15.9144118117492,24.6712754501617,59.230125520423
"all",5.86440808053007,5.1815335477756,12.4299182572855,19.7375393730956,31.3080659442184,71.7587413349921
"all",7.68780254233678,6.99642420717984,15.9515373583089,24.6797657730833,38.3799444332367,82.9566607804748
"all",10.0781369779126,7.01109251537365,15.8046326167628,24.2916299446844,37.1614159102543,80.6541576839796
"all",13.2116875253013,7.1553289782877,15.3157423194311,24.004469220467,37.2312191277467,78.2684073920773
"all",17.3195390823467,9.12444293200996,20.4367714879001,32.6298276595666,48.1894828886618,92.736127517883
"all",22.7046267519177,11.1428169856052,25.68798906553,39.6348732897154,56.4480483540127,101.225351757595
"all",29.7640759083095,10.0594952735753,24.1430476905144,34.9798488490781,51.3152482652547,92.4302162170445
"all",39.0184883616633,13.027338365678,24.2262446807671,36.7777442635831,52.7039534265024,90.5438414493951
"all",51.1503343399355,17.5765176789848,30.8601958036415,43.5801345686424,60.7321747664978,108.948744863551
"all",67.054281519984,19.5109664428759,30.017819619824,41.4924125003242,55.2022038295071,94.4924642649874
"all",87.9031726416461,20.8498084750942,26.6986667148437,31.9334519994906,40.55520186119,64.3544290754785
"all",115.234517249494,25.2428227066882,30.5422971348515,37.7524607804363,54.4505333620696,67.1058399155036
"all",151.063875929237,28.4018783455635,40.6498062501752,51.8174298538811,60.8404339204425,61.4963822151238
"all",198.033498603164,24.331222932751,34.0634397837005,36.5733352080298,42.7686953715214,47.3497799234091
"all",NA,42.5085741678699,42.5085741678699,42.5085741678699,42.5085741678699,42.5085741678699
"fg1",1.15546278812523,5.02072874909613,13.4967778679917,20.6206396843945,32.3178251764541,106.629971872037
"fg1",1.51472572135904,4.35120359699213,11.7828168224713,19.2048739983081,28.803194962494,75.6053914011054
"fg1",1.985692689134,4.0488565543292,12.5161591782441,19.4310176069776,29.1492007787449,83.8138112871513
"fg1",2.60309533275933,4.22524678308619,12.1916599509259,20.1221611258366,30.4822251059287,80.1050831638481
"fg1",3.41246424913243,5.60491086838263,13.8243422530722,21.8559301782907,33.8069537926249,74.1192615606186
"fg1",4.47348666222804,4.88263641941218,13.2743046105189,21.5769730172602,32.9721027146075,72.5226121228871
"fg1",5.86440808053007,6.42755666780015,15.557093019265,24.1838141994835,37.5981435071091,88.7784360109114
"fg1",7.68780254233678,7.94676976606585,18.8789222107885,29.3995201485315,44.1649896828131,86.6710754061462
"fg1",10.0781369779126,8.46336129812627,19.4469225462922,32.2680607501192,48.0770031579483,99.0530649106482
"fg1",13.2116875253013,9.21593749836485,20.3257464353835,31.4990460238912,48.3413337795318,103.958855047702
"fg1",17.3195390823467,11.3705047573931,24.8899384851853,39.2402677461335,59.6675712856839,107.870068336293
