ratio,light_area,q025,q05,q25,q50,q75,q95,q975
fast:tall,1,0.0591034061617518,0.08129470909633454,0.22349467508374832,0.36219699538251804,0.5060230580881153,0.6857770690272141,0.7491213016007818
fast:tall,1.0620598036192959,0.06988489686103093,0.09460671745812549,0.23333279015829855,0.3675244765136846,0.5064228122902443,0.6825630925057222,0.7448813882368028
fast:tall,1.1279710264638572,0.08345993082388439,0.10973620020747296,0.24667978123491757,0.3760379436518765,0.5061322430409196,0.6825392713175049,0.7467300930265725
fast:tall,1.1979726868544596,0.09773450577527303,0.12204905244848534,0.2592745183750653,0.38356794519314785,0.5068830374954754,0.6811854459335785,0.7460351829866344
fast:tall,1.2723186365419277,0.11510020627281574,0.14411774035430008,0.2721822839904941,0.3932543505792363,0.5095007116914081,0.6799742755704833,0.7446494830903138
fast:tall,1.3512784812668899,0.1345131490339381,0.1615962555817719,0.28424012575487784,0.4013879049042207,0.5142620551649874,0.6798528317081628,0.7429707238066848
fast:tall,1.4351385584492933,0.16080121413403015,0.1860950585403252,0.3011173762347716,0.4104189085644883,0.5179526015373366,0.6799960882240143,0.7460556776461824
fast:tall,1.5242029755531357,0.1914497075292528,0.21500128478850933,0.3199608105587777,0.4198353945056713,0.5223542064123521,0.68311763506448,0.7454153485830547
fast:tall,1.6187947128919096,0.2260778533194064,0.2500803650458284,0.34133687335041246,0.4310845113248774,0.528603960644674,0.6867122345297798,0.7405877536013884
fast:tall,1.719256794873936,0.25726411979599817,0.2792773752815606,0.3658916237444697,0.4463712601486971,0.539041608859401,0.6906113234198118,0.744618888392231
fast:tall,1.8259535339349524,0.28321741092891906,0.3067608535152865,0.3960992961264821,0.46862476396571495,0.5517488871609392,0.6963570830934563,0.748701425035229
fast:tall,1.9392718516689147,0.31034390311202437,0.33447606834941596,0.42348252480298487,0.4975324962038308,0.5775709485116106,0.7133848603893257,0.759328580884645
fast:tall,2.0596226819479155,0.33870862638387494,0.36373551726272246,0.4552794782570071,0.5303403683246859,0.6171217723472457,0.7521496512468678,0.8096931580175433
fast:tall,2.1874424611194505,0.36286214088189905,0.39149190190065036,0.4837361308418387,0.5666323231219469,0.6688215234601127,0.851646648417131,0.9242817579604065
fast:tall,2.323194710685033,0.38032526229454056,0.4095899733576881,0.5088575298383067,0.6049905172434629,0.7263614629439086,0.9842500399992057,1.0690725901675713
fast:tall,2.4673717181995327,0.3953699812116889,0.42109671803759396,0.5368007453715624,0.6397676193037474,0.7846625584641146,1.073775920639191,1.1676405803346297
fast:tall,2.6204963224868,0.41273081486517815,0.43836166891388,0.567281283115547,0.6816510832291522,0.8393620067721017,1.1226867707181722,1.218534004744074
fast:tall,2.7831238096454176,0.43780708249778477,0.4689941236677073,0.6025057455426115,0.7304235161689157,0.8919277538239568,1.1593929819167959,1.2582723124120063
fast:tall,2.9558439267201986,0.4649578334056747,0.5017011069059605,0.6450058040529651,0.7836941139577819,0.9470482481788824,1.1984022332905453,1.2850411324825617
fast:tall,3.139283020341743,0.494273718464461,0.5321094061673654,0.691704622326928,0.8428617207250566,1.0042519622929746,1.2612963531617944,1.3420898820444915
fast:tall,3.3341063080895412,0.5166357093763196,0.5671995442780051,0.7425681398761942,0.9019876971223578,1.0630411528625134,1.3298942953054615,1.4297971897987642
fast:tall,3.5410202908154336,0.5500869091777609,0.6015075012581623,0.8031862656079487,0.9587396653517619,1.1196634394205565,1.3835060022856913,1.4912700254974944
fast:tall,3.760775314675381,0.6066357112508104,0.6567730099732295,0.8606333247277108,1.0108678552068042,1.168754837115522,1.4380513872043499,1.5512384800091137
fast:tall,3.99416829216043,0.6652359749409946,0.7166549248563965,0.9092993282316081,1.0584080114879577,1.216853117518311,1.475112625915376,1.5887393233219973
