"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model","corr_factor"
1995,1,"fg1",1,442.642602015523,444.486734058315,451.540201381301,456.533703655127,462.013260234297,469.740378001251,472.337955096529,1,1.25268861402753
1995,1,"fg1",1.05921252001675,460.765534824201,462.662077234866,469.715269031162,474.757612083879,480.312586010576,488.083640326675,490.844641104652,1,1.25268861402753
1995,1,"fg1",1.12193116256024,479.560722648634,481.468011437961,488.648052462031,493.762087709576,499.315841496028,507.170816605782,510.028513369765,1,1.25268861402753
1995,1,"fg1",1.18836353398076,499.10020412774,501.097506816792,508.303831304599,513.474032113194,519.090282201259,527.068803609108,529.996365702548,1,1.25268861402753
1995,1,"fg1",1.25872953352377,519.470195817528,521.486474985892,528.782056268426,533.973186884172,539.633400038615,547.699422930997,550.499623572329,1,1.25268861402753
1995,1,"fg1",1.33326208122323,540.58478321828,542.870812882262,550.046900557634,555.288890568576,560.957732983075,568.943838241928,572.07815914044,1,1.25268861402753
1995,1,"fg1",1.41220788889523,562.661001887422,564.996325798085,572.223314928577,577.440423817647,583.19457533185,591.190314842673,594.281081968068,1,1.25268861402753
1995,1,"fg1",1.49582827678426,585.545366712462,587.946210651825,595.208134223659,600.47696803751,606.331656460652,614.400643219342,617.309182902768,1,1.25268861402753
1995,1,"fg1",1.58440003856497,609.337904037366,611.949381196276,619.162241954894,624.504219278441,630.343762415361,638.438694039523,641.337518817757,1,1.25268861402753
1995,1,"fg1",1.67821635756304,634.064126024488,636.655977397143,644.06383164794,649.413619820163,655.310198834504,663.45898502363,666.313049211315,1,1.25268861402753
1995,1,"fg1",1.77758777722769,659.949277626037,662.446510838215,669.937601751314,675.366372376166,681.253758504989,689.470382369677,692.340797159146,1,1.25268861402753
1995,1,"fg1",1.88284322906832,686.963101539562,689.372173526283,696.829874478516,702.356956890522,708.174185109566,716.496909217057,719.213100239706,1,1.25268861402753
1995,1,"fg1",1.99433112145793,715.043036543273,717.25284983621,724.821158965548,730.407443995946,736.213886351918,744.619705395588,747.377481006785,1,1.25268861402753
1995,1,"fg1",2.11242049290729,744.159236747129,746.313143144404,754.014282883981,759.581319351358,765.292243800799,773.729691133302,776.621934545508,1,1.25268861402753
1995,1,"fg1",2.23750223362737,774.356467376468,776.605666450095,784.29118835309,789.93281554964,795.646088211141,804.051473447408,807.1101299859,1,1.25268861402753
1995,1,"fg1",2.36999037942355,805.889817494962,808.094332654235,815.840200371745,821.511510935604,827.210525467031,835.68968654055,838.625245152876,1,1.25268861402753
1995,1,"fg1",2.51032348220468,838.460008300062,840.907823695263,848.594732699528,854.222581730171,860.058398736708,868.691229153223,871.618334541801,1,1.25268861402753
1995,1,"fg1",2.65896606164325,872.33525790557,874.989367149958,882.659618916912,888.232688656526,894.131293832557,902.75438265862,905.835295495938,1,1.25268861402753
1995,1,"fg1",2.81641014279217,907.697629130843,910.480585804791,918.047925542375,923.713743496523,929.604568138037,938.23261421591,941.352879120856,1,1.25268861402753
1995,1,"fg1",2.98317688474764,944.66877901019,947.060504242891,954.955550187559,960.683519419124,966.460594933791,975.240186353833,978.353146697968,1,1.25268861402753
1995,1,"fg1",3.15981830574927,982.803957708635,985.377044607114,993.22885539306,999.043390328657,1004.85104920908,1013.71845300505,1016.8621918178,1,1.25268861402753
1995,1,"fg1",3.34691911042775,1022.31313779726,1025.04116457678,1033.05170670768,1038.93842904226,1044.8515678901,1053.73434587156,1056.96475592804,1,1.25268861402753
1995,1,"fg1",3.54509862524841,1063.55334776599,1066.2015561081,1074.44074774959,1080.40341952657,1086.29517894209,1095.45527762609,1098.60640204352,1,1.25268861402753
1995,1,"fg1",3.75501284855729,1106.64782322584,1109.09956327437,1117.42945860397,1123.49489473527,1129.51441805556,1138.73711449975,1141.69086178299,1,1.25268861402753
1995,1,"fg1",3.97735662201565,1151.02293871275,1153.5767975633,1162.16884056095,1168.46154609658,1174.54893725684,1183.71259224026,1186.8556804153,1,1.25268861402753
1995,1,"fg1",4.21286593061052,1196.93925893803,1200.19070952775,1208.72235367883,1215.09095944417,1221.37224790746,1230.69706597376,1233.85300091647,1,1.25268861402753
1995,1,"fg1",4.46232033885469,1244.78545912411,1248.27225052326,1257.08758710677,1263.61469016133,1270.04732112,1279.48381201911,1282.93008885806,1,1.25268861402753
1995,1,"fg1",4.72654557124029,1294.22861136389,1298.10646550519,1307.24872553842,1314.07096227391,1320.59721852241,1330.6838082811,1333.81263403212,1,1.25268861402753
1995,1,"fg1",5.00641624548745,1346.01508305237,1349.74722180068,1359.28259364259,1366.4979951382,1373.25228527038,1383.64149673225,1386.72151132192,1,1.25268861402753
1995,1,"fg1",5.30285876763557,1399.69044905004,1403.35125297106,1413.61748463677,1420.98184187032,1428.14138051601,1438.95259315096,1442.16713131084,1,1.25268861402753
1995,1,"fg1",5.6168543985602,1455.46507994787,1458.96376202331,1470.01666113849,1477.51363760251,1485.34683232218,1496.20886295549,1499.61851149996,1,1.25268861402753
1995,1,"fg1",5.94944250206614,1512.94428773999,1516.95886678713,1528.62348906074,1536.42322819424,1544.6524232575,1556.23448247663,1559.51883847221,1,1.25268861402753
1995,1,"fg1",6.30172398530825,1572.93514242674,1577.04136884774,1589.71634935681,1597.78073636824,1606.54505075732,1618.65243717211,1622.32681188144,1,1.25268861402753
1995,1,"fg1",6.67486494292836,1635.43890258169,1639.38147099447,1652.98635864585,1661.69102523359,1670.81987031128,1683.78196235533,1687.75357481677,1,1.25268861402753
