"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model"
1995,1,"fg1",1,4.61483925,4.6318495,4.6899725,4.73198,4.7753675,4.836396,4.85645825,NA
1995,1,"fg1",1.05921252001675,5.24345196195276,5.26260728620086,5.32692225433199,5.37319331493189,5.42142987406403,5.4889797318858,5.511391893418,NA
1995,1,"fg1",1.12193116256024,5.95739054429495,5.97904786429951,6.05010923255933,6.10131385530065,6.15413910463386,6.22918743537469,6.25513574137448,NA
1995,1,"fg1",1.18836353398076,6.76918800466267,6.7928912209597,6.87149796381802,6.92754948134663,6.98633561274413,7.0693693333838,7.09847971666334,NA
1995,1,"fg1",1.25872953352377,7.69083596874626,7.71833836000131,7.8040470075628,7.86606507060945,7.93120738080968,8.02355654415642,8.05576614169291,NA
1995,1,"fg1",1.33326208122323,8.7377746671308,8.76953003444941,8.86271115862841,8.93211060011858,9.0044309463987,9.10708692974973,9.14112100042269,NA
1995,1,"fg1",1.41220788889523,9.92720358813171,9.9631872286439,10.0656244711783,10.1427489319662,10.2215801995618,10.3358864632545,10.3739848421363,NA
1995,1,"fg1",1.49582827678426,11.2799259539642,11.3189252947807,11.4322793298096,11.5172403344223,11.6039534538024,11.7302413449507,11.7724580685318,NA
1995,1,"fg1",1.58440003856497,12.8155334147409,12.8584522817258,12.982858234396,13.0780277657881,13.1727307657794,13.313202731132,13.3598696072935,NA
1995,1,"fg1",1.67821635756304,14.5597942929942,14.6051681701738,14.7447702120161,14.8501860966718,14.9537379460047,15.1092307529477,15.1617350866782,NA
1995,1,"fg1",1.77758777722769,16.5394197530111,16.5925662627109,16.7445071123507,16.8630618156405,16.9772646578264,17.1493271662672,17.2059091231756,NA
1995,1,"fg1",1.88284322906832,18.7896416928285,18.8491976442909,19.0161978045559,19.1470313776492,19.2738831071307,19.4652012288845,19.5251496203278,NA
1995,1,"fg1",1.99433112145793,21.3417295656602,21.4117471300026,21.5979527225808,21.7410635780186,21.8816184205492,22.0910724915918,22.1613844391007,NA
1995,1,"fg1",2.11242049290729,24.2431219715032,24.3230630055591,24.5279686455178,24.687142332141,24.8412016230867,25.0776070447359,25.1557158238287,NA
1995,1,"fg1",2.23750223362737,27.5412295865662,27.630839388274,27.8558051060417,28.0331609071163,28.2022384498704,28.4647444801499,28.5517478524659,NA
1995,1,"fg1",2.36999037942355,31.2833712166207,31.3838776628881,31.6376924447817,31.8338958552428,32.022146613704,32.3096968209269,32.4095390923173,NA
1995,1,"fg1",2.51032348220468,35.5377770793514,35.6458224333944,35.9288144678948,36.1498713277446,36.3579857135323,36.6750766396127,36.7754463491499,NA
1995,1,"fg1",2.65896606164325,40.3665394303684,40.4882289813312,40.8041417383746,41.0470157255043,41.2758268750571,41.630056329754,41.7412783779844,NA
1995,1,"fg1",2.81641014279217,45.8549491233644,45.988028387222,46.3384928477897,46.6069535670031,46.8649326828035,47.2564644375542,47.3871037778645,NA
1995,1,"fg1",2.98317688474764,52.0841657061952,52.2398725291791,52.627361601988,52.9193210180526,53.2109861488126,53.6477790744944,53.7936984187955,NA
1995,1,"fg1",3.15981830574927,59.1508740107756,59.3300459906618,59.7657497431641,60.0893857950931,60.4156833392271,60.8958406804283,61.0722587464402,NA
1995,1,"fg1",3.34691911042775,67.1789576892423,67.3790033373017,67.8720047352056,68.2348583553826,68.5944153561783,69.1231376003131,69.3260224760575,NA
1995,1,"fg1",3.54509862524841,76.3003860605038,76.5127256380968,77.0709012271108,77.4823520679377,77.883465874548,78.4795201938422,78.7017158675121,NA
1995,1,"fg1",3.75501284855729,86.651505838331,86.9013526136414,87.5142373614731,87.9765244261481,88.429069475439,89.0952922449551,89.3582974784245,NA
1995,1,"fg1",3.97735662201565,98.3993414157709,98.6763268358118,99.376272496792,99.9018940037388,100.406782104919,101.176764085851,101.433012043337,NA
1995,1,"fg1",4.21286593061052,111.758621632078,112.061113673851,112.852586461071,113.446700155111,114.010375522284,114.869959569742,115.156775410435,NA
1995,1,"fg1",4.46232033885469,126.910030469961,127.247780064065,128.148996061587,128.817445101479,129.44851290567,130.427469162722,130.757553602671,NA
1995,1,"fg1",4.72654557124029,144.112416185737,144.468244290814,145.515850264946,146.275680749847,146.978790472293,148.104836021723,148.454146940335,NA
1995,1,"fg1",5.00641624548745,163.628527137902,164.056448789938,165.22697009466,166.089124372389,166.884957670075,168.180588332233,168.538155937855,NA
1995,1,"fg1",5.30285876763557,185.781831843413,186.285308034499,187.620506019874,188.587864967728,189.493083438632,190.967911728805,191.388363095478,NA
1995,1,"fg1",5.6168543985602,210.939278807475,211.509686458566,213.05480530418,214.129183016149,215.165871522004,216.883826191676,217.324662289454,NA
1995,1,"fg1",5.94944250206614,239.519913027459,240.148739423422,241.912438896875,243.156961787971,244.36525544718,246.26562326334,246.789058107922,NA
1995,1,"fg1",6.30172398530825,271.911231671231,272.645329222727,274.654904905923,276.097543970018,277.495050325279,279.624715838842,280.262310458072,NA
1995,1,"fg1",6.67486494292836,308.649138202233,309.528843526643,311.837416162961,313.516180370532,315.107430177631,317.510778354612,318.334037048116,NA
1995,1,"fg1",7.07010051697063,350.290161290769,351.398262988185,354.055512369437,355.985547608301,357.850970678509,360.654961475975,361.506593439987,NA
1995,1,"fg1",7.48873898535221,397.599164699001,398.930126760964,402.013949978724,404.216077773369,406.390663384191,409.576525283469,410.578022855263,NA
1995,1,"fg1",7.93216609242261,451.444833065908,452.822382205688,456.452181245512,458.978424711905,461.502354242262,465.105270376868,466.313120002271,NA
1995,1,"fg1",8.4018496359464,512.451237889387,514.081850708096,518.2065839245,521.183589626787,524.108310425452,528.309035083295,529.731534819169,NA
1995,1,"fg1",8.89934432569262,581.759298776692,583.49005596091,588.347585260798,591.790586897066,595.197853660877,600.124601958333,601.711170209756,NA
1995,1,"fg1",9.42629692971367,660.312466090835,662.359441992869,668.019310779623,671.999543953992,675.942901433904,681.627005602499,683.531803798265,NA
1995,1,"fg1",9.98445172534819,749.304929462232,751.801061540162,758.340725091204,763.033921047763,767.649827262067,774.34580593536,776.429683950041,NA
1995,1,"fg1",10.5756562729917,850.42546580904,853.182998678598,860.911082536082,866.464488557129,871.858204483209,879.507986613559,882.005085872641,NA
1995,1,"fg1",11.2018675317465,965.088806619792,968.268564722978,977.429092475881,983.790130549194,990.058340769214,999.025674485099,1001.82433517468,NA
1995,1,"fg1",11.865158337195,1095.35046188729,1098.88730310891,1109.77461023376,1117.07671032562,1124.45484450648,1134.69879339972,1138.04161869343,NA
1995,1,"fg1",12.5677242627381,1242.96271036753,1247.170376906,1259.96032469349,1268.4222931297,1276.9787290968,1288.91921886522,1292.76330699095,NA
1995,1,"fg1",13.3118908872106,1410.98550743672,1415.69229310281,1430.63032721401,1440.26663731313,1450.33566895407,1464.3811148261,1468.7689767235,NA
1995,1,"fg1",14.1001214928303,1601.24737288925,1606.31478547726,1624.07107096243,1635.43721718674,1647.0924939397,1663.6635567865,1668.3712817353,NA
1995,1,"fg1",14.9350252189632,1817.1424134783,1823.2162063189,1843.6480958639,1857.06834803134,1870.85981624942,1889.83857457666,1895.66432512087,NA
1995,1,"fg1",15.8193656986918,2062.17628486986,2069.09092491961,2093.11906282036,2108.61498470786,2124.85687251439,2146.8549478686,2153.77066424031,NA
1995,1,"fg1",16.7560702067779,2340.0513194812,2348.12558332814,2376.12980222348,2394.50483834368,2413.35269237184,2439.05558948624,2446.73497577127,NA
1995,1,"fg1",17.7482393492988,2655.36673111448,2664.640671938,2697.5209777171,2719.00049261092,2740.98614700146,2770.97568250672,2779.90303193838,NA
1995,1,"fg1",18.7991573270313,3013.18482040217,3023.57506034426,3062.25452039239,3087.34338218386,3112.96292067301,3148.3432571535,3159.04586263331,NA
1995,1,"fg1",19.9123028065563,3418.44406216534,3431.65407741882,3476.48842069041,3505.59313477739,3535.56247134514,3576.70115560406,3588.58729634368,NA
1995,1,"fg1",21.0913604350691,3879.26715240779,3894.69615223337,3946.6202077011,3980.49010273689,4015.36200661687,4063.31524677468,4076.68087027414,NA
1995,1,"fg1",22.3402330370112,4402.22354508992,4419.86955393314,4480.68773526656,4519.73841082922,4560.60448091732,4616.71434116904,4632.63148691678,NA
1995,1,"fg1",23.6630545328941,4995.65394527659,5015.86897629836,5087.31426679684,5132.05808594797,5179.59537247948,5245.35731669466,5263.14653418725,NA
1995,1,"fg1",25.0642036230806,5668.75318362822,5692.57000522923,5775.39459981194,5827.21603442207,5883.14310466935,5959.69149638705,5980.50561060137,NA
1995,1,"fg1",26.5483182818163,6431.39010454394,6460.73385126262,6556.39106413199,6616.62684547773,6681.9450076665,6771.09798522047,6796.62327187248,NA
1995,1,"fg1",28.1203111094894,7296.6959624781,7332.17608577287,7443.29741745431,7513.08418830213,7589.61690202737,7693.51733798514,7723.17536907117,NA
1995,1,"fg1",29.7853855939374,8278.56965020231,8319.94415293719,8449.95054909633,8531.64154244115,8619.94247830178,8741.07989751358,8775.39951048449,NA
1995,1,"fg1",31.5490533346251,9391.19834828524,9441.03346016949,9592.77890167024,9687.85905250751,9791.35068367436,9929.63908894842,9971.29571227774,NA
1995,1,"fg1",33.4171522867112,10655.6554426617,10714.0574393291,10890.2817063386,11000.9726668593,11122.0208881198,11280.5625060373,11331.4061778841,NA
1995,1,"fg1",35.395866085391,12090.7039461252,12158.8776496924,12363.1347482823,12491.5688922867,12632.4603996269,12816.9072106866,12874.5627855278,NA
1995,1,"fg1",37.4917445144825,13718.3257356316,13798.3578616372,14034.6876953149,14183.6011594668,14349.0501841986,14561.3290702414,14628.2108896206,NA
1995,1,"fg1",39.7117251870093,15564.2692244587,15659.6697039585,15931.1703383711,16104.7550197602,16298.4162488735,16544.7885730835,16619.7770840977,NA
1995,1,"fg1",42.0631565095448,17658.6711627253,17769.8028568717,18083.9153619666,18286.8928004951,18509.9494913069,18797.4472903186,18884.171117307,NA
1995,1,"fg1",44.5538220063341,20037.0023840815,20167.326186928,20527.1715977011,20763.6083549459,21022.4768604663,21351.9422723138,21456.9569640896,NA
1995,1,"fg1",47.191966083707,22730.7478758877,22890.0178702593,23303.0804758738,23577.0976327727,23876.8647312222,24257.5511369996,24381.4873160096,NA
1995,1,"fg1",49.9863213200684,25792.5211870792,25975.1884848761,26453.9307877182,26769.9224227444,27120.6085557568,27562.1401621521,27705.6046438404,NA
1995,1,"fg1",52.9461373717968,29266.9857086936,29478.6726208489,30031.0672528978,30398.2659025006,30799.5948483929,31312.2473617187,31476.549438677,NA
1995,1,"fg1",56.081211590734,33209.9506844511,33452.6052398373,34088.4121139048,34519.3940597361,34984.2735451486,35575.9254137699,35769.4189547356,NA
1995,1,"fg1",59.4019214546141,37686.4249518698,37964.7553703642,38699.0705497038,39197.300196053,39738.4782247881,40416.7686287822,40648.8238681603,NA
1995,1,"fg1",62.9192589177791,42756.0806670739,43085.3916107493,43932.6356941606,44508.2967317818,45134.5637556388,45921.1963856583,46192.2216523575,NA
1995,1,"fg1",66.6448667958873,48507.5779259987,48894.6749218209,49873.7366016857,50536.2814001209,51261.6820346348,52167.9306666317,52493.2684587571,NA
1995,1,"fg1",70.5910773050526,55033.0382708204,55484.8442293972,56616.2363566339,57384.0660159244,58227.4618741923,59272.1675897598,59652.1686851616,NA
1995,1,"fg1",74.7709528829822,62446.9790047728,62964.9526545666,64262.951478244,65156.7042130307,66136.9651014898,67347.5957033894,67780.2760577715,NA
1995,1,"fg1",79.1983294272374,70855.3820049715,71447.7360098947,72945.6107907024,73982.6172298019,75117.8936247912,76532.3217992287,77024.0228006972,NA
1995,1,"fg1",83.8878620937411,80387.9375473259,81077.3953140314,82800.958975312,84006.0308496805,85320.3755085503,86955.7191702775,87528.2045519403,NA
1995,1,"fg1",88.8550738071293,91187.2677182543,92004.1313391866,93993.1787024966,95386.1868749394,96904.2040067012,98790.5996312412,99465.0575691616,NA
1995,1,"fg1",94.116406643524,103465.777286663,104403.738928776,106693.817976914,108306.251870182,110061.60459639,112235.80567508,113024.701809772,NA
1995,1,"fg1",99.6892762558085,117394.375047043,118476.680192856,121114.837247687,122984.951784713,125009.862120803,127511.493152855,128423.025906484,NA
1995,1,"fg1",105.592129521561,133188.35669556,134457.419035501,137495.079863335,139652.106014782,141993.342067397,144857.271532865,145909.820095713,NA
1995,1,"fg1",111.844505604468,151138.865569859,152580.303149566,156080.607447029,158571.612402002,161284.833259806,164561.375332532,165791.929875911,NA
1995,1,"fg1",118.467100631337,171448.498164149,173146.080435333,177189.539507928,180056.662375759,183203.368843412,186964.293032655,188386.423330634,NA
1995,1,"fg1",125.481836198796,194525.130095115,196487.558293443,201156.25941908,204459.20488891,208080.852463587,212431.597865491,214084.257634588,NA
1995,1,"fg1",132.911931936456,220709.503866652,222983.009299993,228321.425645036,232159.469586872,236340.935534813,241341.635776675,243287.539290653,NA
1995,1,"fg1",140.781982366709,250433.346574003,253045.517291196,259194.377877468,263624.374690368,268421.394725482,274171.452516228,276473.882142711,NA
1995,1,"fg1",149.118038315596,284160.989732337,287164.223910566,294249.278474287,299347.750870371,304897.726603619,311510.807023435,314185.902552389,NA
1995,1,"fg1",157.947693144217,322430.974909913,325884.550732,334047.822022767,339901.670517018,346304.883977702,353907.69014993,357034.451935421,NA
1995,1,"fg1",167.300174086119,365846.646783335,369824.127665626,379234.002896434,385938.685475313,393310.03776642,402098.656432437,405702.253712485,NA
1995,1,"fg1",177.206438993,415066.601982851,419684.990821621,430531.753876254,438217.280303902,446734.40398226,456809.685262502,460979.57683817,NA
1995,1,"fg1",187.69927880897,470957.334369624,476271.880699439,488760.959415279,497589.645232349,507391.546574452,519022.098825878,523810.929429296,NA
1995,1,"fg1",198.813426112576,534386.936441964,540461.925069633,554837.44730016,565034.081429103,576300.371980287,589648.830243252,595180.511764852,NA
1995,1,"fg1",210.585670085866,606350.445151923,613252.364832462,629815.806857712,641589.379625635,654535.826095106,669884.954419431,676353.821466334,NA
1995,1,"fg1",223.054978291067,688069.641858345,695844.375967689,714906.962229383,728480.71716972,743402.493235087,761098.634809817,768597.90059961,NA
1995,1,"fg1",236.262625657963,780805.482499051,789645.010085093,811541.412787943,827253.479202459,844397.052688973,864753.708454468,873422.628907348,NA
1995,1,"fg1",250.252331108946,885962.12019802,896039.941998396,921311.176280617,939279.361321697,959076.074186999,982560.852630916,992543.810106537,NA
1995,1,"fg1",265.070402273974,1005280.95155652,1016806.575394,1045838.30344632,1066515.85753616,1089310.73616625,1116334.23491602,1127910.34884322,NA
1995,1,"fg1",280.76588877447,1140669.30010319,1153827.02547059,1187311.70139086,1211084.84606816,1237311.35412764,1268371.27271027,1281733.49657233,NA
1995,1,"fg1",297.39074458355,1294291.36221638,1309293.41653789,1347794.07725845,1375232.88437095,1405382.27819942,1441184.14243005,1456534.873556,NA
1995,1,"fg1",315,1468602.80202108,1485810.59915193,1530024.19195234,1561532.6085921,1596108.62026341,1637632.96300193,1654947.6585249,NA
1995,2,"fg1",1,6.14727202213727,6.20761073932482,6.36203457579506,6.47858439544176,6.60493967716836,6.78732920202081,6.83808860897678,NA
1995,2,"fg1",1.05921252001675,6.75144977423449,6.81174247296637,6.95459974426092,7.06350149532422,7.17933864625727,7.34251067573864,7.3956983609708,NA
1995,2,"fg1",1.12193116256024,7.42420048683999,7.478247638834,7.60947097598856,7.71491181464586,7.82112530199587,7.9772528537739,8.02530613580021,NA
1995,2,"fg1",1.18836353398076,8.1630959925255,8.21070684014617,8.34055599657956,8.44328285339797,8.54486342294493,8.69482230931691,8.73169450399927,NA
1995,2,"fg1",1.25872953352377,8.98859870906798,9.02450534326033,9.15720566332276,9.25740148706006,9.35893188048958,9.50274365216628,9.54521222364331,NA
1995,2,"fg1",1.33326208122323,9.89483599424066,9.93474884970931,10.0710795715995,10.1735329774873,10.277852363157,10.4170248151486,10.461869342079,NA
1995,2,"fg1",1.41220788889523,10.9082915353627,10.9516681190778,11.0948297919862,11.2031655838275,11.3120044234806,11.4545450878641,11.5118075640722,NA
1995,2,"fg1",1.49582827678426,12.039298274442,12.0837984268558,12.2466603905667,12.3617397174087,12.4810031027664,12.6387445544658,12.6855323767352,NA
1995,2,"fg1",1.58440003856497,13.3092568202008,13.3632517978408,13.5414382431958,13.6728820577932,13.7996675025033,13.9791553677519,14.0279041474871,NA
1995,2,"fg1",1.67821635756304,14.7387458611531,14.8095438193176,15.0091147171173,15.1520026293976,15.2889968198607,15.4902005289568,15.5499652332751,NA
1995,2,"fg1",1.77758777722769,16.3677298644671,16.4367553117104,16.6709048371169,16.8257630274631,16.9783506403845,17.1994195393052,17.2723787512729,NA
1995,2,"fg1",1.88284322906832,18.2075735433245,18.2866992119159,18.552214508829,18.7195783276532,18.8911631615445,19.1408645238396,19.2134804634532,NA
1995,2,"fg1",1.99433112145793,20.3002094524812,20.3997879038595,20.6834379919295,20.8713132950197,21.0636329307409,21.3411285350229,21.4196559000791,NA
1995,2,"fg1",2.11242049290729,22.682246824227,22.7932900886123,23.1046518836658,23.3135310244005,23.5309602705074,23.8217795588975,23.9246235811038,NA
1995,2,"fg1",2.23750223362737,25.4033806609605,25.5183341327239,25.8651582468915,26.0935447548186,26.3308318355384,26.6554896327367,26.7576384500545,NA
1995,2,"fg1",2.36999037942355,28.4974493365871,28.62084489044,29.0038020365696,29.2531192869174,29.5097374818734,29.8787544917873,29.9885534075353,NA
1995,2,"fg1",2.51032348220468,32.0361351600724,32.1641670930338,32.5757514730965,32.8495698741978,33.1390501738437,33.5463977184986,33.6642644506764,NA
1995,2,"fg1",2.65896606164325,36.0507398829776,36.2046061887628,36.6464490736602,36.9588901053742,37.2755430296486,37.7257991590317,37.844528607793,NA
1995,2,"fg1",2.81641014279217,40.6462429800601,40.8166191848627,41.2999171098211,41.6397477408291,41.9955116229536,42.485851891821,42.6295613688049,NA
1995,2,"fg1",2.98317688474764,45.8994817439587,46.0838225546612,46.6080565514438,46.9858797398616,47.3758298362177,47.909792117652,48.074585158975,NA
1995,2,"fg1",3.15981830574927,51.8977265339721,52.1009154715954,52.6767962702557,53.1034319748485,53.5276704998163,54.1069122295343,54.3290654557521,NA
1995,2,"fg1",3.34691911042775,58.7636841475514,58.9641598037667,59.6076683015611,60.1010506129421,60.5574206301491,61.2086758185068,61.4336582600721,NA
1995,2,"fg1",3.54509862524841,66.5960503608684,66.7922021353823,67.5330260188722,68.0759810025135,68.612519704668,69.3288287102039,69.5817762557873,NA
