"year","prod_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975"
1995,1,"fg1",1,"diameter_growth_fitted",0.04275722,0.04314766,0.0443971,0.04532745,0.0462518,0.04764278,0.0481097225
1995,1,"fg1",1.05921252001675,"diameter_growth_fitted",0.0446393836286691,0.0450413822785392,0.0463080031601425,0.0472574099488229,0.0482004178769036,0.0496169571090874,0.0500936020036708
1995,1,"fg1",1.12193116256024,"diameter_growth_fitted",0.0466088376639973,0.047017017036856,0.0483057789449294,0.0492652247466146,0.0502310273670439,0.051674147771862,0.0521462260488238
1995,1,"fg1",1.18836353398076,"diameter_growth_fitted",0.0486519632738606,0.0490707879484958,0.0503872497356963,0.0513650189383026,0.0523396462214993,0.0538140583679199,0.0542775655268742
1995,1,"fg1",1.25872953352377,"diameter_growth_fitted",0.0507817934811876,0.0512196825255672,0.0525507923891597,0.0535517612230018,0.0545428089673442,0.0560374936876447,0.0565206358883942
1995,1,"fg1",1.33326208122323,"diameter_growth_fitted",0.0530245816050728,0.0534627448398821,0.0548101890025156,0.0558334005397865,0.0568393699879939,0.0583638278157209,0.0588294181642999
1995,1,"fg1",1.41220788889523,"diameter_growth_fitted",0.0553374010865904,0.0558050853443275,0.0571750872001517,0.0582142145456846,0.0592367531924309,0.0607935875956718,0.0612525914815893
1995,1,"fg1",1.49582827678426,"diameter_growth_fitted",0.0577787468103317,0.0582512137248513,0.0596417269312122,0.0606923187907983,0.0617328674628853,0.0633043110512607,0.0637742627507235
1995,1,"fg1",1.58440003856497,"diameter_growth_fitted",0.0603048165430427,0.0607998081969844,0.0622217522865144,0.0632802436883756,0.0643270644214076,0.0659168671654984,0.0663939412231547
1995,1,"fg1",1.67821635756304,"diameter_growth_fitted",0.0629835651038071,0.0634540346401131,0.064897785980727,0.065983823570368,0.0670461124682049,0.0686525448151626,0.0691207303037609
1995,1,"fg1",1.77758777722769,"diameter_growth_fitted",0.0657552127810627,0.0662298201025275,0.0676908961076443,0.0687889010860344,0.0698721599869899,0.0715019803193181,0.0719540720449301
1995,1,"fg1",1.88284322906832,"diameter_growth_fitted",0.0686276644496438,0.0691275137103299,0.0706095808787843,0.071722176179652,0.072821456500763,0.0744686509278173,0.0749223764008679
1995,1,"fg1",1.99433112145793,"diameter_growth_fitted",0.0716451654518969,0.0721511388571339,0.0736465966862808,0.0747789095553267,0.075893313515367,0.0775514089002207,0.0779979829805664
1995,1,"fg1",2.11242049290729,"diameter_growth_fitted",0.0747943720925271,0.075301052684626,0.0768257846546249,0.0779659605956797,0.0791008076054169,0.080760775348332,0.0812573212207271
1995,1,"fg1",2.23750223362737,"diameter_growth_fitted",0.0780998121962828,0.0785725707067081,0.0801454002633653,0.0812852416366415,0.0824265584466401,0.0841211759866554,0.0846034893010981
1995,1,"fg1",2.36999037942355,"diameter_growth_fitted",0.0815331344006145,0.0819884170150499,0.0835988549018695,0.0847400994605579,0.0859126612404756,0.087606048413207,0.0880975365674558
1995,1,"fg1",2.51032348220468,"diameter_growth_fitted",0.0850919587264375,0.0855606732247508,0.0871922371497998,0.0883507965455993,0.0895492110622174,0.0912006382036574,0.0917374435295981
1995,1,"fg1",2.65896606164325,"diameter_growth_fitted",0.0888208252361515,0.0892993673910307,0.0909419968101783,0.0921155851600715,0.0933090022296375,0.0949909104779675,0.0955571233862469
1995,1,"fg1",2.81641014279217,"diameter_growth_fitted",0.0927544804835897,0.093192346650417,0.0948606796407959,0.0960446421059427,0.0972453247405268,0.0989337876249818,0.0995023596979608
1995,1,"fg1",2.98317688474764,"diameter_growth_fitted",0.0967839703395886,0.097272009296769,0.0989391561601494,0.100143056331585,0.101343029904305,0.103044362589167,0.103604873211231
1995,1,"fg1",3.15981830574927,"diameter_growth_fitted",0.100990773639048,0.101508728190371,0.103188221521092,0.104401501136104,0.10563431759991,0.107317168792631,0.107881109666296
1995,1,"fg1",3.34691911042775,"diameter_growth_fitted",0.105360441250538,0.105917289084639,0.107620402787418,0.108852704699274,0.11009050329634,0.111777621333877,0.11237202077698
1995,1,"fg1",3.54509862524841,"diameter_growth_fitted",0.109994399528171,0.110517184439525,0.112239535795705,0.113484774697385,0.114754829592625,0.116450204168077,0.117076238283437
1995,1,"fg1",3.75501284855729,"diameter_growth_fitted",0.11480201666224,0.115306191364626,0.117035645504569,0.118307128810619,0.119625241113409,0.121302728193555,0.121943051309344
1995,1,"fg1",3.97735662201565,"diameter_growth_fitted",0.11979249313728,0.120307640688334,0.12206506963298,0.12335413322902,0.124661585347848,0.126374003517113,0.127039746450974
1995,1,"fg1",4.21286593061052,"diameter_growth_fitted",0.125000932246883,0.125547368880319,0.12732182392809,0.128619433087085,0.129930986660106,0.131687271163924,0.132303510610887
1995,1,"fg1",4.46232033885469,"diameter_growth_fitted",0.130451591313021,0.13098957983746,0.132775453608823,0.134096800993835,0.135426844091375,0.137207673388473,0.137772923630226
1995,1,"fg1",4.72654557124029,"diameter_growth_fitted",0.136070159454986,0.136587850468066,0.138476593630587,0.139805889398569,0.141139485621604,0.14298072744857,0.143570253172567
1995,1,"fg1",5.00641624548745,"diameter_growth_fitted",0.141954312099043,0.142488867219322,0.144389612123667,0.145765202437258,0.147136466459929,0.149019379271347,0.149636288066246
1995,1,"fg1",5.30285876763557,"diameter_growth_fitted",0.148058210734534,0.148626314423638,0.150563998329333,0.151985787633803,0.153377197973603,0.155291569567058,0.155919321301889
