"year","dens_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","prod_model","corr_factor"
1995,1,"fg1",1,1.15860330350001,1.1698410409982,1.20698839552489,1.22966284969867,1.25426709853929,1.28843080028322,1.29930554608007,1,1.60904891123143
1995,1,"fg1",1.05921252001675,1.20819637193572,1.21973876381905,1.25735862118909,1.28037862003481,1.30546849541827,1.33995237964995,1.35110054328691,1,1.60904891123143
1995,1,"fg1",1.12193116256024,1.26004679409498,1.27194887169497,1.30981784105547,1.33345030129582,1.35871824036316,1.3937087450457,1.40496738439136,1,1.60904891123143
1995,1,"fg1",1.18836353398076,1.31393184834543,1.32629235708196,1.36450549322717,1.38840340284824,1.41421115170795,1.44955311160327,1.46104044192704,1,1.60904891123143
1995,1,"fg1",1.25872953352377,1.36968893370548,1.38256684534443,1.42174698347538,1.44597429555614,1.47171898352398,1.50754803452391,1.51906128243425,1,1.60904891123143
1995,1,"fg1",1.33326208122323,1.42887500072165,1.44146878742287,1.48111441224964,1.5059208019434,1.53187094310047,1.56820386716193,1.57997282226498,1,1.60904891123143
1995,1,"fg1",1.41220788889523,1.4899555617076,1.50282601198151,1.54305714975834,1.56798510703315,1.59463051859751,1.63151344915617,1.6428467685809,1,1.60904891123143
1995,1,"fg1",1.49582827678426,1.55351936962878,1.56619985299986,1.60740164057333,1.63261281684903,1.65944668452413,1.69727003985894,1.70875343940216,1,1.60904891123143
1995,1,"fg1",1.58440003856497,1.61981147624509,1.63278698993531,1.67434769774299,1.70009414581595,1.72692582874265,1.76555450380477,1.77732875679559,1,1.60904891123143
1995,1,"fg1",1.67821635756304,1.68887706358414,1.70179092605329,1.74437120313963,1.77055623444127,1.79733036961333,1.83628706274066,1.84761167221109,1,1.60904891123143
1995,1,"fg1",1.77758777722769,1.7608427864654,1.7737069902387,1.81742051947392,1.84386618079281,1.87100728581893,1.91005414768812,1.92160642828535,1,1.60904891123143
1995,1,"fg1",1.88284322906832,1.83564136631146,1.8492869164952,1.89338857720418,1.91978370090024,1.94719453279371,1.98682442695713,1.99798325895647,1,1.60904891123143
1995,1,"fg1",1.99433112145793,1.9137494109368,1.9284091718987,1.97217300915225,1.99936491269861,2.02648598462968,2.06731009926301,2.07803523680441,1,1.60904891123143
1995,1,"fg1",2.11242049290729,1.99584142979648,2.00972567755532,2.05468112524874,2.08178675104398,2.10915395568299,2.15022013726775,2.16095221780419,1,1.60904891123143
1995,1,"fg1",2.23750223362737,2.08155784332474,2.09536831438343,2.14034205400396,2.16776182390419,2.19530318320084,2.23694834210815,2.24777933761296,1,1.60904891123143
1995,1,"fg1",2.36999037942355,2.17117882737821,2.18414369154769,2.2297336130732,2.25736377655244,2.28507205365231,2.32764210045431,2.33820736564327,1,1.60904891123143
1995,1,"fg1",2.51032348220468,2.26297584600426,2.27685176494086,2.32290118597775,2.35057598540337,2.37860665865576,2.42135459002461,2.43259349014281,1,1.60904891123143
1995,1,"fg1",2.65896606164325,2.35880354695946,2.37353728421583,2.41981911256156,2.44748805217477,2.4754905730449,2.51952702350102,2.53097110990721,1,1.60904891123143
1995,1,"fg1",2.81641014279217,2.45899498775901,2.47435036309661,2.52052760797214,2.54848037542282,2.57696280742756,2.62166402378955,2.63260968743943,1,1.60904891123143
1995,1,"fg1",2.98317688474764,2.56418979872192,2.57818095014876,2.62571168301521,2.65396260600473,2.68228917571785,2.72735317947491,2.73870537020078,1,1.60904891123143
1995,1,"fg1",3.15981830574927,2.67357824233345,2.68769859438753,2.7352007128457,2.76356862834078,2.79215969985348,2.83788400073196,2.85007756407725,1,1.60904891123143
1995,1,"fg1",3.34691911042775,2.78716093377206,2.80246439545942,2.84922859075217,2.87817277873126,2.90635793510994,2.95222917512627,2.96583010894421,1,1.60904891123143
1995,1,"fg1",3.54509862524841,2.9056872883868,2.92080380904561,2.96753961115511,2.9970862460108,3.02537295042526,3.07044608448374,3.08618738076928,1,1.60904891123143
1995,1,"fg1",3.75501284855729,3.02825561397714,3.04446998507048,3.09131216450493,3.12122710947837,3.14947801260537,3.19671978489376,3.21158224757086,1,1.60904891123143
1995,1,"fg1",3.97735662201565,3.15623589632036,3.17252686557883,3.2198465146041,3.25023499987915,3.27878333341092,3.32617512367244,3.3418361112557,1,1.60904891123143
1995,1,"fg1",4.21286593061052,3.28874392619824,3.30675452680794,3.35336049154296,3.38448926277903,3.41327520310642,3.46128444913694,3.47751505134855,1,1.60904891123143
1995,1,"fg1",4.46232033885469,3.42800515885538,3.44662146530876,3.4932120252547,3.52426336152498,3.5541059013391,3.60290233019055,3.61918392085605,1,1.60904891123143
1995,1,"fg1",4.72654557124029,3.57215685377206,3.59077810671948,3.63828719055338,3.67023827712501,3.70040472541207,3.750391344369,3.76536294943505,1,1.60904891123143
1995,1,"fg1",5.00641624548745,3.72303457492489,3.74128001390025,3.78916743697502,3.82174347511957,3.85228740042759,3.90246601762139,3.91856437153808,1,1.60904891123143
1995,1,"fg1",5.30285876763557,3.87917581229262,3.8973804976569,3.94571353573134,3.97963529105136,4.01109041037144,4.06139958368163,4.07899123671285,1,1.60904891123143
1995,1,"fg1",5.6168543985602,4.04230375447313,4.05981812148483,4.10993431667133,4.14346088133414,4.17657466747155,4.22842286109376,4.24612908185102,1,1.60904891123143
1995,1,"fg1",5.94944250206614,4.20985503557812,4.22872122939038,4.28013614939597,4.31496187451197,4.34839724790643,4.40260863222569,4.42008648898083,1,1.60904891123143
