"year","fg","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
1990,"alltree",1.27404762141186,1.08626897152304,1.46182627130068,26,0.0171845243868551,1.89099704064492,0.00557161234767113,0.0126246338555096,0.0199087717359464,0.0209150627845083,0.0550917004353595,0.0126943203275635,0.0232629924865853
1990,"alltree",1.71452589799809,1.46182627130068,1.9672255246955,302,0.0164926621315526,1.84910281421457,0.00452668938026065,0.01160527794818,0.0166714145673482,0.0242657525644538,0.0525146209513211,0.0152409682724899,0.0178471537583689
1990,"alltree",2.30729134884973,1.9672255246955,2.64735717300396,1318,0.0156930370870636,1.94739219846892,0.00364764111837191,0.010124828626845,0.0164157356377783,0.0247347949954791,0.0531418041891745,0.0150500615144346,0.0163634821545249
1990,"alltree",3.10499443297574,2.64735717300396,3.56263169294752,3676,0.016024412412518,1.95738780609859,0.00370802124578453,0.0103368362798224,0.0167367800551185,0.0251326342640972,0.0558788621288073,0.0156058945485634,0.0164541540612999
1990,"alltree",4.17848852665127,3.56263169294752,4.79434536035502,7885,0.0169594181608681,1.99815058818098,0.00369063847347669,0.01112385454818,0.0176140806058895,0.0270764551076931,0.0616670822433558,0.0166377551421498,0.017287299993166
1990,"alltree",5.62312324361348,4.79434536035502,6.45190112687193,13300,0.0178629049405624,2.02461897832785,0.00370796889387837,0.0115595186760043,0.0185266211471259,0.0284704572932565,0.0666655509199999,0.0175920100395299,0.0181379712834735
1990,"alltree",7.56721355370256,6.45190112687193,8.68252598053319,19061,0.0195625121526398,2.05713479373621,0.00395726085708872,0.0126198925846624,0.0203035012546536,0.0318478083275704,0.0749626347169871,0.0193066378593176,0.0198217775933207
1990,"alltree",10.1834369418057,8.68252598053319,11.6843479030782,24618,0.0216601064430608,2.08281571220779,0.00448614411028646,0.0136944941542747,0.0221963102236941,0.0358748880836785,0.0852582399678177,0.0214043680567969,0.0219189003795768
1990,"alltree",13.704170922597,11.6843479030782,15.7239939421159,26574,0.0242101045344891,2.16027725422154,0.00458513034062564,0.0148509884880882,0.0249604098151996,0.0410979071812484,0.100769520023863,0.0239199825833813,0.0245037453320769
1990,"alltree",18.442133215827,15.7239939421159,21.1602724895381,26437,0.0282050702583627,2.2130446730157,0.00517970129804314,0.0170071040406531,0.0291080787225388,0.0491355882381967,0.122932937475767,0.0278512402573751,0.0285633954153449
1990,"alltree",24.8181578784523,21.1602724895381,28.4760432673665,24769,0.0332455146521493,2.32112258048011,0.00557102649403498,0.0190334197894211,0.0341810687585793,0.0606435590505678,0.154824019272457,0.0327859584153792,0.0337115124250208
1990,"alltree",33.3985745180056,28.4760432673665,38.3211057686447,20862,0.038605491175649,2.38709049230738,0.00637135688512507,0.0212566799350432,0.0397017247112308,0.0715069633193092,0.192645855355422,0.0380048486111396,0.0392156265155143
1990,"alltree",44.9455106739911,38.3211057686447,51.5699155793375,16709,0.0469315996239362,2.53213180185579,0.00715420095816944,0.0248533360283491,0.0494098825511531,0.0926698037423788,0.247692341096922,0.0460516803916404,0.0478283316597774
1990,"alltree",60.4845853123698,51.5699155793375,69.399255045402,12861,0.0585924451774043,2.62028441601867,0.00829108362284914,0.0304930298833781,0.0623212140309364,0.116855370475563,0.33767328006943,0.0573007457928373,0.0599132626349911
1990,"alltree",81.3960060871297,69.399255045402,93.3927571288575,9883,0.0728736371679356,2.75380506116697,0.00912741897629305,0.036841461641429,0.0788025410575842,0.150279261954412,0.451841680462427,0.0709185530599753,0.0748826190742051
1990,"alltree",109.537161786263,93.3927571288575,125.681566443668,6760,0.0939979011524719,2.92561866774238,0.0105806266712057,0.0448162620476924,0.0984058766950145,0.203679228461461,0.636437024108485,0.0907237390883368,0.0973902256438828
1990,"alltree",147.407598836561,125.681566443668,169.133631229454,4892,0.125583754669179,3.04464177051462,0.0114925988473303,0.0601225801943291,0.138282207787562,0.284102067124454,0.818380857809039,0.12027646100608,0.131125236849222
1990,"alltree",198.37103536752,169.133631229454,227.608439505587,3736,0.168663750188175,3.22600846000267,0.0122895016162558,0.0793937397210617,0.186527853196025,0.401736470644183,1.20751659981415,0.160046242135777,0.177745258169858
1990,"alltree",266.954132509903,227.608439505587,306.29982551422,2725,0.213376804555219,3.18045202901785,0.0141200978825148,0.103331652767841,0.253714438433044,0.493136164018042,1.44522702375196,0.200493928167195,0.227087479099258
1990,"alltree",359.248560315693,306.29982551422,412.197295117165,1424,0.256045437752665,3.19330885985457,0.0168735360660093,0.126507213073498,0.304762872587285,0.605882876480583,1.66835029260725,0.234019091658709,0.280144947701808
1990,"fg1",1.71452589799809,1.46182627130068,1.9672255246955,4,0.0173118343592028,1.24910866305736,0.0140212068192917,0.0144659659199578,0.0175683256449304,0.0207363925844608,0.021358561164433,0.0139211980393628,0.0215282914611989
1990,"fg1",2.30729134884973,1.9672255246955,2.64735717300396,8,0.0141325073800292,1.79459848746011,0.00665746817429921,0.00863837936014179,0.0151128282502885,0.0198683107556736,0.0306390970453439,0.0094239309767695,0.0211936786611575
1990,"fg1",3.10499443297574,2.64735717300396,3.56263169294752,29,0.0142927846486964,1.96215932700551,0.0038016905703278,0.00983916400184309,0.0151073392726334,0.0232544641637451,0.0392656682260089,0.0111834140757282,0.0182666662998176
1990,"fg1",4.17848852665127,3.56263169294752,4.79434536035502,91,0.0173974947504202,1.93758635355686,0.00460801451780105,0.0115670772746213,0.0183033746843106,0.0248099118984508,0.0780968756349532,0.0151867918371973,0.0199300041006393
