"fg","year","bin_midpoint","bin_value","bin_count","bin_min","bin_max"
"all",1990,1.16673541359231,25.1628065926779,36008,1,1.33347082718462
"all",1990,1.55580763706853,39.1861178750124,31013,1.33347082718462,1.77814444695244
"all",1990,2.07462409674193,59.358341799713,31810,1.77814444695244,2.37110374653142
"all",1990,2.76645071037962,70.0126386254127,25514,2.37110374653142,3.16179767422781
"all",1990,3.6889813171354,77.7768073855247,20064,3.16179767422781,4.21616496004298
"all",1990,4.91914896842916,78.1030629591402,13535,4.21616496004298,5.62213297681534
"all",1990,6.55954164397562,70.4497948521627,8749,5.62213297681534,7.4969503111359
"all",1990,8.74695742194416,76.470129328787,7123,7.4969503111359,9.99696453275241
"all",1990,11.6638125487886,74.3567240601772,5023,9.99696453275241,13.3306605648247
"all",1990,15.5533537675595,70.6494097468603,3075,13.3306605648247,17.7760469702942
"all",1990,20.7399435139226,73.1799209984827,2180,17.7760469702942,23.703840057551
"all",1990,27.6561096332728,71.1886331804399,1603,23.703840057551,31.6083792089945
"all",1990,36.8786153893889,70.8527712731216,1119,31.6083792089945,42.1488515697832
"all",1990,49.176557768712,69.8390664994831,735,42.1488515697832,56.2042639676407
"all",1990,65.5755051659368,56.1784000145902,413,56.2042639676407,74.9467463642328
"all",1990,87.4430231166713,33.0141644341941,192,74.9467463642328,99.9392998691097
"all",1990,116.602720366912,10.1307075994539,50,99.9392998691097,133.266140864714
"all",1990,155.486325979643,3.5667548207897,14,133.266140864714,177.706511094572
"all",1990,207.336479719973,1.31094351160747,6,177.706511094572,236.966448345373
"all",1990,276.47714711774,0,0,236.966448345373,315.987845890107
"all",1995,1.16673541359231,13.3023467737296,21024,1,1.33347082718462
"all",1995,1.55580763706853,17.1989507579393,18600,1.33347082718462,1.77814444695244
"all",1995,2.07462409674193,28.6308858566866,20439,1.77814444695244,2.37110374653142
"all",1995,2.76645071037962,38.0574439031921,18042,2.37110374653142,3.16179767422781
"all",1995,3.6889813171354,48.385556888124,15124,3.16179767422781,4.21616496004298
"all",1995,4.91914896842916,53.2355826116881,11061,4.21616496004298,5.62213297681534
"all",1995,6.55954164397562,54.8686879582684,7891,5.62213297681534,7.4969503111359
"all",1995,8.74695742194416,61.7330308816147,6369,7.4969503111359,9.99696453275241
"all",1995,11.6638125487886,70.6904227816255,5027,9.99696453275241,13.3306605648247
"all",1995,15.5533537675595,65.7577331189012,2907,13.3306605648247,17.7760469702942
"all",1995,20.7399435139226,74.5967826141386,2157,17.7760469702942,23.703840057551
"all",1995,27.6561096332728,77.1683491508596,1609,23.703840057551,31.6083792089945
"all",1995,36.8786153893889,75.895337074081,1145,31.6083792089945,42.1488515697832
"all",1995,49.176557768712,58.3081862010416,794,42.1488515697832,56.2042639676407
"all",1995,65.5755051659368,39.4977965801513,472,56.2042639676407,74.9467463642328
"all",1995,87.4430231166713,22.2296907067798,212,74.9467463642328,99.9392998691097
"all",1995,116.602720366912,7.68316321570191,72,99.9392998691097,133.266140864714
"all",1995,155.486325979643,3.11730575699174,23,133.266140864714,177.706511094572
"all",1995,207.336479719973,1.47985047760051,11,177.706511094572,236.966448345373
"all",1995,276.47714711774,0.584811702037554,3,236.966448345373,315.987845890107
"all",2000,1.16673541359231,13.690785701329,21612,1,1.33347082718462
"all",2000,1.55580763706853,19.6813506738051,22247,1.33347082718462,1.77814444695244
"all",2000,2.07462409674193,30.29357409747,23720,1.77814444695244,2.37110374653142
"all",2000,2.76645071037962,38.9699164400312,20553,2.37110374653142,3.16179767422781
"all",2000,3.6889813171354,43.9074999415475,15910,3.16179767422781,4.21616496004298
"all",2000,4.91914896842916,47.2599147070728,11108,4.21616496004298,5.62213297681534
"all",2000,6.55954164397562,48.9025083400022,8171,5.62213297681534,7.4969503111359
"all",2000,8.74695742194416,55.5457913058091,6689,7.4969503111359,9.99696453275241
"all",2000,11.6638125487886,63.4572065978573,5268,9.99696453275241,13.3306605648247
"all",2000,15.5533537675595,57.1575669660503,3014,13.3306605648247,17.7760469702942
"all",2000,20.7399435139226,67.4829342023173,2252,17.7760469702942,23.703840057551
"all",2000,27.6561096332728,75.9392468844513,1693,23.703840057551,31.6083792089945
"all",2000,36.8786153893889,81.2196443755448,1285,31.6083792089945,42.1488515697832
"all",2000,49.176557768712,64.1144435347092,842,42.1488515697832,56.2042639676407
"all",2000,65.5755051659368,44.8109552424656,508,56.2042639676407,74.9467463642328
"all",2000,87.4430231166713,23.0171587131553,228,74.9467463642328,99.9392998691097
"all",2000,116.602720366912,11.0318021068546,84,99.9392998691097,133.266140864714
"all",2000,155.486325979643,4.67087026941648,31,133.266140864714,177.706511094572
"all",2000,207.336479719973,1.30459058022975,10,177.706511094572,236.966448345373
"all",2000,276.47714711774,0.543930217028556,4,236.966448345373,315.987845890107
"all",2005,1.16673541359231,12.6773727717003,19536,1,1.33347082718462
"all",2005,1.55580763706853,17.0498781813064,18591,1.33347082718462,1.77814444695244
"all",2005,2.07462409674193,27.881945516665,20218,1.77814444695244,2.37110374653142
"all",2005,2.76645071037962,36.8030825771925,18513,2.37110374653142,3.16179767422781
"all",2005,3.6889813171354,44.1851998799406,14740,3.16179767422781,4.21616496004298
"all",2005,4.91914896842916,48.7928754352132,10737,4.21616496004298,5.62213297681534
"all",2005,6.55954164397562,52.6657119720544,8097,5.62213297681534,7.4969503111359
"all",2005,8.74695742194416,61.3134781206031,6742,7.4969503111359,9.99696453275241
"all",2005,11.6638125487886,64.7139417926326,5172,9.99696453275241,13.3306605648247
"all",2005,15.5533537675595,58.1855627944784,3016,13.3306605648247,17.7760469702942
"all",2005,20.7399435139226,66.726188415453,2160,17.7760469702942,23.703840057551
"all",2005,27.6561096332728,67.6479253975645,1614,23.703840057551,31.6083792089945
"all",2005,36.8786153893889,72.3478902268905,1244,31.6083792089945,42.1488515697832
"all",2005,49.176557768712,64.2588213386667,854,42.1488515697832,56.2042639676407
"all",2005,65.5755051659368,42.3576595286426,522,56.2042639676407,74.9467463642328
"all",2005,87.4430231166713,23.5135331490526,234,74.9467463642328,99.9392998691097
"all",2005,116.602720366912,10.7966050292131,80,99.9392998691097,133.266140864714
"all",2005,155.486325979643,2.9891019919178,31,133.266140864714,177.706511094572
"all",2005,207.336479719973,2.59305432455244,13,177.706511094572,236.966448345373
"all",2005,276.47714711774,0.560919681937753,4,236.966448345373,315.987845890107
"all",2010,1.16673541359231,14.2031262109236,21184,1,1.33347082718462
"all",2010,1.55580763706853,19.2935429546278,20060,1.33347082718462,1.77814444695244
"all",2010,2.07462409674193,30.8269215533077,22137,1.77814444695244,2.37110374653142
"all",2010,2.76645071037962,40.6485205674954,19808,2.37110374653142,3.16179767422781
"all",2010,3.6889813171354,48.9842168371113,15776,3.16179767422781,4.21616496004298
"all",2010,4.91914896842916,54.5972471854164,11501,4.21616496004298,5.62213297681534
"all",2010,6.55954164397562,53.1302445921039,7818,5.62213297681534,7.4969503111359
"all",2010,8.74695742194416,64.9680255442839,6683,7.4969503111359,9.99696453275241
"all",2010,11.6638125487886,68.5121586671593,5082,9.99696453275241,13.3306605648247
"all",2010,15.5533537675595,61.7437782048388,2885,13.3306605648247,17.7760469702942
"all",2010,20.7399435139226,66.3736459526177,2046,17.7760469702942,23.703840057551
"all",2010,27.6561096332728,68.3225246763637,1575,23.703840057551,31.6083792089945
"all",2010,36.8786153893889,67.9727869370026,1194,31.6083792089945,42.1488515697832
"all",2010,49.176557768712,62.8345029274743,826,42.1488515697832,56.2042639676407
"all",2010,65.5755051659368,43.7022555502604,525,56.2042639676407,74.9467463642328
"all",2010,87.4430231166713,26.6346387377152,254,74.9467463642328,99.9392998691097
"all",2010,116.602720366912,10.8922444377006,91,99.9392998691097,133.266140864714
"all",2010,155.486325979643,2.91443706751152,28,133.266140864714,177.706511094572
"all",2010,207.336479719973,2.6654567881356,21,177.706511094572,236.966448345373
"all",2010,276.47714711774,1.3316845061601,7,236.966448345373,315.987845890107
"fg1",1990,1.16673541359231,1.35225694902038,1518,1,1.33347082718462
"fg1",1990,1.55580763706853,1.6463303162922,1284,1.33347082718462,1.77814444695244
"fg1",1990,2.07462409674193,2.47025511209096,1364,1.77814444695244,2.37110374653142
"fg1",1990,2.76645071037962,3.47019676688522,1267,2.37110374653142,3.16179767422781
"fg1",1990,3.6889813171354,4.92785844993011,1231,3.16179767422781,4.21616496004298
"fg1",1990,4.91914896842916,6.22674244254097,1027,4.21616496004298,5.62213297681534
"fg1",1990,6.55954164397562,6.38855617623863,787,5.62213297681534,7.4969503111359
"fg1",1990,8.74695742194416,9.8243949228707,799,7.4969503111359,9.99696453275241
"fg1",1990,11.6638125487886,10.981419409976,636,9.99696453275241,13.3306605648247
"fg1",1990,15.5533537675595,13.8430169438222,502,13.3306605648247,17.7760469702942
"fg1",1990,20.7399435139226,16.4621478706365,392,17.7760469702942,23.703840057551
"fg1",1990,27.6561096332728,18.0900123584855,340,23.703840057551,31.6083792089945
"fg1",1990,36.8786153893889,16.4475904272881,239,31.6083792089945,42.1488515697832
"fg1",1990,49.176557768712,11.762541273902,141,42.1488515697832,56.2042639676407
"fg1",1990,65.5755051659368,6.10503231927379,59,56.2042639676407,74.9467463642328
"fg1",1990,87.4430231166713,2.39458360096753,16,74.9467463642328,99.9392998691097
"fg1",1990,116.602720366912,0.594674277663004,3,99.9392998691097,133.266140864714
"fg1",1990,155.486325979643,0,0,133.266140864714,177.706511094572
"fg1",1990,207.336479719973,0,0,177.706511094572,236.966448345373
"fg1",1990,276.47714711774,0,0,236.966448345373,315.987845890107
"fg1",1995,1.16673541359231,0.855090170309659,972,1,1.33347082718462
"fg1",1995,1.55580763706853,0.875061042944052,762,1.33347082718462,1.77814444695244
