"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"all",1.15546278812523,2.48704173710018,5.41907093148832,8.44370937495871,13.353245571102,33.0510663847462,8.60046786108404,1.94593285951984,8.55155289964977,8.64966261654872
"all",1.51472572135904,3.7367482533394,7.90414763963662,12.1402009172708,18.5484958636679,43.3651315163331,12.2401967407776,1.87076873791177,12.0760331931366,12.4065919542268
"all",1.985692689134,3.69778328979937,7.9342947812653,12.2198369956399,18.7291403518964,42.7933489045802,12.2723685106495,1.8681559997025,12.1064549806556,12.4405558110807
"all",2.60309533275933,3.80080720193065,8.0408087284127,12.3016936206408,18.7362550853961,43.2778634314565,12.3838268403622,1.85344238282008,12.2206091022653,12.5492245049918
"all",3.41246424913243,3.82691420806824,8.29395304987786,12.7147686532669,19.6142699553869,46.4996728072027,12.8220694771745,1.88522126325918,12.6400061488025,13.0067551979052
"all",4.47348666222804,4.11207238302023,9.42188728341602,14.77902821801,22.7553724713297,51.1572788228559,14.6353906758475,1.91318433090229,14.4125150283523,14.8617128803209
"all",5.86440808053007,5.52643192337371,12.9986507129406,20.2749842641761,31.8094422859875,69.313173689967,20.0059303943759,1.94520676734298,19.6514469308691,20.3668082229563
"all",7.68780254233678,6.20430189515975,13.5887600819165,20.7638745117937,31.6796938013631,66.1881694473137,20.5298811745,1.86408689537266,20.1622834039532,20.9041809697235
"all",10.0781369779126,6.07805596131408,13.1185532548469,20.1719231910373,30.8493374217438,65.7976881912051,20.0973890166297,1.85485740806183,19.7007398104337,20.5020242474263
"all",13.2116875253013,6.36582671962537,14.1096560629855,21.9044426770275,33.4092474663023,66.9102513847237,21.4974566954425,1.84147763616036,20.9924301877787,22.014632905221
"all",17.3195390823467,9.32707343385296,19.9661845674376,31.5318572322688,46.1390632687991,84.386919347689,30.1089192555627,1.79654200687282,29.349418605233,30.8880741704491
"all",22.7046267519177,10.3363605668452,23.1475087102656,34.743673427039,49.3797474833755,86.7977352687298,33.3051163873001,1.74020821277967,32.3855502307461,34.2507930131916
"all",29.7640759083095,9.32505599807228,21.7483946894977,32.2744394829289,47.047323528018,80.1727405502311,31.0105018310713,1.76240700290709,29.9919440355042,32.0636509149417
"all",39.0184883616633,12.6219941963489,22.7433029899514,34.5988884211043,49.263461630252,81.4173182465566,33.3301130254475,1.70476612099495,32.0154944695085,34.6987123796298
"all",51.1503343399355,17.4063614333892,30.1837639529128,41.3063073480311,55.4803648478026,90.5610986925266,40.9449718724111,1.5937218857477,39.1146700700364,42.8609194103059
"all",67.054281519984,18.6987429787482,27.7491823017506,37.9139111065446,48.5364672251494,83.0279132259185,37.4015140753425,1.49605336874168,35.5832948552876,39.3126398445414
"all",87.9031726416461,20.343527930092,25.8293263649429,30.4876600695381,39.4060164671817,59.0720155800367,32.2098186467204,1.34711705730888,30.465311802149,34.0542195659206
"all",115.234517249494,24.6596638880522,29.2986534695255,35.1240983154595,47.7996305965792,62.3056465445424,37.3037419236772,1.35865344195557,33.9631919205494,40.9728615839062
"all",151.063875929237,38.2882551352887,42.127487850937,55.6625142774568,57.2704738025914,57.4437403846447,49.3320815360008,1.21761783967706,41.5123308999365,58.6248523249836
"all",198.033498603164,24.0376595332531,33.477012406614,37.9139710073481,40.7944155149589,44.856769313385,35.4612411170359,1.27843095861402,29.1337171248944,43.1630339571754
"fg1",1.15546278812523,3.26576762303664,8.60526295191788,13.3326381120241,19.9821037353226,56.9385487722488,13.1813169303991,1.98796180775909,12.8296364500543,13.542637524923
"fg1",1.51472572135904,3.40976362986429,9.14120158485427,14.8895517642849,21.344528077752,56.7814873460169,13.9734850803142,2.01910450156886,13.0298913907296,14.9854115766985
"fg1",1.985692689134,3.44460821740182,9.51074471606314,14.9481938723419,24.1336375306626,48.1931127694123,14.5647403096942,1.97167732014029,13.6491526994162,15.5417457010284
"fg1",2.60309533275933,4.79326304853517,10.4046021059097,16.5729917668915,24.0842025250281,54.8006165325687,15.9885284579066,1.87123844752283,15.1365534992923,16.8884576175972
"fg1",3.41246424913243,3.87621977957274,9.92869430222558,15.8856811313021,24.4019864071584,50.8732854648238,15.6184160503995,1.90711596827292,14.7632939495885,16.5230686834746
"fg1",4.47348666222804,4.82766143317055,11.6586401847295,17.9466709311782,26.351130264478,59.1956905227681,17.4951950504664,1.87648417740477,16.571304552264,18.4705946890612
"fg1",5.86440808053007,6.0953585218576,14.1765082055205,22.8517599529763,36.6524062044392,71.6315603019453,22.5323527432357,1.93026165231043,21.2343893451573,23.9096548477571
"fg1",7.68780254233678,7.07686836531673,15.5562403698824,24.9630944796381,35.8520841748363,72.9871292723818,23.7750827217294,1.85134897301521,22.5715383573108,25.042801668057
"fg1",10.0781369779126,7.38660123118023,16.4990339177549,26.8214696974107,39.4141677156138,82.2060769520259,25.3049632799488,1.8718291428075,23.9993347925049,26.6816214755893
"fg1",13.2116875253013,8.21203694895235,18.4888544893509,28.6043288297219,42.4644904191541,80.7056193574357,27.3768097125698,1.8448246886416,25.7684696029172,29.0855344375362
"fg1",17.3195390823467,11.106274499774,23.0936703713873,36.5993495756718,54.195430041931,94.1476693484833,35.2620851777423,1.78696546785283,33.2804748172533,37.361686030926
"fg1",22.7046267519177,14.3799361163902,26.2315810912781,40.7862248932917,60.5424538081099,102.333205792182,39.8200277792925,1.70303622056126,37.404254175892,42.3918254027268
"fg1",29.7640759083095,11.5467711240207,27.7649275206297,41.5879462185906,60.9043478073439,90.4505095037837,39.8815166788799,1.71234156655999,37.2473203960149,42.7020079752623
"fg1",39.0184883616633,14.1415462461459,28.9640522824977,43.9573116332089,60.9302698774645,85.6716681290305,40.2689454987457,1.67481417739961,37.1576256811401,43.6407854876478
"fg1",51.1503343399355,17.5321605460821,34.7253671330769,51.7272772257864,70.1459249773495,111.762717500666,48.8885028538167,1.66847828856848,43.6384046852673,54.770235725289
"fg1",67.054281519984,18.9786460222505,31.5139009035629,39.8606906087138,62.1797730601773,104.046832924292,42.2540392242772,1.63947681555556,35.1837190428603,50.7451707590038
"fg1",87.9031726416461,28.7360502178894,32.7821110036809,38.7815867926433,48.0497135066219,52.4678361165716,39.0770582348764,1.28341248300764,32.0045989183323,47.7124079632581
"fg1",115.234517249494,45.8236420860168,45.8236420860168,45.8236420860168,45.8236420860168,45.8236420860168,45.8236420860168,NA,NA,NA
"fg2",1.15546278812523,1.75487032008818,4.73256607975016,7.54774370323277,11.9918680492087,31.2147592890883,7.58656659788327,2.03334638412609,7.37751494951862,7.80154200133118
"fg2",1.51472572135904,2.57597401054786,7.26864119186136,11.415160391934,17.2369602287362,39.3530613175019,11.1889444965832,1.91659138144264,10.5741309403744,11.8395052655919
"fg2",1.985692689134,3.17976295600012,7.32605943763847,11.1051638844082,16.4815434091774,41.9451800672134,11.0695753557738,1.89163051072268,10.489625657552,11.6815892728198
"fg2",2.60309533275933,2.97020916855395,7.09652118143276,10.9225514221405,17.0744766285071,37.6442463893169,10.8563703876283,1.91607271146981,10.3192818657949,11.4214128004432
"fg2",3.41246424913243,3.3950623138891,7.81536099433138,11.6889418525533,17.8116932920866,43.4601009363617,11.7276230730317,1.89719945985199,11.1564860216385,12.3279985002757
