"fg","bin_midpoint","bin_value","bin_count","bin_min","bin_max","year"
"fg1",1.16673541359231,669.826710036246,935,1,1.33347082718462,1995
"fg1",1.55580763706853,581.901555904628,719,1.33347082718462,1.77814444695244,1995
"fg1",2.07462409674193,875.031534582406,826,1.77814444695244,2.37110374653142,1995
"fg1",2.76645071037962,1077.58632007035,723,2.37110374653142,3.16179767422781,1995
"fg1",3.6889813171354,1596.45349087151,766,3.16179767422781,4.21616496004298,1995
"fg1",4.91914896842916,1987.74774451672,690,4.21616496004298,5.62213297681534,1995
"fg1",6.55954164397562,2506.24748752236,570,5.62213297681534,7.4969503111359,1995
"fg1",8.74695742194416,4107.0496023649,644,7.4969503111359,9.99696453275241,1995
"fg1",11.6638125487886,4906.90797324143,601,9.99696453275241,13.3306605648247,1995
"fg1",15.5533537675595,5798.97055810273,455,13.3306605648247,17.7760469702942,1995
"fg1",20.7399435139226,8351.84526700751,384,17.7760469702942,23.703840057551,1995
"fg1",27.6561096332728,7630.00506705892,268,23.703840057551,31.6083792089945,1995
"fg1",36.8786153893889,7964.57498309677,202,31.6083792089945,42.1488515697832,1995
"fg1",49.176557768712,5441.11165071457,96,42.1488515697832,56.2042639676407,1995
"fg1",65.5755051659368,2848.25531820005,44,56.2042639676407,74.9467463642328,1995
"fg1",87.4430231166713,410.856579452168,6,74.9467463642328,99.9392998691097,1995
"fg1",116.602720366912,95.3738685087403,1,99.9392998691097,133.266140864714,1995
"fg1",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg1",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg1",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg2",1.16673541359231,465.204149277352,780,1,1.33347082718462,1995
"fg2",1.55580763706853,594.103104920255,759,1.33347082718462,1.77814444695244,1995
"fg2",2.07462409674193,1206.92531723386,939,1.77814444695244,2.37110374653142,1995
"fg2",2.76645071037962,1810.20169195399,955,2.37110374653142,3.16179767422781,1995
"fg2",3.6889813171354,2295.82743285621,950,3.16179767422781,4.21616496004298,1995
