"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model","corr_factor"
1995,1,"fg1",1,658.835764240919,662.746290592797,672.988611161008,680.654721124526,688.68967386421,700.365339392828,703.43082623071,1,1.24611967623655
1995,1,"fg1",1.05921252001675,682.008806531951,685.984944666502,696.340196887501,703.968044385425,712.016420638984,723.615551327869,726.9874357389,1,1.24611967623655
1995,1,"fg1",1.12193116256024,706.022448550728,710.078412429913,720.418105630985,728.061926338871,736.11411437011,747.702613504565,751.248720190001,1,1.24611967623655
1995,1,"fg1",1.18836353398076,730.938286168758,735.010204465119,745.278799956535,752.930005376349,761.133580124841,772.635613452941,776.332643863171,1,1.24611967623655
1995,1,"fg1",1.25872953352377,756.679014535016,760.826714657739,771.075271440959,778.731252009718,786.949397260125,798.493418241559,802.299934316177,1,1.24611967623655
1995,1,"fg1",1.33326208122323,783.469119326679,787.499124602714,797.730232874946,805.394433045062,813.63813095305,825.08780513597,829.118600299673,1,1.24611967623655
1995,1,"fg1",1.41220788889523,810.872357535261,815.054267609472,825.259765759864,833.038945642411,841.195159409003,852.568509280723,856.841747758098,1,1.24611967623655
1995,1,"fg1",1.49582827678426,839.250395799738,843.529593478128,853.772325959708,861.563168889417,869.695640418048,881.141386884895,885.314662236644,1,1.24611967623655
1995,1,"fg1",1.58440003856497,868.873915002493,873.003353107315,883.182682390188,891.148684383497,899.215453588108,910.734428656533,914.608201405049,1,1.24611967623655
1995,1,"fg1",1.67821635756304,899.438892683625,903.396034123985,913.706571768669,921.708973792353,929.73967196551,941.225054284996,945.02697101995,1,1.24611967623655
1995,1,"fg1",1.77758777722769,931.009479963533,934.966547935667,945.296131020408,953.270185561371,961.216295303381,972.667427193873,976.755921206097,1,1.24611967623655
1995,1,"fg1",1.88284322906832,963.739900890188,967.668060973558,977.977695225015,985.905160229747,993.787572271781,1005.31385561084,1009.21136729761,1,1.24611967623655
1995,1,"fg1",1.99433112145793,997.446490353293,1001.50638558503,1011.77620505394,1019.71135651662,1027.57674037059,1039.11049573882,1042.89150270227,1,1.24611967623655
1995,1,"fg1",2.11242049290729,1032.40595068819,1036.43041878371,1046.75488366873,1054.697532404,1062.46920159578,1073.8113508896,1077.81917452566,1,1.24611967623655
1995,1,"fg1",2.23750223362737,1068.77583410928,1072.74638261762,1082.80926664052,1090.79943633534,1098.5197187513,1109.75649145951,1113.80110289552,1,1.24611967623655
1995,1,"fg1",2.36999037942355,1105.94365565974,1110.12151270624,1120.32270316659,1128.10974532388,1135.83416926519,1147.1560889711,1150.92114540939,1,1.24611967623655
1995,1,"fg1",2.51032348220468,1144.68529940013,1148.62584613693,1159.02039204431,1166.73556461535,1174.41609855418,1185.55339253048,1189.42121260695,1,1.24611967623655
1995,1,"fg1",2.65896606164325,1184.72351339336,1188.23096672744,1198.96553829128,1206.65193801953,1214.39697606616,1225.67486618631,1229.22739584562,1,1.24611967623655
1995,1,"fg1",2.81641014279217,1226.10716808942,1229.67865886968,1240.28755693396,1248.05163931888,1255.64867906729,1267.16921563404,1270.38799903773,1,1.24611967623655
1995,1,"fg1",2.98317688474764,1268.73006408321,1272.34321252526,1283.09613917807,1290.73807413013,1298.35653971407,1309.7701185945,1313.09777593934,1,1.24611967623655
1995,1,"fg1",3.15981830574927,1313.32935220661,1316.42125662666,1327.20370732269,1334.98547837213,1342.59701527128,1354.00974033569,1357.44169795713,1,1.24611967623655
1995,1,"fg1",3.34691911042775,1358.66180576639,1362.12190529607,1372.890528054,1380.68485038774,1388.321537623,1399.84536108062,1403.17410298846,1,1.24611967623655
1995,1,"fg1",3.54509862524841,1405.80185895009,1409.47064833968,1420.16126578472,1427.97467903413,1435.57682536064,1447.39106674882,1450.60021823197,1,1.24611967623655
1995,1,"fg1",3.75501284855729,1454.02481783001,1458.23935578336,1469.00495857657,1476.8592297626,1484.52596875846,1496.31722825971,1499.9982222129,1,1.24611967623655
1995,1,"fg1",3.97735662201565,1504.07530912269,1508.39882633747,1519.44546763957,1527.39538618265,1535.16418132055,1547.15278661942,1550.88816380093,1,1.24611967623655
1995,1,"fg1",4.21286593061052,1555.97282312088,1560.37085605167,1571.54042148206,1579.67535700447,1587.6216618591,1599.82006154579,1603.93189619837,1,1.24611967623655
1995,1,"fg1",4.46232033885469,1609.51846541843,1613.936405952,1625.32213451565,1633.75477400552,1641.98458284683,1654.30612281061,1658.48177061163,1,1.24611967623655
1995,1,"fg1",4.72654557124029,1664.89213734666,1668.95935415518,1680.93173468862,1689.82720732148,1698.07272895897,1710.78666886146,1714.97385665054,1,1.24611967623655
1995,1,"fg1",5.00641624548745,1721.81385052132,1726.28724907853,1738.63415916445,1747.66036913604,1755.97939230131,1769.64893109368,1773.45464981055,1,1.24611967623655
1995,1,"fg1",5.30285876763557,1780.75460765891,1785.38036547391,1798.31565167991,1807.46595309723,1816.13660856559,1830.25006063711,1834.2896745981,1,1.24611967623655
1995,1,"fg1",5.6168543985602,1841.45233694278,1846.52005382942,1859.89154643991,1869.3402449207,1878.42648698435,1892.58509415733,1897.39503963974,1,1.24611967623655
1995,1,"fg1",5.94944250206614,1903.77826732721,1909.17528882114,1923.47815968971,1933.23738007171,1942.94859336435,1957.81774864859,1962.34314415458,1,1.24611967623655
1995,1,"fg1",6.30172398530825,1967.79191715804,1973.63431436306,1989.01286625924,1999.37577025129,2009.61458492179,2025.31617538112,2029.6416476746,1,1.24611967623655
