abundance_by_bin_width,fg,mean,sd,q025,q05,q25,q50,q75,q95,q975
0.01,all,0.015935623715841302,0.0074022205218938686,0.006479890957536547,0.007199145807020089,0.010499204129503942,0.014190755644738965,0.01952586537144108,0.030977005873987027,0.03429506177530678
0.010328281259410285,all,0.016445655147295034,0.0076801206184719546,0.006650779991746541,0.0074252912851242485,0.010770162448878622,0.01452146215107885,0.02029392850401665,0.03161966283170012,0.03578412008669483
0.010667339377348576,all,0.01670550063084792,0.007711216507487776,0.007026124830508635,0.007661811817458738,0.010925861536601777,0.014901976986426552,0.020645263158020625,0.03233065995486152,0.03581884804739013
0.011017528137883868,all,0.01710641224365444,0.007814607327936622,0.007141277371887399,0.007737784872293677,0.011429440009981789,0.015261325454623078,0.02081114802844258,0.032762156833483644,0.03631580027887176
0.01137921293915315,all,0.017441672697260244,0.007907230835366846,0.007297547672988246,0.008049460917164367,0.011599293256827322,0.0157531082269656,0.021298606290526243,0.033623701945311446,0.036515161643970805
0.011752771174629452,all,0.017899048174075557,0.00814947689672513,0.007598448165832217,0.008333574343822162,0.011996692720913438,0.015904558094330615,0.02171189775611001,0.03375632690481949,0.03873249595888025
0.012138592626906284,all,0.01823714400946618,0.0081877165843722,0.007636404153679666,0.008364979750453107,0.012263384951592094,0.01642924828902726,0.0222277168077003,0.034560646690397455,0.03870417514697348
0.012537079874409203,all,0.018645551837633677,0.008296464276606736,0.007911120913834965,0.008713709662004286,0.012474268701438937,0.016609745297720798,0.023084129462962386,0.034806753538280166,0.039005822119746944
0.01294864871145905,all,0.01896287437539474,0.00855332997156909,0.008142446226617098,0.008904003447046642,0.012766117865522623,0.01703349042167307,0.02321297937975139,0.03656452753097162,0.040555117126828105
0.013373728582124962,all,0.019321137932206033,0.008639325266959846,0.00831325103357574,0.009046960067686951,0.012847517625466372,0.01750772446017535,0.023243492672465334,0.03649005857478119,0.04087988179027381
0.013812763028320095,all,0.019850288925555445,0.008876487466458693,0.008410694313875013,0.009311255223032267,0.01333754914866281,0.017819354247980812,0.023895192097116685,0.03792987918092856,0.04160823843761685
0.014266210152607376,all,0.020212378967304958,0.008937389200302343,0.008853662667594929,0.00959313319681782,0.013490898696869905,0.01809583307366252,0.02454478697931473,0.03822862731445988,0.042678275248852246
0.01473454309619835,all,0.020780719673820214,0.00925827634113722,0.00891548095521053,0.009711802984214214,0.014140188297385472,0.018689101939350267,0.02528878292729478,0.03862662646622408,0.04404129563156439
0.01521825053264387,all,0.021106341527520264,0.009321120425904477,0.009166692412411382,0.009977909684784441,0.014421432924919254,0.018843079142381976,0.025571487181231856,0.03997902052059818,0.04405223696167289
0.015717837177731626,all,0.021523944348759153,0.009440144653108455,0.009438343111444359,0.010353900560327894,0.014568077303576532,0.01927992730519891,0.026290584402474386,0.040683719272799186,0.045072615066449204
0.01623382431612278,all,0.021851804715640407,0.009558617914703292,0.00955383772205517,0.010525265034274627,0.014851147331001395,0.019611723753534312,0.02644655687437632,0.040713547621335375,0.04591662394822303
0.016766750345277002,all,0.02251263139381929,0.009955538081928166,0.009981852332989483,0.0107209579915692,0.015296253629948126,0.020080789061035158,0.027068456828051847,0.04258299278442604,0.04730878766157145
0.017317171337233546,all,0.022912862867231213,0.00985359778316855,0.009870459698169638,0.010905197680551147,0.015593034676056378,0.020664104669395243,0.027751892912155067,0.042583039946595985,0.04723193803446968
0.01788566161883462,all,0.02331986028545147,0.01017007333584617,0.010189625479859651,0.011048029131540115,0.01594786613498513,0.021002561735909284,0.02835652832256069,0.04371648630214975,0.048996918257092625
0.018472814370996342,all,0.023728199066491578,0.009978277414353465,0.010863822912287114,0.011568106614105941,0.016531147294625667,0.02158448188901787,0.028436736668984598,0.04397629182221124,0.0483373693305187
0.019079242247652662,all,0.02437635467895771,0.010493514195990703,0.01057842079252294,0.011561267874819344,0.01666194518250979,0.02195075101787544,0.02930529993742495,0.04527923758869246,0.050858745128354
0.019705578015017995,all,0.024885819779195555,0.010723074302154368,0.011215938813272881,0.012136315246987377,0.017051036355854858,0.02234520878692795,0.0301324332674516,0.04706335711477429,0.051286346412786496
0.020352475211835776,all,0.02527723371270308,0.010905383049909852,0.011153413547924209,0.012103145559762447,0.017343990288253633,0.022845684196413994,0.03041666098114042,0.046820566217359555,0.051593818818928605
0.021020608831301583,all,0.02597277786196312,0.010904708846036084,0.011361250712879967,0.012639431201906613,0.01809864943089269,0.02361465169453739,0.030972790750756964,0.04785347249961913,0.05192969029876899
0.02171067602537265,all,0.026683902213588618,0.011271482255258349,0.012062751147575022,0.01308344139010982,0.018586768227572482,0.02404613923299112,0.032163665253835586,0.049252431754212324,0.054749480851011854
0.02242339683219846,all,0.02712711009547122,0.011493676044791491,0.012020425261622752,0.013391087622834325,0.01879994462915783,0.02419396202760931,0.032868589253722824,0.049777145343486,0.05597460626341685
0.023159514927431544,all,0.027705290657795183,0.011703721302234888,0.012455276757691005,0.013647634964469357,0.019228195724170297,0.025060221239437342,0.03323917705472883,0.050995856806245445,0.05669363826934014
0.023919798400202398,all,0.028175249778537553,0.011758258054635868,0.01297640612866924,0.013980491195226362,0.019800879079821775,0.02560712177036723,0.033412482314705436,0.05176472489096947,0.05802422025917984
0.024705040554568253,all,0.02873846052833839,0.011787013358610371,0.013308729672515786,0.014383526027048036,0.020116386443263728,0.026082062009173353,0.03448510997847094,0.05278581982818258,0.05785313033637877
0.02551606073727185,all,0.02932840866416648,0.012040702424436679,0.013601852046951848,0.014586925009696041,0.02070426543417738,0.026545878385149786,0.035148555015766664,0.0537017700207559,0.05902827881302602
