year,fg,bin,bin_midpoint,bin_min,bin_max,richness,n_individuals,richness_by_bin_width,abundance_by_bin_width
1995,all,1,1.2264253600718122,1.044489395695229,1.4083613244483955,12,16,32.97863630513866,43.971515073518205
1995,all,2,1.653678870811467,1.4083613244483955,1.8989964171745384,40,144,81.52698531559531,293.49714713614316
1995,all,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,78,645,117.90329426580847,974.9695487364932
1995,all,4,3.0065697782771243,2.5605555405706326,3.452584015983616,114,1903,127.79861085401033,2133.3399689051025
1995,all,5,4.053977582187368,3.452584015983616,4.655371148391121,152,4521,126.37315107932355,3758.7698423001434
1995,all,6,5.4662740095443425,4.655371148391121,6.277176870697563,172,7579,106.05462641689981,4673.186125660951
1995,all,7,7.370576413325357,6.277176870697563,8.4639759559531509,190,10479,86.88498238410102,4791.935423173656
1995,all,8,9.938286403099017,8.4639759559531509,11.412596850244881,207,12796,70.20231064655809,4339.6558793881995
1995,all,9,13.400517285385726,11.412596850244881,15.388437720526571,206,13430,51.81293887785927,3377.9017918915047
1995,all,10,18.068896008060896,15.388437720526571,20.74935429559522,214,12923,39.918546950576186,2410.5952441228787
1995,all,11,24.363611941023755,20.74935429559522,27.977869586452293,212,11715,29.328291007165255,1620.6647601365141
1995,all,12,32.851237095392264,27.977869586452293,37.724604604332235,209,9517,21.44307807861802,976.4295410249172
1995,all,13,44.295721886806945,37.724604604332235,50.866839169281654,199,7764,15.142021626271735,590.7671151074057
1995,all,14,59.72715644698064,50.866839169281654,68.58747372467963,199,5851,11.229846164813642,330.1800498006262
1995,all,15,80.5344865212502,68.58747372467963,92.48149931782078,194,4666,8.119184406318215,195.27894041175668
1995,all,16,108.59052908368125,92.48149931782078,124.69955884954173,173,3287,5.369659207118581,102.02352493525305
1995,all,17,146.42054001998702,124.69955884954173,168.14152119043231,169,2373,3.890247836270635,54.62460423355158
1995,all,18,197.4295062438039,168.14152119043231,226.71749129717548,147,1845,2.509561510157176,31.49755772952374
1995,all,19,266.2086202547232,226.71749129717548,305.69974921227094,136,1402,1.7219056986975179,17.750821982161177
1995,all,20,358.9485221647182,305.69974921227094,412.1972951171655,114,795,1.070447201682989,7.464960748578737
1995,fg1,1,1.2264253600718122,1.044489395695229,1.4083613244483955,0,0,0,0
1995,fg1,2,1.653678870811467,1.4083613244483955,1.8989964171745384,1,1,2.038174632889883,2.038174632889883
1995,fg1,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,9,19,13.60422626143944,28.720033218594374
1995,fg1,4,3.0065697782771243,2.5605555405706326,3.452584015983616,11,36,12.33144490696591,40.35745605916116
1995,fg1,5,4.053977582187368,3.452584015983616,4.655371148391121,21,111,17.459448504380227,92.28565638029549
1995,fg1,6,5.4662740095443425,4.655371148391121,6.277176870697563,29,255,17.881303291221478,157.2321496297061
1995,fg1,7,7.370576413325357,6.277176870697563,8.4639759559531509,30,453,13.718681429068582,207.1520895789356
1995,fg1,8,9.938286403099017,8.4639759559531509,11.412596850244881,42,677,14.24394708770744,229.59886138995088
1995,fg1,9,13.400517285385726,11.412596850244881,15.388437720526571,38,868,9.557726589119671,218.31859682515457
1995,fg1,10,18.068896008060896,15.388437720526571,20.74935429559522,39,853,7.274875378843324,159.11458200393218
1995,fg1,11,24.363611941023755,20.74935429559522,27.977869586452293,40,788,5.53363981267269,109.012704309652
1995,fg1,12,32.851237095392264,27.977869586452293,37.724604604332235,44,701,4.514332227077478,71.92152025412072
