"fg","bin_midpoint","bin_value","bin_count","bin_min","bin_max","year"
"fg1",1.16673541359231,450.448331981015,935,1,1.33347082718462,1995
"fg1",1.55580763706853,405.103338681108,719,1.33347082718462,1.77814444695244,1995
"fg1",2.07462409674193,628.097067760005,826,1.77814444695244,2.37110374653142,1995
"fg1",2.76645071037962,801.05063256277,723,2.37110374653142,3.16179767422781,1995
"fg1",3.6889813171354,1224.06184417449,766,3.16179767422781,4.21616496004298,1995
"fg1",4.91914896842916,1568.88883361249,690,4.21616496004298,5.62213297681534,1995
"fg1",6.55954164397562,2032.36192648515,570,5.62213297681534,7.4969503111359,1995
"fg1",8.74695742194416,3417.65434635483,644,7.4969503111359,9.99696453275241,1995
"fg1",11.6638125487886,4178.53170270685,601,9.99696453275241,13.3306605648247,1995
"fg1",15.5533537675595,5051.77544210665,455,13.3306605648247,17.7760469702942,1995
"fg1",20.7399435139226,7413.65658944816,384,17.7760469702942,23.703840057551,1995
"fg1",27.6561096332728,6894.89658474996,268,23.703840057551,31.6083792089945,1995
"fg1",36.8786153893889,7306.4535844225,202,31.6083792089945,42.1488515697832,1995
"fg1",49.176557768712,5048.95628544729,96,42.1488515697832,56.2042639676407,1995
"fg1",65.5755051659368,2652.84042326542,44,56.2042639676407,74.9467463642328,1995
"fg1",87.4430231166713,387.331455269009,6,74.9467463642328,99.9392998691097,1995
"fg1",116.602720366912,91.1555131062664,1,99.9392998691097,133.266140864714,1995
"fg1",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg1",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg1",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg2",1.16673541359231,336.166654959031,780,1,1.33347082718462,1995
"fg2",1.55580763706853,441.34642267861,759,1.33347082718462,1.77814444695244,1995
"fg2",2.07462409674193,919.778205337041,939,1.77814444695244,2.37110374653142,1995
"fg2",2.76645071037962,1418.62128033849,955,2.37110374653142,3.16179767422781,1995
"fg2",3.6889813171354,1851.84767255651,950,3.16179767422781,4.21616496004298,1995
"fg2",4.91914896842916,2275.95253574278,810,4.21616496004298,5.62213297681534,1995
"fg2",6.55954164397562,3770.19195602099,732,5.62213297681534,7.4969503111359,1995
"fg2",8.74695742194416,4711.62955831197,679,7.4969503111359,9.99696453275241,1995
"fg2",11.6638125487886,6016.57775580835,704,9.99696453275241,13.3306605648247,1995
"fg2",15.5533537675595,7844.04756967918,617,13.3306605648247,17.7760469702942,1995
"fg2",20.7399435139226,12341.3382079059,563,17.7760469702942,23.703840057551,1995
"fg2",27.6561096332728,12217.829782651,448,23.703840057551,31.6083792089945,1995
"fg2",36.8786153893889,8569.97709290538,249,31.6083792089945,42.1488515697832,1995
"fg2",49.176557768712,10381.9612710374,228,42.1488515697832,56.2042639676407,1995
"fg2",65.5755051659368,10114.9839706167,185,56.2042639676407,74.9467463642328,1995
"fg2",87.4430231166713,6130.49290888794,106,74.9467463642328,99.9392998691097,1995
"fg2",116.602720366912,2960.34713692531,36,99.9392998691097,133.266140864714,1995
"fg2",155.486325979643,433.940695351603,4,133.266140864714,177.706511094572,1995
"fg2",207.336479719973,717.285374262636,5,177.706511094572,236.966448345373,1995
"fg2",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg3",1.16673541359231,5489.1040170778,13181,1,1.33347082718462,1995
"fg3",1.55580763706853,6087.80629859589,11130,1.33347082718462,1.77814444695244,1995
"fg3",2.07462409674193,10982.6365383749,11705,1.77814444695244,2.37110374653142,1995
"fg3",2.76645071037962,15436.6944541496,10378,2.37110374653142,3.16179767422781,1995
"fg3",3.6889813171354,17532.764668608,8814,3.16179767422781,4.21616496004298,1995
"fg3",4.91914896842916,17947.7447128215,6290,4.21616496004298,5.62213297681534,1995
"fg3",6.55954164397562,21567.8775731724,4316,5.62213297681534,7.4969503111359,1995
"fg3",8.74695742194416,21251.7101942777,3160,7.4969503111359,9.99696453275241,1995
"fg3",11.6638125487886,17603.0996882777,2148,9.99696453275241,13.3306605648247,1995
"fg3",15.5533537675595,14673.3562251472,1148,13.3306605648247,17.7760469702942,1995
