fg,dbh,q025,q05,q25,q50,q75,q95,q975
fg1,1,0.6070565818586748,0.6102543998021681,0.6218918059552434,0.6290865267552594,0.6369305535365313,0.6474624252997966,0.6503232009337976
fg1,1.0428493221974926,0.5973574239908899,0.6005491927470598,0.6115175975738281,0.618338938036156,0.625961332479159,0.6359332222551777,0.6385390386391719
fg1,1.08753470880777,0.5877221620501417,0.5906691946652636,0.6011868919088208,0.6076196953971702,0.6148843532115753,0.6244821287254794,0.626833095661316
fg1,1.1341348339464306,0.5779969571332344,0.5808684926176143,0.5906218445105924,0.596890252432509,0.6038522534567724,0.612811399987988,0.6153553722902243
fg1,1.1827317428616009,0.5682021503409472,0.5710074526419773,0.580169444114044,0.5861992586894842,0.592718882007074,0.6013286970712332,0.6036536434143785
fg1,1.2334109963846798,0.5583889925014879,0.5610629681617559,0.5697356224652994,0.5755001311782284,0.581682326119563,0.5899195058411592,0.5923149107973654
fg1,1.2862618215706974,0.5484347552945844,0.5512570544189259,0.5592783029249551,0.5647516426800362,0.5706804049817448,0.5785219197316889,0.5806876049604678
fg1,1.3413772687935142,0.5385812845718866,0.541237357103005,0.5487965468074986,0.5540437904274691,0.5598054989964427,0.5672790867191656,0.5692888209901128
fg1,1.3988543755724403,0.5287238053855783,0.5312578287825769,0.5383389984277446,0.5434329131371265,0.5488429558155873,0.5560605891505799,0.558049710145286
fg1,1.4587943374187162,0.5188687793269502,0.5211849724779013,0.5279009437542552,0.5328105157753872,0.5379508522243339,0.544799474648139,0.5469547397598351
fg1,1.5213026860026486,0.5088911062144488,0.5110733471189444,0.5175975031565019,0.5223132425762909,0.5272227140917751,0.5337328872534463,0.5359012995004637
fg1,1.586489474955087,0.49895267851660224,0.50103387583665,0.507349249411255,0.5118254953387934,0.5165083468373437,0.522855098450336,0.5248965310219493
fg1,1.6544694736303687,0.48912052190675304,0.4911291432442614,0.49710082526882177,0.5013970239478873,0.5059499816750517,0.5121464562871183,0.514130484511444
fg1,1.7253623691718727,0.47911457415134784,0.4810584660560875,0.486838141407629,0.49100696608246275,0.49549819947009555,0.5015101163569067,0.5034270253979959
fg1,1.7992929772359474,0.46902826828601746,0.4710970262722455,0.4766652641183936,0.48083934123942157,0.4852088307201282,0.49099111303860216,0.49297269116023157
fg1,1.8763914617452164,0.45923270571891706,0.4611799288105105,0.46660676431712583,0.47067559127936887,0.47495167879694844,0.4806015358686869,0.48255016761444985
fg1,1.9567935640581615,0.4492915879518328,0.45128627766970264,0.45668143098998953,0.460683584535768,0.4647586545325222,0.4705099006702518,0.47227710812349044
fg1,2.04064084195847,0.4394282729526676,0.44144652344805624,0.44686588799265003,0.4508035405997398,0.45481614046945074,0.4604601075747519,0.4622749526169412
fg1,2.128080918884911,0.42967652644932824,0.4316408823888532,0.43714625385946,0.44103995543472296,0.44495486629692177,0.45050951161212477,0.45234114521482505
fg1,2.219267743840547,0.42012092231442505,0.42200384647120803,0.4275057151685733,0.4313753391813663,0.43526692933356464,0.44084346372613287,0.44274535968353756
fg1,2.314361862438873,0.410578136899883,0.4124170155238846,0.4179403798569309,0.42179673565494724,0.4257150292136765,0.4313503199771036,0.4331972087510536
fg1,2.413530699564106,0.4011675830691537,0.4030431667365353,0.40851295365751467,0.4124308880310308,0.4163161692425147,0.42195175804131907,0.4236570768495491
