year,model,fg,light_area,q025,q05,q25,q50,q75,q95,q975
1995,3 segment,all,1,21.227983001568333,22.157723976202004,25.806945455776223,29.018213389781547,32.91491536131619,40.5798650244133,43.30232829735041
1995,3 segment,all,1.0620598036192959,24.221830700666683,25.259792199029107,28.909519685547586,32.07993800708215,35.90348044250798,43.28447804833144,45.99907712714054
1995,3 segment,all,1.1279710264638572,27.59428852560876,28.548621901219413,32.35375266101113,35.43483265238859,39.169113795648414,46.16797971055643,48.926749651163995
1995,3 segment,all,1.1979726868544596,31.39451167591725,32.44193070345137,36.19816781140419,39.11043761905432,42.66938425282707,49.53104455972179,52.24275872127215
1995,3 segment,all,1.2723186365419277,35.69262235682476,36.7368990740581,40.447738315333325,43.25981574887233,46.56508264940216,53.26001093783522,55.780633025617924
1995,3 segment,all,1.3512784812668899,40.37018354780367,41.43326293465978,45.13221039346879,47.872842114913325,50.95922423214267,57.23759663541694,59.465899120249354
1995,3 segment,all,1.4351385584492933,45.44479982284806,46.46570341545301,50.184993313125055,52.96858153884371,56.00007295605094,61.52942397608767,63.98697924370319
1995,3 segment,all,1.5242029755531357,50.701456557274106,51.76210554556293,55.840836575708614,58.573418982297596,61.52673377173426,66.72181719654202,68.85259574920042
1995,3 segment,all,1.6187947128919096,55.936178215482,57.225982796857075,61.710782825997256,64.7999751738804,67.88745613923061,73.02449893063415,74.89841606588641
1995,3 segment,all,1.719256794873936,61.41572035365396,62.74185568846818,68.09988130280253,71.67279077363425,75.02659216687206,80.6247898207631,82.96323837906647
1995,3 segment,all,1.8259535339349524,66.72571309009996,68.5747182077141,74.52982762704958,79.05410031371306,83.36521884465272,90.34829658565367,92.74200516946233
1995,3 segment,all,1.9392718516689147,72.03399684555734,74.36442008926596,81.43287415891395,87.50320776908558,93.02469856971977,101.77222543292858,104.69615320200505
1995,3 segment,all,2.0596226819479155,77.70509767946355,80.36407593483628,88.58519404154889,96.60787969094072,104.00166787178682,114.7476433472912,119.23726759606342
1995,3 segment,all,2.1874424611194505,83.30173209224814,86.70889734767654,96.29803686470238,106.66368111816931,116.46896715468645,129.89206599970763,134.84182666723436
1995,3 segment,all,2.323194710685033,89.22828388678035,93.09074781090526,104.72227947403094,117.85115061644044,130.51587777273414,147.3483530313304,153.18604395485946
1995,3 segment,all,2.4673717181995327,95.32225283575897,99.8192444795114,113.8533230211424,130.33475773702156,146.04169739888692,164.26422707930706,169.7232492607956
1995,3 segment,all,2.6204963224868,102.04149950903455,106.74907915369025,123.82175027366057,142.52054352875103,157.91747414048479,172.7786145577002,176.9876643027925
1995,3 segment,all,2.7831238096454176,108.43527686719771,114.28613030789923,133.92331266134082,148.91973371056076,159.74583759250598,174.0357696679272,178.49774846296305
1995,3 segment,all,2.9558439267201986,115.10701080203604,121.8989849369119,139.59747802924412,149.46265084589152,157.73869402179022,170.7591753336612,175.2586535659673
1995,3 segment,all,3.139283020341743,120.80981103823835,126.13131681425371,139.5862002515738,147.13336787371256,156.4136889613128,171.19295211912555,176.4146781111453
1995,3 segment,all,3.3341063080895412,120.15683687846358,124.11396163931923,136.26171216380797,143.6707362566646,154.08774939898797,173.28940811447004,178.46378031337775
1995,3 segment,all,3.5410202908154336,117.24388476322966,120.77103142319902,131.31298898171573,138.55916182675816,149.86791392766878,170.29633827887832,175.6702694738513
