"fg","bin_midpoint","bin_value","bin_count","bin_min","bin_max","year"
"fg1",1.16673541359231,29.1186826203552,935,1,1.33347082718462,1995
"fg1",1.55580763706853,28.9603388703425,719,1.33347082718462,1.77814444695244,1995
"fg1",2.07462409674193,43.0739024912587,826,1.77814444695244,2.37110374653142,1995
"fg1",2.76645071037962,49.4154466475526,723,2.37110374653142,3.16179767422781,1995
"fg1",3.6889813171354,68.7335474080534,766,3.16179767422781,4.21616496004298,1995
"fg1",4.91914896842916,78.7088416581915,690,4.21616496004298,5.62213297681534,1995
"fg1",6.55954164397562,82.4256233319174,570,5.62213297681534,7.4969503111359,1995
"fg1",8.74695742194416,118.416128318711,644,7.4969503111359,9.99696453275241,1995
"fg1",11.6638125487886,140.233493976411,601,9.99696453275241,13.3306605648247,1995
"fg1",15.5533537675595,148.876580179186,455,13.3306605648247,17.7760469702942,1995
"fg1",20.7399435139226,171.640680149412,384,17.7760469702942,23.703840057551,1995
"fg1",27.6561096332728,168.987733356051,268,23.703840057551,31.6083792089945,1995
"fg1",36.8786153893889,191.620680352767,202,31.6083792089945,42.1488515697832,1995
"fg1",49.176557768712,118.689210542158,96,42.1488515697832,56.2042639676407,1995
"fg1",65.5755051659368,61.411334254199,44,56.2042639676407,74.9467463642328,1995
"fg1",87.4430231166713,9.37541880179848,6,74.9467463642328,99.9392998691097,1995
"fg1",116.602720366912,1.97457667474697,1,99.9392998691097,133.266140864714,1995
"fg1",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg1",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg1",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg2",1.16673541359231,45.1493385552181,780,1,1.33347082718462,1995
"fg2",1.55580763706853,55.239991838549,759,1.33347082718462,1.77814444695244,1995
"fg2",2.07462409674193,88.1942882861528,939,1.77814444695244,2.37110374653142,1995
"fg2",2.76645071037962,113.733021472804,955,2.37110374653142,3.16179767422781,1995
"fg2",3.6889813171354,151.851287275317,950,3.16179767422781,4.21616496004298,1995
"fg2",4.91914896842916,162.395891927079,810,4.21616496004298,5.62213297681534,1995
"fg2",6.55954164397562,182.539802796499,732,5.62213297681534,7.4969503111359,1995
"fg2",8.74695742194416,212.111682446233,679,7.4969503111359,9.99696453275241,1995
"fg2",11.6638125487886,267.974687037233,704,9.99696453275241,13.3306605648247,1995
"fg2",15.5533537675595,302.133781919031,617,13.3306605648247,17.7760469702942,1995
"fg2",20.7399435139226,342.385978324107,563,17.7760469702942,23.703840057551,1995
"fg2",27.6561096332728,338.960996210168,448,23.703840057551,31.6083792089945,1995
"fg2",36.8786153893889,228.592699965042,249,31.6083792089945,42.1488515697832,1995
"fg2",49.176557768712,250.075197460461,228,42.1488515697832,56.2042639676407,1995
"fg2",65.5755051659368,252.993437323643,185,56.2042639676407,74.9467463642328,1995
"fg2",87.4430231166713,195.170571362089,106,74.9467463642328,99.9392998691097,1995
"fg2",116.602720366912,77.7566098657682,36,99.9392998691097,133.266140864714,1995
"fg2",155.486325979643,9.33333241544994,4,133.266140864714,177.706511094572,1995
"fg2",207.336479719973,21.6664293382406,5,177.706511094572,236.966448345373,1995
"fg2",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg3",1.16673541359231,624.260898707216,13181,1,1.33347082718462,1995
"fg3",1.55580763706853,694.883398777715,11130,1.33347082718462,1.77814444695244,1995
"fg3",2.07462409674193,946.367185736994,11705,1.77814444695244,2.37110374653142,1995
"fg3",2.76645071037962,1114.00238565891,10378,2.37110374653142,3.16179767422781,1995
"fg3",3.6889813171354,1246.49875630867,8814,3.16179767422781,4.21616496004298,1995
"fg3",4.91914896842916,1151.23430955864,6290,4.21616496004298,5.62213297681534,1995
"fg3",6.55954164397562,982.112708206575,4316,5.62213297681534,7.4969503111359,1995
"fg3",8.74695742194416,919.681665505036,3160,7.4969503111359,9.99696453275241,1995
"fg3",11.6638125487886,814.540079861989,2148,9.99696453275241,13.3306605648247,1995
"fg3",15.5533537675595,587.846047753787,1148,13.3306605648247,17.7760469702942,1995
"fg3",20.7399435139226,546.830909475021,787,17.7760469702942,23.703840057551,1995
"fg3",27.6561096332728,554.575326774556,600,23.703840057551,31.6083792089945,1995
"fg3",36.8786153893889,378.048703019661,331,31.6083792089945,42.1488515697832,1995
"fg3",49.176557768712,223.039396942177,139,42.1488515697832,56.2042639676407,1995
"fg3",65.5755051659368,74.1966954114475,37,56.2042639676407,74.9467463642328,1995
"fg3",87.4430231166713,31.3717109614894,12,74.9467463642328,99.9392998691097,1995
"fg3",116.602720366912,4.10487627697524,2,99.9392998691097,133.266140864714,1995
"fg3",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg3",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg3",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg4",1.16673541359231,100.820030989943,2769,1,1.33347082718462,1995
"fg4",1.55580763706853,101.581971825084,1980,1.33347082718462,1.77814444695244,1995
"fg4",2.07462409674193,122.253652972503,1760,1.77814444695244,2.37110374653142,1995
"fg4",2.76645071037962,109.730529701615,1164,2.37110374653142,3.16179767422781,1995
"fg4",3.6889813171354,75.272713161293,610,3.16179767422781,4.21616496004298,1995
"fg4",4.91914896842916,55.7512037692393,364,4.21616496004298,5.62213297681534,1995
"fg4",6.55954164397562,28.0693631594228,147,5.62213297681534,7.4969503111359,1995
"fg4",8.74695742194416,31.8912222100243,114,7.4969503111359,9.99696453275241,1995
"fg4",11.6638125487886,31.0965445287412,82,9.99696453275241,13.3306605648247,1995
"fg4",15.5533537675595,26.0618252831702,51,13.3306605648247,17.7760469702942,1995
"fg4",20.7399435139226,10.0494722227573,14,17.7760469702942,23.703840057551,1995
"fg4",27.6561096332728,0.998849419266555,1,23.703840057551,31.6083792089945,1995
"fg4",36.8786153893889,0,0,31.6083792089945,42.1488515697832,1995
"fg4",49.176557768712,0,0,42.1488515697832,56.2042639676407,1995
"fg4",65.5755051659368,0,0,56.2042639676407,74.9467463642328,1995
"fg4",87.4430231166713,0,0,74.9467463642328,99.9392998691097,1995
"fg4",116.602720366912,0,0,99.9392998691097,133.266140864714,1995
"fg4",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg4",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg4",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg5",1.16673541359231,59.7330161336516,1454,1,1.33347082718462,1995
"fg5",1.55580763706853,70.8937789400509,1336,1.33347082718462,1.77814444695244,1995
"fg5",2.07462409674193,101.969686908096,1561,1.77814444695244,2.37110374653142,1995
"fg5",2.76645071037962,125.105476820788,1463,2.37110374653142,3.16179767422781,1995
"fg5",3.6889813171354,149.079473391628,1279,3.16179767422781,4.21616496004298,1995
"fg5",4.91914896842916,173.241157473377,1108,4.21616496004298,5.62213297681534,1995
"fg5",6.55954164397562,174.663449841647,871,5.62213297681534,7.4969503111359,1995
"fg5",8.74695742194416,185.930989578854,744,7.4969503111359,9.99696453275241,1995
"fg5",11.6638125487886,204.385226689922,618,9.99696453275241,13.3306605648247,1995
"fg5",15.5533537675595,159.323670301492,360,13.3306605648247,17.7760469702942,1995
"fg5",20.7399435139226,129.527752386358,228,17.7760469702942,23.703840057551,1995
"fg5",27.6561096332728,73.1683249926576,95,23.703840057551,31.6083792089945,1995
"fg5",36.8786153893889,45.091213650568,45,31.6083792089945,42.1488515697832,1995
"fg5",49.176557768712,41.0477217168905,35,42.1488515697832,56.2042639676407,1995
"fg5",65.5755051659368,34.1228181420807,22,56.2042639676407,74.9467463642328,1995
"fg5",87.4430231166713,9.98302023023826,5,74.9467463642328,99.9392998691097,1995
"fg5",116.602720366912,26.2488324019751,4,99.9392998691097,133.266140864714,1995
"fg5",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg5",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg5",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"unclassified",1.16673541359231,6.04006629814514,159,1,1.33347082718462,1995
"unclassified",1.55580763706853,7.89229852936877,157,1.33347082718462,1.77814444695244,1995
"unclassified",2.07462409674193,11.9459186700948,185,1.77814444695244,2.37110374653142,1995
"unclassified",2.76645071037962,17.5558016355459,212,2.37110374653142,3.16179767422781,1995
"unclassified",3.6889813171354,27.4603821686033,256,3.16179767422781,4.21616496004298,1995
"unclassified",4.91914896842916,29.2916754968665,201,4.21616496004298,5.62213297681534,1995
"unclassified",6.55954164397562,32.4002680056658,182,5.62213297681534,7.4969503111359,1995
"unclassified",8.74695742194416,19.5651973593125,86,7.4969503111359,9.99696453275241,1995
"unclassified",11.6638125487886,11.0131283695073,35,9.99696453275241,13.3306605648247,1995
"unclassified",15.5533537675595,7.12473262714444,18,13.3306605648247,17.7760469702942,1995
"unclassified",20.7399435139226,5.58622844491695,12,17.7760469702942,23.703840057551,1995
"unclassified",27.6561096332728,0,0,23.703840057551,31.6083792089945,1995
"unclassified",36.8786153893889,0.978242506239271,1,31.6083792089945,42.1488515697832,1995
"unclassified",49.176557768712,3.86829778516908,3,42.1488515697832,56.2042639676407,1995
"unclassified",65.5755051659368,2.78499911521607,2,56.2042639676407,74.9467463642328,1995
"unclassified",87.4430231166713,0,0,74.9467463642328,99.9392998691097,1995
"unclassified",116.602720366912,0,0,99.9392998691097,133.266140864714,1995
"unclassified",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"unclassified",207.336479719973,3.30569020400634,1,177.706511094572,236.966448345373,1995
"unclassified",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"all",1.16673541359231,865.122033304529,19278,1,1.33347082718462,1995
"all",1.55580763706853,959.45177878111,16081,1.33347082718462,1.77814444695244,1995
"all",2.07462409674193,1313.8046350651,16976,1.77814444695244,2.37110374653142,1995
"all",2.76645071037962,1529.54266193722,14895,2.37110374653142,3.16179767422781,1995
"all",3.6889813171354,1718.89615971357,12675,3.16179767422781,4.21616496004298,1995
"all",4.91914896842916,1650.62307988339,9463,4.21616496004298,5.62213297681534,1995
"all",6.55954164397562,1482.21121534173,6818,5.62213297681534,7.4969503111359,1995
"all",8.74695742194416,1487.59688541817,5427,7.4969503111359,9.99696453275241,1995
"all",11.6638125487886,1469.2431604638,4188,9.99696453275241,13.3306605648247,1995
"all",15.5533537675595,1231.36663806381,2649,13.3306605648247,17.7760469702942,1995
"all",20.7399435139226,1206.02102100257,1988,17.7760469702942,23.703840057551,1995
"all",27.6561096332728,1136.6912307527,1412,23.703840057551,31.6083792089945,1995
"all",36.8786153893889,844.331539494277,828,31.6083792089945,42.1488515697832,1995
