"ratio","dbh","variable","q025","q05","q25","q50","q75","q95","q975"
"fast:slow",1,"density",0.0623835726975299,0.0627852660695199,0.0640935900841088,0.0651051261107446,0.0660884254401085,0.0674580951095815,0.0678765107344163
"fast:slow",1.05921252001675,"density",0.0624433426385704,0.0628329722457442,0.0640623333638239,0.0650191171453411,0.0659513690962347,0.06723349232625,0.0676252873694095
"fast:slow",1.12193116256024,"density",0.062486981448375,0.0628719552603848,0.064027943009284,0.0649299969842524,0.0658084935209598,0.0670312372394176,0.0673905225284817
"fast:slow",1.18836353398076,"density",0.0625350339579556,0.0629136752756802,0.0639961019747368,0.0648482455162485,0.0656579759247524,0.0668339383168525,0.067165162496493
"fast:slow",1.25872953352377,"density",0.0625866098013393,0.0629470497283594,0.0639661624350616,0.0647684817956742,0.0655240026890358,0.0666214744111076,0.0669304970233057
"fast:slow",1.33326208122323,"density",0.06265576324776,0.0630013682842107,0.063928967765637,0.0646948927772805,0.0653888757988703,0.0664277993340889,0.0667440700814749
"fast:slow",1.41220788889523,"density",0.0626993924035813,0.0630212364302929,0.0638903418927157,0.0646072400120948,0.0652573412306439,0.0662195409026362,0.0665065078229494
"fast:slow",1.49582827678426,"density",0.0627239846172747,0.0630523621400268,0.0638584900614366,0.0645272920753401,0.0651255486855073,0.0660267283089997,0.066312587973599
"fast:slow",1.58440003856497,"density",0.0627677162207146,0.0630756542184357,0.0638193894472343,0.0644411962056392,0.0650008356366379,0.065830541437112,0.0661065738145568
"fast:slow",1.67821635756304,"density",0.0628034548124136,0.0630781164422419,0.0637815011575545,0.0643564205460136,0.0648742138689083,0.0656511601263139,0.0659045567603318
"fast:slow",1.77758777722769,"density",0.0628317267078351,0.0630730229906428,0.0637401602652471,0.0642633395190683,0.0647464395251211,0.0654851996773506,0.0657153397246653
"fast:slow",1.88284322906832,"density",0.0628558162344023,0.0630572737769936,0.0636936616189502,0.0641645450862481,0.0646284778162931,0.0653197139055942,0.0655411001618342
"fast:slow",1.99433112145793,"density",0.0628595966981851,0.0630450408248341,0.0636459935008649,0.0640714089239121,0.064519576443187,0.0651822801648226,0.0653996361641616
"fast:slow",2.11242049290729,"density",0.0628313817496982,0.0630181161032276,0.0635889973196115,0.0639921490070061,0.064400076038549,0.0650286941081207,0.0652818922826951
"fast:slow",2.23750223362737,"density",0.0628169915710942,0.0629834811228729,0.0635183106979239,0.0638997132558348,0.0642925327609322,0.0649187849081241,0.0651936823720534
"fast:slow",2.36999037942355,"density",0.0627812117911385,0.0629400074748189,0.0634399793465076,0.0638094150264802,0.0642063858761348,0.0648602689456486,0.065100071164371
"fast:slow",2.51032348220468,"density",0.0627159402406929,0.062880296260393,0.0633562445902923,0.063712335010334,0.0641215288061484,0.0648060386096411,0.0650823856419979
"fast:slow",2.65896606164325,"density",0.0626176502882339,0.0627981118974256,0.0632622459691323,0.0636187145940736,0.0640367966027455,0.0647625619543639,0.0650782587811085
"fast:slow",2.81641014279217,"density",0.0625193929673178,0.0626867244402522,0.0631753574862253,0.0635361802943592,0.0639527228276119,0.0647344137245892,0.0650680031040648
"fast:slow",2.98317688474764,"density",0.0623954604513242,0.0625606088928341,0.0630699478935832,0.0634348702432046,0.0638724859636689,0.0647097331255374,0.0650989516738957
"fast:slow",3.15981830574927,"density",0.0622332829723417,0.0624132691076362,0.0629665537237337,0.0633582807116417,0.0638124308161481,0.0646872689202476,0.0651432746320208
"fast:slow",3.34691911042775,"density",0.0652804635380025,0.0655269750983859,0.0663486911279844,0.0667945600960288,0.0672453651270904,0.0678857504476388,0.0680758434418173
"fast:slow",3.54509862524841,"density",0.069947791194135,0.0703688992695785,0.071308964320625,0.0717919731192876,0.0722908021833197,0.0729883069186755,0.0732169802069393
