year,fg,bin,bin_midpoint,bin_min,bin_max,richness,abundance,production,richness_by_bin_width,abundance_by_bin_width,production_by_bin_width,mortality
1990,fg1,1,1.1667354135923118,1,1.3334708271846236,39,1518,23.2392921914111,116.9517595564902,4552.122333506465,69.68913109315208,0.13736316385527692
1990,fg1,2,1.555807637068534,1.3334708271846236,1.7781444469524443,43,1284,39.87282685138751,96.70013710831726,2887.5110708623106,89.66762380058991,0.09395041771154061
1990,fg1,3,2.0746240967419327,1.7781444469524443,2.371103746531421,41,1364,82.78281721554524,69.14471200487377,2300.3265164548247,139.6096111053898,0.0829044790441348
1990,fg1,4,2.766450710379617,2.371103746531421,3.161797674227814,40,1267,152.29589426588294,50.588475007688444,1602.3899458685316,192.61042602107952,0.08540043865050964
1990,fg1,5,3.6889813171353985,3.161797674227814,4.216164960042983,43,1231,287.5699611243354,40.78275244167422,1167.5248431558364,272.7417333533872,0.07077554786353425
1990,fg1,6,4.9191489684291625,4.216164960042983,5.622132976815341,43,1027,435.8289597069286,30.583910506523402,730.4575834930124,309.9849744146023,0.06218130509663032
1990,fg1,7,6.5595416439756224,5.622132976815341,7.496950311135904,40,787,616.5737652734321,21.33541186533571,419.7742284504801,328.87138068673744,0.05546385708324687
1990,fg1,8,8.74695742194416,7.496950311135904,9.996964532752415,40,799,1198.1094874131475,15.999908982172098,319.59818191888763,479.2410687321806,0.04704045352686744
1990,fg1,9,11.66381254878856,9.996964532752415,13.330660564824704,36,636,1578.5473271153608,10.798824983938836,190.77924138291942,473.5126753995341,0.050028830626543154
1990,fg1,10,15.553353767559475,13.330660564824704,17.776046970294246,34,502,2636.2690418150796,7.64837899314374,112.92606631053404,593.0348458733421,0.04351167257867974
1990,fg1,11,20.73994351392262,17.776046970294246,23.703840057550995,38,392,4180.5073999893375,6.410480163636339,66.12916379330117,705.2384147780677,0.04300217643088437
1990,fg1,12,27.656109633272763,23.703840057550995,31.60837920899453,32,340,6125.829156573051,4.048306850900488,43.013260290817684,774.97612943752,0.03837820156202108
1990,fg1,13,36.87861538938886,31.60837920899453,42.14885156978319,26,239,7426.972549349231,2.4666826219972773,22.67450564066728,704.6147739050216,0.04902449160659699
1990,fg1,14,49.17655776871196,42.14885156978319,56.20426396764072,22,141,7082.624464462803,1.5652333334135016,10.031722727786534,503.90726817396046,0.04236879921205528
1990,fg1,15,65.57550516593678,56.20426396764072,74.94674636423284,13,59,4901.901059584502,0.6936114291009683,3.147928793612087,261.539584557689,0.06247493700843049
1990,fg1,16,87.44302311667127,74.94674636423284,99.93929986910972,5,16,2563.8351456674654,0.20005958971036447,0.6401906870731663,102.58396146544912,0.050262885656181214
1990,fg1,17,116.60272036691177,99.93929986910972,133.26614086471383,2,3,849.0294707062424,0.060011688484480255,0.09001753272672039,25.475846055083085,Inf
1990,fg1,18,155.48632597964314,133.26614086471383,177.70651109457248,0,0,0,0,0,0,-0
1990,fg1,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0,0,0,0,NA
1990,fg1,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0,0,0,0,NA
1990,fg2,1,1.1667354135923118,1,1.3334708271846236,42,1419,19.98932644426736,125.9480487531433,4255.244790016913,59.94325384631148,0.03946580096004958
1990,fg2,2,1.555807637068534,1.3334708271846236,1.7781444469524443,41,1315,35.84219193618356,92.20245631258157,2957.225123196214,80.60336917422265,0.02413884917276838
1990,fg2,3,2.0746240967419327,1.7781444469524443,2.371103746531421,46,1525,77.1766994886154,77.57699395668764,2571.8459953032316,130.15513803968292,0.017668527933365506
1990,fg2,4,2.766450710379617,2.371103746531421,3.161797674227814,42,1384,141.9633407494808,53.11789875807287,1750.3612352660202,179.54272288782673,0.018940245639431676
1990,fg2,5,3.6889813171353985,3.161797674227814,4.216164960042983,46,1321,263.8512353873149,43.628060751558465,1252.8840924523638,250.2460375402506,0.015676905784196428
1990,fg2,6,4.9191489684291625,4.216164960042983,5.622132976815341,46,1044,402.49427019443175,32.71767170465294,742.5488969490798,286.2755520701151,0.013921236061431457
1990,fg2,7,6.5595416439756224,5.622132976815341,7.496950311135904,45,844,605.6524309833795,24.002338348502676,450.1771903585835,323.04610155680535,0.015460512572533763
1990,fg2,8,8.74695742194416,7.496950311135904,9.996964532752415,48,848,1170.3109167648788,19.199890778606516,339.1980704220485,468.12170372701115,0.015183439941046045
1990,fg2,9,11.66381254878856,9.996964532752415,13.330660564824704,45,730,1831.1277971814065,13.498531229923543,218.97617328542637,549.2785723607627,0.01822027244823098
1990,fg2,10,15.553353767559475,13.330660564824704,17.776046970294246,46,688,3174.5324412013856,10.347806873076824,154.76719844949685,714.118448127588,0.013419666700633933
1990,fg2,11,20.73994351392262,17.776046970294246,23.703840057550995,41,633,5293.123244272463,6.916570702870787,106.78510377846848,892.9331989760802,0.016120806482925874
1990,fg2,12,27.656109633272763,23.703840057550995,31.60837920899453,44,477,6617.282681120028,5.566421919988171,60.3450739962354,837.149712885105,0.013381472999186022
1990,fg2,13,36.87861538938886,31.60837920899453,42.14885156978319,43,365,11422.760429019158,4.079513567149343,34.628429116500236,1083.7047940576815,0.01546364955679401
1990,fg2,14,49.17655776871196,42.14885156978319,56.20426396764072,30,318,18798.47056505509,2.1344090910184113,22.624736364795158,1337.454215709853,0.02125139494097269
1990,fg2,15,65.57550516593678,56.20426396764072,74.94674636423284,30,261,27399.91565909832,1.6006417594637732,13.925583307334826,1461.9149736579373,0.02189684656833768
1990,fg2,16,87.44302311667127,74.94674636423284,99.93929986910972,23,155,27387.906475061765,0.9202741126676766,6.201847281021299,1095.8426664853382,0.020797942704809527
1990,fg2,17,116.60272036691177,99.93929986910972,133.26614086471383,13,41,10374.688582301966,0.3900759751491217,1.2302396139318452,311.30128966229984,0.022245127022044876
1990,fg2,18,155.48632597964314,133.26614086471383,177.70651109457248,5,14,6790.478639705368,0.11251031380113469,0.31502887864317713,152.79977652263062,0.012907704227514236
1990,fg2,19,207.33647971997289,177.70651109457248,236.96644834537327,4,5,2358.3847530120906,0.06749922773409531,0.08437403466761913,39.797287382045305,-0
1990,fg2,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0,0,0,0,NA
1990,fg3,1,1.1667354135923118,1,1.3334708271846236,59,24017,396.3073620099164,176.92702086751083,72021.2925453391,1188.4318798012991,0.026031717680934104
1990,fg3,2,1.555807637068534,1.3334708271846236,1.7781444469524443,61,21256,625.537265474718,137.17926426993844,47801.351497078875,1406.7334729713275,0.02212832111822051
1990,fg3,3,2.0746240967419327,1.7781444469524443,2.371103746531421,59,22230,1138.0809586474186,99.50092703140372,37489.92555776449,1919.323905461132,0.021388439201364788
1990,fg3,4,2.766450710379617,2.371103746531421,3.161797674227814,60,18156,1715.896506936158,75.88271251153267,22962.108805989785,2170.1146889229935,0.024855283507292845
1990,fg3,5,3.6889813171353985,3.161797674227814,4.216164960042983,61,14105,2447.485201564781,57.85460230097971,13377.69123697244,2321.2833274436653,0.029989594127939872
1990,fg3,6,4.9191489684291625,4.216164960042983,5.622132976815341,58,8985,3079.6874040900516,41.2527164971711,6390.614788397971,2190.4391617385468,0.03317192179411345
1990,fg3,7,6.5595416439756224,5.622132976815341,7.496950311135904,59,5369,3469.3508603335813,31.469732501370174,2863.745657624686,1850.5007377643437,0.030610388652728898
1990,fg3,8,8.74695742194416,7.496950311135904,9.996964532752415,55,3936,4347.548411463723,21.999874850486634,1574.3910438457344,1739.0094719751614,0.024212826087124252
1990,fg3,9,11.66381254878856,9.996964532752415,13.330660564824704,48,2384,4928.623714750731,14.398433311918447,715.1221878252828,1478.4262474245452,0.023672435014284763
1990,fg3,10,15.553353767559475,13.330660564824704,17.776046970294246,38,1273,5425.792217081742,8.548188286454767,286.3643075962347,1220.5445651261998,0.02455511145190089
1990,fg3,11,20.73994351392262,17.776046970294246,23.703840057550995,35,860,6879.973870006751,5.904389624401891,145.07928791387502,1160.6298952635425,0.024395685377297246
1990,fg3,12,27.656109633272763,23.703840057550995,31.60837920899453,25,660,9374.708795036107,3.1627397272660063,83.49632879982256,1185.9905575044293,0.021839858392998394
1990,fg3,13,36.87861538938886,31.60837920899453,42.14885156978319,20,434,10617.860722618767,1.8974481707671365,41.174625305646856,1007.3420202796602,0.030907133079010933
1990,fg3,14,49.17655776871196,42.14885156978319,56.20426396764072,12,215,12183.784358072837,0.8537636364073645,15.296598485631947,866.8393365626193,0.04058816879933806
