species,fg,crowndepth_a,crowndepth_b,height_a,height_b,height_k,area_a,area_b,height_corr_factor,area_corr_factor,crowndepth_corr_factor
schipa,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
sennda,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
simaam,1,-0.2582763455649665,0.6361197707685681,39.9,1.01,21.9,0.538,1.32,1.017,1.163,1.259334742287724
sipagu,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
sipapa,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
sloate,3,0.05041257294026314,0.43815498366955014,55.7,0.92,33,0.546,1.35,1.017,1.163,1.259334742287724
solaas,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
solaha,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
solast,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
soroaf,3,-1.48826664438468,1.1497235421188832,61.6,0.61,21.5,0.356,1.37,1.017,1.163,1.259334742287724
spacme,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
sponmo,1,-0.6749005336882523,0.6456136204616302,50.1,0.78,20,0.526,1.42,1.017,1.163,1.259334742287724
sponra,1,-1.5658459386649959,0.8340397266069719,54.2,0.8,28.3,0.238,1.54,1.017,1.163,1.259334742287724
sterap,2,0.38236497187918167,0.34592240971804605,59.3,0.82,26.9,0.487,1.39,1.017,1.163,1.259334742287724
stylst,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
swars1,3,-1.1381132395829126,0.8196714956850455,64.9,0.56,18.6,0.482,1.48,1.017,1.163,1.259334742287724
sympgl,5,-0.5969961007084831,0.6852484799843792,58.6,0.78,20.5,0.546,1.36,1.017,1.163,1.259334742287724
tab1gu,2,-1.0480442570861095,0.7732963479836222,58.4,0.8,25.6,0.388,1.37,1.017,1.163,1.259334742287724
tab1ro,5,-1.1576303783912403,0.8243124224401911,58.9,0.92,28.8,0.384,1.42,1.017,1.163,1.259334742287724
tab2ar,2,-0.18242155657161754,0.6159780760708562,62,0.66,23.4,0.552,1.29,1.017,1.163,1.259334742287724
tachve,5,-1.0303719547266785,0.8451128042549102,49.7,0.97,28.9,0.647,1.43,1.017,1.163,1.259334742287724
taline,3,-0.15704564623294204,0.5934110771978132,65.2,0.6,23.5,0.216,1.48,1.017,1.163,1.259334742287724
talipr,3,-0.15704564623294204,0.5934110771978132,63,0.73,23.8,0.131,1.48,1.017,1.163,1.259334742287724
termam,2,-0.21092479648209866,0.5322461660814561,58.7,0.77,19.4,0.556,1.44,1.017,1.163,1.259334742287724
termob,2,-0.09210630905819321,0.5690450199117727,59.9,0.85,25,0.624,1.43,1.017,1.163,1.259334742287724
ternte,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
tet2pa,3,-0.015530596982473884,0.6151929907179665,57,0.72,19.9,0.467,1.46,1.017,1.163,1.259334742287724
tet4jo,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
theoca,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
thevah,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
tocopi,2,-0.21092479648209866,0.5322461660814561,53.3,0.73,22.4,0.678,1.32,1.017,1.163,1.259334742287724
tratas,1,-0.6749005336882523,0.6456136204616302,50.4,0.74,14.9,0.537,1.36,1.017,1.163,1.259334742287724
tremmi,1,-0.6749005336882523,0.6456136204616302,38.6,0.88,15,0.605,1.42,1.017,1.163,1.259334742287724
tri1gi,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
tri2pa,5,-0.5969961007084831,0.6852484799843792,57.1,0.68,23.3,0.598,1.35,1.017,1.163,1.259334742287724
tri2tu,3,-0.15704564623294204,0.5934110771978132,57.9,0.83,27.7,0.847,1.19,1.017,1.163,1.259334742287724
tri4ga,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
tripcu,2,-0.21092479648209866,0.5322461660814561,59,0.79,19.8,0.474,1.27,1.017,1.163,1.259334742287724
tropra,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
turpoc,1,-0.6749005336882523,0.6456136204616302,48.5,0.72,22.5,0.561,1.2,1.017,1.163,1.259334742287724
unonpi,5,-0.5969961007084831,0.6852484799843792,58.5,0.76,21.3,0.428,1.3,1.017,1.163,1.259334742287724
urerba,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
virose,2,-0.6741231079023492,0.8678718221811496,57.9,0.79,24.4,0.871,1.19,1.017,1.163,1.259334742287724
virosp,2,-0.21092479648209866,0.5322461660814561,55.3,0.78,20.2,0.489,1.31,1.017,1.163,1.259334742287724
virosu,2,-1.312812459890529,0.7921267812718675,65,0.76,24.1,0.477,1.35,1.017,1.163,1.259334742287724
vismba,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
vismbi,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
vochfe,1,-0.6749005336882523,0.6456136204616302,50,0.78,18.4,0.47,1.42,1.017,1.163,1.259334742287724
xyl1ma,2,0.48817791680402933,0.4937318728766103,54,0.76,19.1,0.992,1.24,1.017,1.163,1.259334742287724
xyl2ol,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
zantbe,1,-0.506936447001921,0.45872909397688716,44.1,0.89,16.8,0.442,1.41,1.017,1.163,1.259334742287724
zantp1,1,-0.6749005336882523,0.6456136204616302,60.1,0.77,20.1,0.496,1.43,1.017,1.163,1.259334742287724
zantpr,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
zantse,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
zuelgu,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
other,NA,-0.29775372087731033,0.5714406381014557,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
