sp,Genus,Species,Family,wsg,idlevel
calobr,Calophyllum,brasiliense,Clusiaceae,0.500679002,species
calolo,Calophyllum,longifolium,Clusiaceae,0.54056402,species
calych,Calyptranthes,chytraculia,Myrtaceae,0.783333333,genus
calypu,Calyptranthes,pulchella,Myrtaceae,0.783333333,genus
calytu,Calyptranthes,tumidonodia,Myrtaceae,0.783333333,genus
cappcy,Capparis,cynophallophora,Capparaceae,0.614348038,species
cappdi,Capparis,discolor,Capparaceae,0.686610868,genus
cappfr,Capparis,frondosa,Capparaceae,0.632941284,species
cappin,Capparis,indica,Capparaceae,0.68,species
cappos,Capparis,aff.osmantha,Capparaceae,0.686610868,genus
capppi,Capparis,pittieri,Capparaceae,0.686610868,genus
caragu,Carapa,guianensis,Meliaceae,0.550508575,species
carybu,Caryodaphnopsis,burgeri,Lauraceae,0.725523389,species
cas1mo,Cassia,moschata,Fabaceae-caesalpinioideae,0.750640739,species
case3,Casearia,sp.3,Salicaceae,0.628937273,genus
case4,Casearia,sp.4,Salicaceae,0.628937273,genus
case5,Casearia,sp.5,Salicaceae,0.628937273,genus
case6,Casearia,sp.6,Salicaceae,0.628937273,genus
casea1,Casearia,arguta,Salicaceae,0.628937273,genus
caseac,Casearia,aculeata,Salicaceae,0.689971211,species
casear,Casearia,arborea,Salicaceae,0.562365523,species
casec1,Casearia,coronata,Salicaceae,0.628937273,genus
caseco,Casearia,commersoniana,Salicaceae,0.617290009,species
casegu,Casearia,guianensis,Salicaceae,0.692559465,species
caseni,Casearia,nigricans,Salicaceae,0.628937273,genus
casesy,Casearia,sylvestris,Salicaceae,0.661614721,species
cassel,Cassipourea,elliptica,Rhizophoraceae,0.659964232,species
castel,Castilla,elastica,Moraceae,0.33678674,species
cavapl,Cavanillesia,platanifolia,Malvaceae,0.197714953,species
cecrga,Cecropia,garciae,Urticaceae,0.265028399,species
cecrhe,Cecropia,heterochroma,Urticaceae,0.343461887,genus
cecrin,Cecropia,insignis,Urticaceae,0.550778659,species
cecrlo,Cecropia,longipes,Urticaceae,0.26426833,species
cecrob,Cecropia,obtusifolia,Urticaceae,0.304733394,species
cecrpe,Cecropia,peltata,Urticaceae,0.312448748,species
cedrod,Cedrela,odorata,Meliaceae,0.477733938,species
ceibpe,Ceiba,pentandra,Malvaceae,0.304500544,species
celtsc,Celtis,schippii,Cannabaceae,0.57882696,species
cespma,Cespedesia,spathulata,Ochnaceae,0.592180458,species
cestme,Cestrum,megalophyllum,Solanaceae,0.424325287,species
cha1te,Chamaedorea,tepejilote,Arecaceae,0.5,species
cha2sc,Chamguava,schippii,Myrtaceae,0.5,species
chi1pa,Chionanthus,panamensis,Oleaceae,0.701470588,genus
chimla,Chimarrhis,latifolia,Rubiaceae,0.721052108,genus
chimpa,Chimarrhis,parviflora,Rubiaceae,0.778364757,species
chomsp,Chomelia,spinosa,Rubiaceae,0.650669399,species
chr1ec,Chrysochlamys,eclipes,Clusiaceae,0.506946157,species
chr1gl,Chrysochlamys,glauca,Clusiaceae,0.468473079,genus
chr1gr,Chrysochlamys,grandifolia,Clusiaceae,0.468473079,genus
chr21,Chrysophyllum,sp.1,Sapotaceae,0.65737542,genus
chr2ar,Chrysophyllum,argenteum,Sapotaceae,0.736321431,species
chr2ca,Chrysophyllum,cainito,Sapotaceae,0.776838438,species
chr2co,Chrysophyllum,colombianum,Sapotaceae,0.829493653,species
chr2hi,Chrysophyllum,hirsutum,Sapotaceae,0.65737542,genus
chr2ve,Chrysophyllum,venezuelanense,Sapotaceae,0.541335055,species
chroru,Chromolucuma,aff.rubriflora,Sapotaceae,0.73,genus
citrsi,Citrus,sinensis,Rutaceae,0.78,species
clarbi,Clarisia,biflora,Moraceae,0.4975,species
clarra,Clarisia,racemosa,Moraceae,0.585428571,species
clid1,Clidemia,sp.1,Melastomataceae,0.546233766,genus
clidd1,Clidemia,densiflora,Melastomataceae,0.546233766,genus
clidde,Clidemia,dentata,Melastomataceae,0.638701299,species
cliddi,Clidemia,discolor,Melastomataceae,0.546233766,genus
clidha,Clidemia,hammelii,Melastomataceae,0.546233766,genus
clidoc,Clidemia,octona,Melastomataceae,0.5,species
clidse,Clidemia,septuplinervia,Melastomataceae,0.5,species
clusdi,Clusia,divaricata,Clusiaceae,0.6675,genus
cluspr,Clusia,pratensis,Clusiaceae,0.6675,genus
cocc2,Coccoloba,sp.2,Polygonaceae,0.694992848,genus
cocc4,Coccoloba,sp.4,Polygonaceae,0.694992848,genus
coccca,Coccoloba,caracasana,Polygonaceae,0.43,species
coccco,Coccoloba,coronata,Polygonaceae,0.788537241,species
coccjo,Coccoloba,johnstonii,Polygonaceae,0.68560179,species
coccla,Coccoloba,lasseri,Polygonaceae,0.694992848,genus
coccma,Coccoloba,manzinellensis,Polygonaceae,0.716341182,species
coccmo,Coccoloba,mollis,Polygonaceae,0.675,species
coccob,Coccoloba,obovata,Polygonaceae,0.694992848,genus
coccpa,Coccoloba,padiformis,Polygonaceae,0.8,species
cocctu,Coccoloba,tuerckheimii,Polygonaceae,0.694992848,genus
colugl,Colubrina,glandulosa,Rhamnaceae,0.644380492,species
coluhe,Colubrina,heteroneura,Rhamnaceae,0.765465872,species
colusp,Colubrina,spinosa,Rhamnaceae,0.495,species
compca,Compsoneura,capitellata,Myristicaceae,0.570151741,species
concpl,Conceveiba,pleiostemona,Euphorbiaceae,0.266,species
cono1,Conostegia,sp.1,Melastomataceae,0.606171815,genus
conobr,Conostegia,bracteata,Melastomataceae,0.606171815,species
conoci,Conostegia,cinnamomea,Melastomataceae,0.606171815,species
conomo,Conostegia,montana,Melastomataceae,0.606171815,genus
conoru,Conostegia,rufescens,Melastomataceae,0.378417194,species
copaar,Copaifera,aromatica,Fabaceae-caesalpinioideae,0.583740456,species
cord6,Cordia,sp.6,Boraginaceae,0.507130091,genus
cord7,Cordia,sp.7,Boraginaceae,0.507130091,genus
cordal,Cordia,alliodora,Boraginaceae,0.455437259,species
cordbi,Cordia,bicolor,Boraginaceae,0.373401035,species
corddw,Cordia,dwyeri,Boraginaceae,0.507130091,genus
cordla,Cordia,lasiocalyx,Boraginaceae,0.397,species
cordlu,Cordia,lucidula,Boraginaceae,0.507130091,genus
cordpa,Cordia,panamensis,Boraginaceae,0.399348969,species
cordpo,Cordia,porcata,Boraginaceae,0.507130091,genus
cou21,Coussarea,sp.1,Rubiaceae,0.618844343,genus
cou2ce,Coussarea,cerroazulensis,Rubiaceae,0.618844343,genus
cou2cu,Coussarea,curvigemmia,Rubiaceae,0.622066058,species
cou2ho,Coussarea,hondensis,Rubiaceae,0.618844343,genus
cou2la,Coussarea,latifolia,Rubiaceae,0.47156148,species
coue1,Couepia,sp.1,Chrysobalanaceae,0.786133333,genus
courpa,Couratari,guianensis,Lecythidaceae,0.517424904,species
couthe,Coutarea,hexandra,Rubiaceae,0.612656967,species
cratta,Crateva,tapia,Capparaceae,0.464226142,species
crot2,Croton,sp.2,Euphorbiaceae,0.514188505,genus
crotbi,Croton,billbergianus,Euphorbiaceae,0.478425261,species
crotdr,Croton,draco,Euphorbiaceae,0.429443215,species
crotla,Croton,lanjouwensis,Euphorbiaceae,0.62,species
crotpa,Croton,pachypodus,Euphorbiaceae,0.514188505,genus
crotsc,Croton,schiedeanus,Euphorbiaceae,0.514188505,genus
crudac,Crudia,acuminata,Fabaceae-caesalpinioideae,0.783130435,genus
cryowa,Cryosophila,warscewiczii,Arecaceae,0.4,species
cupa1,Cupania,sp.1,Sapindaceae,0.60269078,genus
cupa2,Cupania,sp.2,Sapindaceae,0.60269078,genus
cupa3,Cupania,sp.3,Sapindaceae,0.60269078,genus
cupa5,Cupania,sp.5,Sapindaceae,0.60269078,genus
cupaci,Cupania,cinerea,Sapindaceae,0.500160142,species
cupagu,Cupania,guatemalensis,Sapindaceae,0.60269078,genus
cupala,Cupania,latifolia,Sapindaceae,0.55386457,species
cuparu,Cupania,rufescens,Sapindaceae,0.60424764,species
cupasc,Cupania,scrobiculata,Sapindaceae,0.628,species
cupasy,Cupania,seemannii,Sapindaceae,0.66539857,species
cym1co,Cymbopetalum,costaricense,Annonaceae,0.535,genus
cym1la,Cymbopetalum,lanugipetalum,Annonaceae,0.535,genus
cyphha,Solanum,circinatum,Solanaceae,0.24,species
dalbre,Dalbergia,retusa,Fabaceae-papilionoideae,0.865622547,species
dapham,Daphnopsis,americana,Thymelaeaceae,0.322255593,species
daphco,Daphnopsis,correae,Thymelaeaceae,0.52,genus
dendar,Dendropanax,arboreus,Araliaceae,0.411094288,species
dendgl,Dendropanax,globosus,Araliaceae,0.418584898,genus
dendpu,Dendropanax,punctatus,Araliaceae,0.418584898,genus
dendse,Dendropanax,sessiliflorus,Araliaceae,0.418584898,genus
des2pa,Desmopsis,panamensis,Annonaceae,0.536031328,species
dialgu,Dialium,guianense,Fabaceae-caesalpinioideae,0.896384615,species
dichax,Dichapetalum,axillare,Dichapetalaceae,0.761,genus
dio2ar,Diospyros,artanthifolia,Ebenaceae,0.640629878,species
diphro,Diphysa,americana,Fabaceae-papilionoideae,0.709153343,species
diptpa,Dipteryx,oleifera,Fabaceae-papilionoideae,0.877632683,species
discgu,Discophora,guianensis,Stemonuraceae,0.56,species
dryp2,Drypetes,coba,Putranjivaceae,0.706952381,genus
drypam,Drypetes,aff.amazonica,Putranjivaceae,0.706952381,genus
drypst,Drypetes,standleyi,Putranjivaceae,0.617793046,species
duguco,Duguetia,confusa,Annonaceae,0.683095492,species
duss1,Dussia,sp.1,Fabaceae-papilionoideae,0.552333333,genus
duss2,Dussia,sp.2,Fabaceae-papilionoideae,0.552333333,genus
duss3,Dussia,sp.3,Fabaceae-papilionoideae,0.552333333,genus
duss4,Dussia,sp.4,Fabaceae-papilionoideae,0.552333333,genus
duss5,Dussia,sp.5,Fabaceae-papilionoideae,0.552333333,genus
duss6,Dussia,sp.6,Fabaceae-papilionoideae,0.552333333,genus
dussat,Dussia,atropurpurea,Fabaceae-papilionoideae,0.597088863,species
dussma,Dussia,macroprophyllata,Fabaceae-papilionoideae,0.563,species
dusste,Dussia,tessmannii,Fabaceae-papilionoideae,0.552333333,genus
ecclla,Ecclinusa,lanceolata,Sapotaceae,0.58,species
elaeol,Elaeis,oleifera,Arecaceae,0.5,species
endlbr,Endlicheria,browniana,Lauraceae,0.503909091,genus
entecy,Enterolobium,cyclocarpum,Fabaceae-mimosoideae,0.377025299,species
entesc,Enterolobium,schomburgkii,Fabaceae-mimosoideae,0.635958549,species
erblod,Erblichia,odorata,Turneraceae,0.548275159,species
erisbl,Erisma,blancoa,Vochysiaceae,0.5358,genus
ery1co,Erythrina,costaricensis,Fabaceae-papilionoideae,0.500062845,species
ery2ci,Erythroxylum,citrifolium,Erythroxylaceae,0.702622677,species
ery2ma,Erythroxylum,macrophyllum,Erythroxylaceae,0.643069929,species
ery2pa,Erythroxylum,panamense,Erythroxylaceae,0.703274947,species
esch3,Eschweilera,sp.3,Lecythidaceae,0.828119403,genus
esch6,Eschweilera,sp.6,Lecythidaceae,0.828119403,genus
escham,Eschweilera,amplexifolia,Lecythidaceae,0.828119403,genus
eschan,Eschweilera,aff.angustifolia,Lecythidaceae,0.828119403,genus
eschca,Eschweilera,calyculata,Lecythidaceae,0.828119403,genus
eschja,Eschweilera,jacquelyniae,Lecythidaceae,0.670299188,species
eschpa,Eschweilera,panamensis,Lecythidaceae,0.828119403,genus
eschpi,Eschweilera,pittieri,Lecythidaceae,0.709422505,species
eschse,Eschweilera,sessilis,Lecythidaceae,0.747964532,species
euge10,Eugenia,sp.10,Myrtaceae,0.725765303,genus
euge13,Eugenia,sp.13,Myrtaceae,0.725765303,genus
euge16,Eugenia,sp.16,Myrtaceae,0.725765303,genus
euge18,Eugenia,sp.18,Myrtaceae,0.725765303,genus
euge19,Eugenia,sp.19,Myrtaceae,0.725765303,genus
euge20,Eugenia,sp.20,Myrtaceae,0.725765303,genus
euge22,Eugenia,sp.22,Myrtaceae,0.725765303,genus
euge26,Eugenia,sp.26,Myrtaceae,0.725765303,genus
euge27,Eugenia,sp.27,Myrtaceae,0.725765303,genus
euge5,Eugenia,sp.5,Myrtaceae,0.725765303,genus
euge6,Eugenia,sp.6,Myrtaceae,0.725765303,genus
euge7,Eugenia,sp.7,Myrtaceae,0.725765303,genus
euge8,Eugenia,sp.8,Myrtaceae,0.725765303,genus
euge9,Eugenia,sp.9,Myrtaceae,0.725765303,genus
eugeau,Eugenia,austin-smithii,Myrtaceae,0.725765303,genus
eugeco,Eugenia,coloradoensis,Myrtaceae,0.693421672,species
eugecr,Eugenia,cricamolensis,Myrtaceae,0.725765303,genus
eugega,Eugenia,galalonensis,Myrtaceae,0.6362659,species
eugene,Eugenia,nesiotica,Myrtaceae,0.731548716,species
eugeoc,Eugenia,octopleura,Myrtaceae,0.725765303,genus
eugeoe,Eugenia,oerstediana,Myrtaceae,0.655528713,species
eugepr,Eugenia,principium,Myrtaceae,0.729457649,species
eugesa,Eugenia,hiraeifolia,Myrtaceae,0.725765303,genus
eugeve,Eugenia,venezuelensis,Myrtaceae,0.82,species
eutepr,Euterpe,precatoria,Arecaceae,0.387666667,species
exosme,Exostema,mexicanum,Rubiaceae,0.705695219,species
fara2,Faramea,coba,Rubiaceae,0.592481265,genus
faralu,Faramea,luteovirens,Rubiaceae,0.639885988,species
faramu,Faramea,multiflora,Rubiaceae,0.592481265,genus
faraoc,Faramea,occidentalis,Rubiaceae,0.609443794,species
farapa,Faramea,parvibractea,Rubiaceae,0.592481265,genus
ficu10,Ficus,sp.10,Moraceae,0.411046977,genus
ficu11,Ficus,sp.11,Moraceae,0.411046977,genus
ficu12,Ficus,sp.12,Moraceae,0.411046977,genus
ficu13,Ficus,sp.13,Moraceae,0.411046977,genus
ficu3,Ficus,sp.3,Moraceae,0.411046977,genus
ficu4,Ficus,sp.4,Moraceae,0.411046977,genus
ficu5,Ficus,sp.5,Moraceae,0.411046977,genus
ficu6,Ficus,sp.6,Moraceae,0.411046977,genus
ficu8,Ficus,sp.8,Moraceae,0.411046977,genus
ficu9,Ficus,sp.9,Moraceae,0.411046977,genus
ficubr,Ficus,brevibracteata,Moraceae,0.411046977,genus
ficubu,Ficus,bullenei,Moraceae,0.436599741,species
ficuc1,Ficus,colubrinae,Moraceae,0.411046977,genus
ficuc2,Ficus,costaricana,Moraceae,0.4,species
ficuci,Ficus,citrifolia,Moraceae,0.4,species
ficuin,Ficus,insipida,Moraceae,0.33596969,species
ficuma,Ficus,maxima,Moraceae,0.373133921,species
ficuny,Ficus,nymphaeifolia,Moraceae,0.415,species
ficuob,Ficus,obtusifolia,Moraceae,0.410455907,species
ficup1,Ficus,apollinaris,Moraceae,0.411046977,genus
ficupe,Ficus,pertusa,Moraceae,0.42,species
ficupo,Ficus,popenoei,Moraceae,0.553733645,species
ficuto,Ficus,tonduzii,Moraceae,0.357471104,species
ficutr,Ficus,aurea,Moraceae,0.44,species
ficuyo,Ficus,yoponensis,Moraceae,0.342293186,species
fissfe,Fissicalyx,fendleri,Fabaceae-papilionoideae,0.603048732,species
gar2in,Garcinia,intermedia,Clusiaceae,0.653861658,species
