sp,Genus,Species,Family,wsg,idlevel
ingaje,Inga,jefensis,Fabaceae-mimosoideae,0.575244353,genus
ingale,Inga,leiocalycina,Fabaceae-mimosoideae,0.56,species
ingam1,Inga,mucuna,Fabaceae-mimosoideae,0.582073728,species
ingam2,Inga,multijuga,Fabaceae-mimosoideae,0.503463432,species
ingama,Inga,marginata,Fabaceae-mimosoideae,0.485748274,species
ingami,Inga,oerstediana,Fabaceae-mimosoideae,0.457979205,species
ingap1,Inga,polita,Fabaceae-mimosoideae,0.575244353,genus
ingapa,Inga,pauciflora,Fabaceae-mimosoideae,0.758005062,species
ingape,Inga,pezizifera,Fabaceae-mimosoideae,0.512244739,species
ingapu,Inga,punctata,Fabaceae-mimosoideae,0.500448708,species
ingaqu,Inga,nobilis,Fabaceae-mimosoideae,0.644915862,species
ingaru,Inga,ruiziana,Fabaceae-mimosoideae,0.606474897,species
ingas1,Inga,acuminata,Fabaceae-mimosoideae,0.321315789,species
ingasa,Inga,sapindoides,Fabaceae-mimosoideae,0.61227693,species
ingase,Inga,sertulifera,Fabaceae-mimosoideae,0.706134278,species
ingasi,Inga,sierrae,Fabaceae-mimosoideae,0.575244353,genus
ingasp,Inga,spectabilis,Fabaceae-mimosoideae,0.500803577,species
ingast,Inga,aff.stenophylla,Fabaceae-mimosoideae,0.575244353,genus
ingath,Inga,thibaudiana,Fabaceae-mimosoideae,0.494264635,species
ingaum,Inga,umbellifera,Fabaceae-mimosoideae,0.664721724,species
ingaur,Inga,urceolata,Fabaceae-mimosoideae,0.575244353,genus
ingav1,Inga,venusta,Fabaceae-mimosoideae,0.575244353,genus
ingave,Inga,vera,Fabaceae-mimosoideae,0.575,species
iriade,Iriartea,deltoidea,Arecaceae,0.267,species
ixorfl,Ixora,floribunda,Rubiaceae,0.792857143,genus
jac1ca,Jacaranda,caucana,Bignoniaceae,0.411978155,genus
jac1co,Jacaranda,copaia,Bignoniaceae,0.374366496,species
jac2co,Jacaratia,costaricensis,Caricaceae,0.265,genus
jac2sp,Jacaratia,spinosa,Caricaceae,0.066561906,species
laciag,Lacistema,aggregatum,Lacistemataceae,0.557674722,species
lacmpa,Lacmellea,panamensis,Apocynaceae,0.502221027,species
lacmsp,Lacmellea,speciosa,Apocynaceae,0.5048,genus
ladema,Ladenbergia,macrocarpa,Rubiaceae,0.49,genus
laetpr,Laetia,procera,Salicaceae,0.577446594,species
laetth,Laetia,thamnia,Salicaceae,0.726633857,species
lafopu,Lafoensia,punicifolia,Lythraceae,0.673760774,species
laplfr,Gordonia,fruticosa,Theaceae,0.416404334,species
leandi,Leandra,dichotoma,Melastomataceae,0.5,species
leangr,Leandra,granatensis,Melastomataceae,0.5,genus
lecoam,Lecointea,amazonica,Fabaceae-papilionoideae,0.893333333,species
lecyam,Lecythis,ampla,Lecythidaceae,0.75,species
leongl,Leonia,glycycarpa,Violaceae,0.6,species
lic12,Licaria,sp.2,Lauraceae,0.808782609,genus
lic1ex,Licaria,excelsa,Lauraceae,0.808782609,genus
lic1mi,Licaria,misantlae,Lauraceae,0.808782609,genus
lica1,Licania,sp.1,Chrysobalanaceae,0.810094518,genus
lica4,Licania,coba,Chrysobalanaceae,0.810094518,genus
licaaf,Licania,affinis,Chrysobalanaceae,0.794264299,species
licaar,Licania,arborea,Chrysobalanaceae,0.62,species
licacr,Licania,cruegeriana,Chrysobalanaceae,0.810094518,genus
licafa,Licania,fasciculata,Chrysobalanaceae,0.810094518,genus
licahy,Licania,hypoleuca,Chrysobalanaceae,0.835924446,species
licaka,Licania,kallunkii,Chrysobalanaceae,0.810094518,genus
licama,Licania,macrocarpa,Chrysobalanaceae,0.810094518,genus
licamo,Licania,morii,Chrysobalanaceae,0.810094518,genus
licapl,Licania,platypus,Chrysobalanaceae,0.681527318,species
lindla,Lindackeria,laurina,Achariaceae,0.693259135,species
loncat,Lonchocarpus,atropurpureus,Fabaceae-papilionoideae,0.729182128,species
loncla,Lonchocarpus,heptaphyllus,Fabaceae-papilionoideae,0.666150017,species
loncol,Lonchocarpus,oliganthus,Fabaceae-papilionoideae,0.738061429,genus
lozapi,Lozania,pittieri,Lacistemataceae,0.420686341,species
luehse,Luehea,seemannii,Malvaceae,0.571630422,species
luehsp,Luehea,speciosa,Malvaceae,0.613907388,species
lunapa,Lunania,parviflora,Salicaceae,0.635,species
lycima,Lycianthes,maxonii,Solanaceae,0.44,genus
mabeoc,Mabea,occidentalis,Euphorbiaceae,0.604820408,species
mac1co,Macrolobium,costaricense,Fabaceae-caesalpinioideae,0.6025,genus
mac1pi,Macrolobium,pittieri,Fabaceae-caesalpinioideae,0.6025,genus
machbi,Machaerium,biovulatum,Fabaceae-papilionoideae,0.814137931,genus
maclti,Maclura,tinctoria,Moraceae,0.689681551,species
macosp,Macoubea,mesoamericana,Apocynaceae,0.414333333,genus
macrgl,Macrocnemum,roseum,Rubiaceae,0.514268281,species
malmdi,Malmea,dimera,Annonaceae,0.39,genus
malmsp,Mosannona,garwoodii,Annonaceae,0.729503564,species
malois,Malouetia,isthmica,Apocynaceae,0.526666667,genus
malpal,Malpighia,albiflora,Malpighiaceae,0.5,genus
malpro,Malpighia,romeroana,Malpighiaceae,0.5,species
mammim,Mammea,immansueta,Clusiaceae,0.681791667,genus
mangin,Mangifera,indica,Anacardiaceae,0.5525,species
mani1,Manilkara,sp.1,Sapotaceae,0.8854,genus
manibi,Manilkara,bidentata,Sapotaceae,0.840637135,species
maniza,Manilkara,zapota,Sapotaceae,0.81,species
maprgu,Maprounea,guianensis,Euphorbiaceae,0.582638781,species
maquco,Maquira,guianensis,Moraceae,0.643463725,species
mar1do,Marila,domingensis,Clusiaceae,0.672906679,genus
mar1l1,Marila,lactogena,Clusiaceae,0.672906679,genus
mar1la,Marila,laxiflora,Clusiaceae,0.672906679,species
mar1pl,Marila,pluricostata,Clusiaceae,0.692613322,species
marapa,Maranthes,panamensis,Chrysobalanaceae,0.7778602,species
margno,Margaritaria,nobilis,Phyllanthaceae,0.663259415,species
mataap,Matayba,apetala,Sapindaceae,0.586586661,species
matagl,Matayba,glaberrima,Sapindaceae,0.75,genus
matasc,Matayba,scrobiculata,Sapindaceae,0.628809159,species
matiex,Matisia,exalata,Malvaceae,0.484777778,genus
matije,Matisia,jefensis,Malvaceae,0.484777778,genus
matisa,Matisia,sanblasensis,Malvaceae,0.484777778,genus
mayt1,Maytenus,sp.1,Celastraceae,0.711424092,genus
maytsc,Maytenus,schippii,Celastraceae,0.743754107,species
melig1,Meliosma,hoja_grande,Sabiaceae,0.505777778,genus
meligl,Meliosma,glabrata,Sabiaceae,0.505777778,genus
meligr,Meliosma,grandiflora,Sabiaceae,0.505777778,genus
meliid,Meliosma,idiopoda,Sabiaceae,0.505777778,genus
melioc,Meliosma,occidentalis,Sabiaceae,0.505777778,genus
mico10,Miconia,sp.10,Melastomataceae,0.618199594,genus
mico14,Miconia,sp.14,Melastomataceae,0.618199594,genus
mico3,Miconia,sp.3,Melastomataceae,0.618199594,genus
mico5,Miconia,sp.5,Melastomataceae,0.618199594,genus
mico9,Miconia,sp.9,Melastomataceae,0.618199594,genus
micoaf,Miconia,affinis,Melastomataceae,0.570413915,species
micoar,Miconia,argentea,Melastomataceae,0.696562594,species
micoce,Miconia,centronioides,Melastomataceae,0.618199594,genus
micodo,Miconia,dorsiloba,Melastomataceae,0.6,species
micoel,Miconia,elata,Melastomataceae,0.69720642,species
micoho,Miconia,hondurensis,Melastomataceae,0.589611472,species
micoim,Miconia,impetiolaris,Melastomataceae,0.578462557,species
micoli,Miconia,ligulata,Melastomataceae,0.618199594,genus
micomu,Miconia,multispicata,Melastomataceae,0.618199594,genus
micone,Miconia,nervosa,Melastomataceae,0.47632964,species
micopo,Miconia,poeppigii,Melastomataceae,0.634394333,species
micopr,Miconia,prasina,Melastomataceae,0.504641355,species
micopu,Miconia,punctata,Melastomataceae,0.618199594,genus
micore,Miconia,reducens,Melastomataceae,0.62,species
micose,Miconia,serrulata,Melastomataceae,0.618199594,genus
micosi,Miconia,simplex,Melastomataceae,0.618199594,genus
micotr,Miconia,trinervia,Melastomataceae,0.521047351,species
micoum,Miconia,umbriensis,Melastomataceae,0.618199594,genus
micrme,Micropholis,melinoniana,Sapotaceae,0.53,species
micrve,Micropholis,venulosa,Sapotaceae,0.67,species
minqgu,Minquartia,guianensis,Olacaceae,0.786714286,species
mort1,Mortoniodendron,sp.1,Malvaceae,0.51,genus
mortan,Mortoniodendron,anisophyllum,Malvaceae,0.482799512,species
mosqja,Mosquitoxylum,jamaicense,Anacardiaceae,0.599508031,species
mour1,Mouriri,coba,Melastomataceae,0.834001354,genus
mourco,Mouriri,cf.completens,Melastomataceae,0.834001354,genus
mourex,Mouriri,aff.exilis,Melastomataceae,0.834001354,genus
mourmy,Mouriri,myrtilloides,Melastomataceae,0.788029779,species
mourpa,Mouriri,panamensis,Melastomataceae,0.736859809,species
muntca,Muntingia,calabura,Malvaceae,0.3,species
myr21,Myrciaria,sp.1,Myrtaceae,0.7,genus
myr22,Myrciaria,sp.2,Myrtaceae,0.7,genus
myr2fl,Myrciaria,floribunda,Myrtaceae,0.785,species
myrc4,Myrcia,sp.4,Myrtaceae,0.795650033,genus
myrc5,Myrcia,sp.5,Myrtaceae,0.795650033,genus
myrc6,Myrcia,sp.6,Myrtaceae,0.795650033,genus
myrcga,Myrcia,gatunensis,Myrtaceae,0.658500333,species
myrcpa,Myrcia,panamensis,Myrtaceae,0.795650033,genus
myrcsp,Myrcia,splendens,Myrtaceae,0.8,species
myrcze,Aulomyrcia,zetekiana,Myrtaceae,0.787919382,species
myrofr,Myrospermum,frutescens,Fabaceae-papilionoideae,0.874846019,species
myrs1,Myrsine,sp.1,Myrsinaceae,0.741923077,genus
naucca,Naucleopsis,capirensis,Moraceae,0.6505,genus
naucst,Naucleopsis,straminea,Moraceae,0.6505,genus
naucul,Naucleopsis,ulei,Moraceae,0.67,species
nect11,Nectandra,sp.11,Lauraceae,0.568166311,genus
nect12,Nectandra,sp.12,Lauraceae,0.568166311,genus
nect3,Nectandra,sp.3,Lauraceae,0.568166311,genus
nect9,Nectandra,sp.9,Lauraceae,0.568166311,genus
nectci,Nectandra,cissiflora,Lauraceae,0.421057446,species
nectcu,Nectandra,cuspidata,Lauraceae,0.429765972,species
nectgl,Nectandra,lineata,Lauraceae,0.360426536,species
nectma,Nectandra,martinicensis,Lauraceae,0.48678384,species
nectpu,Nectandra,purpurea,Lauraceae,0.51347036,species
nects1,Nectandra,fuzzy,Lauraceae,0.6,species
nects3,Nectandra,sp.4_(tiny_leaf),Lauraceae,0.568166311,genus
neea1,Neea,sp.1,Nyctaginaceae,0.615189157,genus
neea2,Neea,sp.2,Nyctaginaceae,0.615189157,genus
neea3,Neea,sp.3,Nyctaginaceae,0.615189157,genus
neea4,Neea,sp.4,Nyctaginaceae,0.615189157,genus
neea6,Neea,roja,Nyctaginaceae,0.615189157,genus
neea7,Neea,sp.7,Nyctaginaceae,0.615189157,genus
neeaam,Neea,amplifolia,Nyctaginaceae,0.482891571,species
neeade,Neea,delicatula,Nyctaginaceae,0.482891571,species
neeala,Neea,laetevirens,Nyctaginaceae,0.615189157,genus
nyc1,Guapira,campochagres,Nyctaginaceae,0.584672563,genus
ochrpy,Ochroma,pyramidale,Malvaceae,0.191380633,species
ocot13,Ocotea,sp.13,Lauraceae,0.520941145,genus
ocot14,Ocotea,sp.14,Lauraceae,0.520941145,genus
ocot17,Ocotea,sp.17,Lauraceae,0.520941145,genus
ocot18,Ocotea,sp.18,Lauraceae,0.520941145,genus
ocot19,Ocotea,sp.19,Lauraceae,0.520941145,genus
ocot5,Ocotea,sp.5,Lauraceae,0.520941145,genus
ocot6,Ocotea,sp.6,Lauraceae,0.520941145,genus
ocot7,Ocotea,sp.7,Lauraceae,0.520941145,genus
ocot9,Ocotea,sp.9,Lauraceae,0.520941145,genus
ocotar,Ocotea,arcuata,Lauraceae,0.520941145,genus
ocotce,Ocotea,cernua,Lauraceae,0.610495929,species
ocotde,Ocotea,dendrodaphne,Lauraceae,0.53,species
ocoten,Ocotea,endresiana,Lauraceae,0.520941145,genus
ocotha,Ocotea,hartshorniana,Lauraceae,0.38,species
ocothe,Ocotea,helicterifolia,Lauraceae,0.520941145,genus
ocotir,Ocotea,insularis,Lauraceae,0.356425289,species
ocotjo,Ocotea,jorge-escobarii,Lauraceae,0.520941145,genus
ocotle,Ocotea,leucoxylon,Lauraceae,0.462,species
ocotob,Ocotea,oblonga,Lauraceae,0.391162516,species
ocotpa,Ocotea,atirrensis,Lauraceae,0.48,species
ocotpu,Ocotea,puberula,Lauraceae,0.389102896,species
ocotru,Ocotea,rubrinervis,Lauraceae,0.520941145,genus
ocotto,Ocotea,tonduzii,Lauraceae,0.520941145,genus
ocotve,Ocotea,veraguensis,Lauraceae,0.520941145,genus
ocotwh,Ocotea,whitei,Lauraceae,0.426338778,species
oenoma,Oenocarpus,mapora,Arecaceae,0.6815,species
olmeas,Trophis,caucana,Moraceae,0.475464913,species
oreo2,Oreopanax,sp.2,Araliaceae,0.52,genus
oreoca,Oreopanax,capitatus,Araliaceae,0.52,genus
ormoam,Ormosia,amazonica,Fabaceae-papilionoideae,0.64945081,species
ormocr,Ormosia,coccinea,Fabaceae-papilionoideae,0.622173181,species
ormoma,Ormosia,macrocalyx,Fabaceae-papilionoideae,0.649869585,species
ostepl,Osteophloeum,platyspermum,Myristicaceae,0.465857143,species
otobac,Otoba,acuminata,Myristicaceae,0.474083896,species
otobno,Otoba,novogranatensis,Myristicaceae,0.406724808,species
otobpa,Otoba,parvifolia,Myristicaceae,0.425833333,species
ouraco,Ouratea,prominens,Ochnaceae,0.779755062,species
ourakn,Ouratea,knappiae,Ochnaceae,0.733276897,genus
ouralu,Ouratea,lucens,Ochnaceae,0.802322762,species
oxanlo,Oxandra,longipetala,Annonaceae,0.586011135,species
oxanpa,Oxandra,panamensis,Annonaceae,0.680196741,species
paligu,Palicourea,guianensis,Rubiaceae,0.319528354,species
panosu,Panopsis,suaveolens,Proteaceae,0.509,genus
par21,Parathesis,sp.1,Myrsinaceae,0.62,genus
par2am,Parathesis,amplifolia,Myrsinaceae,0.520163733,species
parkni,Parkia,nitida,Fabaceae-mimosoideae,0.383,species
parmce,Parmentiera,cereifera,Bignoniaceae,0.694280162,species
pentco,Pentagonia,costaricensis,Rubiaceae,0.454377134,genus
pentgy,Pentagonia,gymnopoda,Rubiaceae,0.454377134,genus
pentma,Pentagonia,macrophylla,Rubiaceae,0.454377134,species
pentpa,Pentagonia,parvifolia,Rubiaceae,0.454377134,genus
peraar,Pera,arborea,Euphorbiaceae,0.74802849,species
pere1,Perebea,sp.1,Moraceae,0.507134676,genus
perean,Perebea,angustifolia,Moraceae,0.517,species
peregu,Perebea,guianensis,Moraceae,0.56,species
perexa,Perebea,xanthochyma,Moraceae,0.622942733,species
phoe1,Phoebe,sp.1,Lauraceae,0.544235294,genus
phoeci,Cinnamomum,triplinerve,Lauraceae,0.523751809,species
phylac,Phyllanthus,acuminatus,Phyllanthaceae,0.617777778,genus
picrla,Picramnia,latifolia,Picramniaceae,0.698526003,species
pipe5,Piper,sp.5,Piperaceae,0.396604224,genus
pipe6,Piper,sp.6,Piperaceae,0.396604224,genus
pipe7,Piper,sp.7,Piperaceae,0.396604224,genus
pipe8,Piper,sp.8,Piperaceae,0.396604224,genus
pipea1,Piper,arboreum,Piperaceae,0.358594647,species
pipea4,Piper,augustum,Piperaceae,0.396604224,genus
pipeae,Piper,aequale,Piperaceae,0.436323164,species
pipeau,Piper,auritum,Piperaceae,0.396604224,genus
pipeca,Piper,schiedeanum,Piperaceae,0.491548596,species
pipeco,Piper,cordulatum,Piperaceae,0.373149562,species
pipecu,Piper,colonense,Piperaceae,0.342316821,species
pipegr,Piper,grande,Piperaceae,0.396604224,genus
pipehi,Piper,hispidum,Piperaceae,0.396604224,genus
pipeim,Piper,imperialis,Piperaceae,0.396604224,genus
pipelo,Piper,longispicum,Piperaceae,0.396604224,genus
pipepe,Piper,perlasense,Piperaceae,0.487719821,species
pipere,Piper,reticulatum,Piperaceae,0.292785407,species
pit1ba,Abarema,barbouriana,Fabaceae-mimosoideae,0.559834945,species
pit1di,Zygia,dinizii,Fabaceae-mimosoideae,0.809857143,genus
pit1ma,Abarema,macradenia,Fabaceae-mimosoideae,0.498917473,species
pit1ru,Cojoba,rufescens,Fabaceae-mimosoideae,0.676833515,species
pla1pi,Platymiscium,pinnatum,Fabaceae-papilionoideae,0.760593927,species
pla2el,Platypodium,elegans,Fabaceae-papilionoideae,0.702509127,species
ple1li,Pleuranthodendron,lindenii,Salicaceae,0.68,species
pleu2,Pleurothyrium,sp.2_(hoja_grande),Lauraceae,0.47,genus
pleuhe,Pleurothyrium,aff.hexaglandulosum,Lauraceae,0.47,genus
pleura,Pleurothyrium,racemosum,Lauraceae,0.47,genus
pochaq,Pachira,aquatica,Malvaceae,0.445184558,species
pochqu,Pachira,quinata,Malvaceae,0.388336249,species
pochse,Pachira,sessilis,Malvaceae,0.475417008,species
podogu,Podocarpus,guatemalensis,Podocarpaceae,0.47509529,species
podool,Podocarpus,oleifolius,Podocarpaceae,0.453333333,species
pogosp,Pogonopus,exsertus,Rubiaceae,0.533966371,species
poso1,Posoqueria,sp.1_(hojas_chicas),Rubiaceae,0.565712556,genus
posola,Posoqueria,latifolia,Rubiaceae,0.640987889,species
poular,Poulsenia,armata,Moraceae,0.315328296,species
pourbi,Pourouma,bicolor,Urticaceae,0.357420061,species
pourmi,Pourouma,minor,Urticaceae,0.436,species
pout10,Pouteria,sp.10,Sapotaceae,0.714468888,genus
pout17,Pouteria,sp.17,Sapotaceae,0.714468888,genus
pout18,Pouteria,sp.18,Sapotaceae,0.714468888,genus
pout20,Pouteria,sp.20,Sapotaceae,0.714468888,genus
pout21,Pouteria,sp.21,Sapotaceae,0.714468888,genus
pout23,Pouteria,sp.23,Sapotaceae,0.714468888,genus
pout27,Pouteria,sp.27,Sapotaceae,0.714468888,genus
pout28,Pouteria,sp.28,Sapotaceae,0.714468888,genus
pout3,Pouteria,sp.3,Sapotaceae,0.714468888,genus
pout30,Pouteria,sp.30,Sapotaceae,0.714468888,genus
pout4,Pouteria,sp.4,Sapotaceae,0.714468888,genus
pout7,Pouteria,sp.7,Sapotaceae,0.714468888,genus
pout8,Pouteria,sp.8,Sapotaceae,0.714468888,genus
pout9,Pouteria,sp.9,Sapotaceae,0.714468888,genus
poutb1,Pouteria,bulliformis,Sapotaceae,0.714468888,genus
poutbu,Pouteria,buenaventurensis,Sapotaceae,0.56,species
poutc1,Pouteria,calistophylla,Sapotaceae,0.714468888,genus
poutca,Pouteria,campechiana,Sapotaceae,0.79,species
poutco,Pouteria,congestifolia,Sapotaceae,0.714468888,genus
poutcu,Pouteria,cuspidata,Sapotaceae,0.9,species
poutdu,Pouteria,durlandii,Sapotaceae,0.69,species
poutf1,Pouteria,foveolata,Sapotaceae,0.772689005,species
poutfo,Pouteria,fossicola,Sapotaceae,0.7,species
poutgl,Pouteria,glomerata,Sapotaceae,0.786509849,species
poutle,Pouteria,leptopedicellata,Sapotaceae,0.714468888,genus
poutre,Pouteria,reticulata,Sapotaceae,0.760806421,species
poutsc,Pouteria,sclerocarpa.aff,Sapotaceae,0.714468888,genus
poutst,Pouteria,stipitata,Sapotaceae,0.7,species
poutsy,Pouteria,silvestris,Sapotaceae,0.714468888,genus
poutto,Pouteria,torta,Sapotaceae,0.7685,species
presde,Prestoea,decurrens,Arecaceae,0.25,species
pri2co,Prioria,copaifera,Fabaceae-caesalpinioideae,0.391034007,species
proccr,Prockia,crucis,Salicaceae,0.646644832,species
protco,Protium,costaricense,Burseraceae,0.452363394,species
protgl,Protium,glabrum,Burseraceae,0.572219592,genus
protgu,Protium,aff.guianense,Burseraceae,0.572219592,genus
protpa,Protium,panamense,Burseraceae,0.446987105,species
protsp,Protium,confusum,Burseraceae,0.6,species
protte,Protium,tenuifolium,Burseraceae,0.586264214,species
prottr,Protium,trifoliolatum,Burseraceae,0.685,species
pse1se,Pseudobombax,septenatum,Malvaceae,0.295551095,species
pse2la,Pseudolmedia,laevigata,Moraceae,0.629,species
pse2sp,Pseudolmedia,spuria,Moraceae,0.733834789,species
pse3fr,Pseudima,frutescens,Sapindaceae,0.8,species
psidfr,Psidium,friedrichsthalianum,Myrtaceae,0.737368862,species
psyc4,Psychotria,sp.4,Rubiaceae,0.559803504,genus
psycac,Psychotria,acuminata,Rubiaceae,0.491597907,species
psycal,Psychotria,allenii,Rubiaceae,0.559803504,genus
psycb1,Psychotria,brachiata,Rubiaceae,0.559803504,genus
psycb2,Psychotria,brachybotrya,Rubiaceae,0.559803504,genus
psycc1,Psychotria,capitata,Rubiaceae,0.61998026,species
psycca,Psychotria,calophylla,Rubiaceae,0.559803504,genus
psycch,Psychotria,chagrensis,Rubiaceae,0.595102397,species
psycci,Psychotria,cincta,Rubiaceae,0.559803504,genus
psycde,Psychotria,deflexa,Rubiaceae,0.548433732,species
psycel,Psychotria,elata,Rubiaceae,0.559803504,genus
psycer,Psychotria,erecta,Rubiaceae,0.559803504,genus
psycfu,Psychotria,hoffmannseggiana,Rubiaceae,0.559803504,genus
psycg1,Psychotria,graciliflora,Rubiaceae,0.6,species
psycg2,Psychotria,tenuifolia,Rubiaceae,0.6,species
psycg3,Psychotria,grandis,Rubiaceae,0.502394858,species
psycho,Psychotria,horizontalis,Rubiaceae,0.646169179,species
psycli,Psychotria,limonensis,Rubiaceae,0.376676852,species
psyclu,Psychotria,luxurians,Rubiaceae,0.559803504,genus
psycma,Psychotria,marginata,Rubiaceae,0.58950007,species
psycpa,Psychotria,panamensis,Rubiaceae,0.559803504,genus
psycpi,Psychotria,cyanococca,Rubiaceae,0.6,species
psycpo,Psychotria,poeppigiana,Rubiaceae,0.495845956,species
psycps,Psychotria,psychotriifolia,Rubiaceae,0.52720343,species
psycra,Psychotria,racemosa,Rubiaceae,0.621581137,species
psycsa,Psychotria,santaritensis,Rubiaceae,0.559803504,genus
psycsu,Psychotria,suerrensis,Rubiaceae,0.559803504,genus
psycum,Psychotria,umbelliformis,Rubiaceae,0.559803504,genus
pter2,Pterocarpus,sp.2,Fabaceae-papilionoideae,0.5846066,genus
pter3,Pterocarpus,sp.3,Fabaceae-papilionoideae,0.5846066,genus
pterac,Pterocarpus,acapulcensis,Fabaceae-papilionoideae,0.5846066,genus
pterof,Pterocarpus,officinalis,Fabaceae-papilionoideae,0.525703965,species
pterro,Pterocarpus,rohrii,Fabaceae-papilionoideae,0.49569201,species
qualpo,Qualea,polychroma,Vochysiaceae,0.646810811,genus
quar3,Quararibea,sp.3,Malvaceae,0.492,genus
quaras,Quararibea,asterolepis,Malvaceae,0.468114661,species
quarob,Matisia,obliquifolia,Malvaceae,0.484777778,genus
quarpl,Quararibea,platyphylla,Malvaceae,0.492,genus
quasam,Quassia,amara,Simaroubaceae,0.526503508,species
quiisc,Quiina,schippii,Quiinaceae,0.8615,genus
rand2,Randia,sp.2,Rubiaceae,0.65539952,genus
rand3,Randia,sp.3,Rubiaceae,0.65539952,genus
randar,Randia,armata,Rubiaceae,0.642794245,species
randfo,Rosenbergiodendron,formosum,Rubiaceae,0.5,species
randgr,Randia,grandifolia,Rubiaceae,0.65539952,genus
randho,Randia,hondensis,Rubiaceae,0.65539952,genus
rauvli,Rauvolfia,littoralis,Apocynaceae,0.484061113,species
rino2,Rinorea,sp.2,Violaceae,0.670726895,genus
rino3,Rinorea,sp.3,Violaceae,0.670726895,genus
rino4,Rinorea,sp.4,Violaceae,0.670726895,genus
rinoap,Rinorea,apiculata,Violaceae,0.670726895,genus
rinoda,Rinorea,dasyadena,Violaceae,0.670726895,genus
rinohu,Rinorea,hummelii,Violaceae,0.670726895,genus
rinoli,Rinorea,lindeniana,Violaceae,0.670726895,genus
rinosq,Rinorea,squamata,Violaceae,0.584564242,species
rinosy,Rinorea,sylvatica,Violaceae,0.673176527,species
rollpi,Rollinia,pittieri,Annonaceae,0.27,species
roupmo,Roupala,montana,Proteaceae,0.78139236,species
rudg1,Rudgea,sp.1,Rubiaceae,0.57,genus
rudgco,Rudgea,cornifolia,Rubiaceae,0.57,genus
rudgpi,Rudgea,pittieri,Rubiaceae,0.530987683,species
ruprco,Ruprechtia,costata,Polygonaceae,0.644571429,genus
ryansp,Ryania,speciosa,Salicaceae,0.49256862,species
sacoov,Sacoglottis,ovicarpa,Humiriaceae,0.800578947,genus
sacotr,Sacoglottis,trichogyna,Humiriaceae,0.766311009,species
salaju,Salacia,juruana,Celastraceae,0.76,genus
salape,Salacia,petenensis,Celastraceae,0.76,genus
sap1sa,Sapindus,saponaria,Sapindaceae,0.693053604,species
sapi2,Sapium,sp.2,Euphorbiaceae,0.417905738,genus
sapiau,Sapium,glandulosum,Euphorbiaceae,0.50156732,species
sapila,Sapium,laurifolium,Euphorbiaceae,0.417905738,genus
sapisp,Sapium,broadleaf,Euphorbiaceae,0.478756477,species
sarcbr,Sarcaulus,brasiliensis,Sapotaceae,0.615,species
saurla,Saurauia,yasicae,Actinidiaceae,0.380750336,species
sch1zo,Attalea,butyracea,Arecaceae,0.282206311,species
sch2mo,Schefflera,morototoni,Araliaceae,0.388236479,species
schipa,Schizolobium,parahyba,Fabaceae-caesalpinioideae,0.49026262,species
sciaex,Sciadodendron,excelsum,Araliaceae,0.450602703,species
scleco,Sclerolobium,costaricense,Fabaceae-caesalpinioideae,0.540586207,genus
sennda,Senna,dariensis,Fabaceae-caesalpinioideae,0.494765154,species
sideco,Sideroxylon,cf.contrerasii,Sapotaceae,0.849533333,genus
sidepe,Sideroxylon,persimile,Sapotaceae,0.849533333,genus
sim1po,Simaba,polyphylla,Simaroubaceae,0.419333333,genus
simaam,Simarouba,amara,Simaroubaceae,0.389849281,species
sipa3,Siparuna,sp.3,Siparunaceae,0.626937807,genus
sipacu,Siparuna,cuspidata,Siparunaceae,0.655,species
sipagu,Siparuna,guianensis,Siparunaceae,0.65,species
sipapa,Siparuna,pauciflora,Siparunaceae,0.45756465,species
sloa5,Sloanea,sp.5,Elaeocarpaceae,0.625443779,genus
sloa6,Sloanea,sp.6,Elaeocarpaceae,0.625443779,genus
sloa7,Sloanea,sp.7,Elaeocarpaceae,0.625443779,genus
sloa8,Sloanea,sp.8,Elaeocarpaceae,0.625443779,genus
sloa9,Sloanea,sp.9,Elaeocarpaceae,0.625443779,genus
sloala,Sloanea,laurifolia,Elaeocarpaceae,0.8155,species
sloam1,Sloanea,meianthera,Elaeocarpaceae,0.625443779,genus
sloam2,Sloanea,medusula,Elaeocarpaceae,0.625443779,genus
sloame,Sloanea,megaphylla,Elaeocarpaceae,0.625443779,genus
sloate,Sloanea,terniflora,Elaeocarpaceae,0.814739155,species
sloazu,Sloanea,zuliaensis,Elaeocarpaceae,0.625443779,genus
socrex,Socratea,exorrhiza,Arecaceae,0.23,species
sola3,Solanum,sp.3,Solanaceae,0.381118232,genus
solaar,Solanum,arboreum,Solanaceae,0.381118232,genus
solaas,Solanum,asperum,Solanaceae,0.3,species
solaex,Solanum,cordovense,Solanaceae,0.381118232,genus
solaha,Solanum,hayesii,Solanaceae,0.406959919,species
solast,Solanum,steyermarkii,Solanaceae,0.362340637,species
soroaf,Sorocea,affinis,Moraceae,0.645791121,species
soropu,Sorocea,pubivena,Moraceae,0.61769778,genus
spacme,Spachea,membranacea,Malpighiaceae,0.605,species
sponcy,Spondias,dulcis,Anacardiaceae,0.37,species
sponmo,Spondias,mombin,Anacardiaceae,0.423442397,species
sponra,Spondias,radlkoferi,Anacardiaceae,0.362772143,species
stem1,Stemmadenia,sp.1,Apocynaceae,0.494208741,genus
stem3,Stemmadenia,sp.3,Apocynaceae,0.494208741,genus
